date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
"Jan 19, 2015",3:00am,EUR,German Buba Monthly Report,Medium,,,
"Jan 20, 2015",2:00am,EUR,German ZEW Economic Sentiment,High,48.4,40.1,34.9
"Jan 20, 2015",2:00am,EUR,ZEW Economic Sentiment,Medium,45.2,37.6,31.8
"Jan 22, 2015",12:00am,EUR,Spanish Unemployment Rate,Medium,23.7%,23.6%,23.7%
"Jan 22, 2015",4:45am,EUR,Main Refinancing Rate,High,0.05%,0.05%,0.05%
"Jan 22, 2015",5:30am,EUR,ECB Press Conference,High,,,
"Jan 23, 2015",12:00am,EUR,French Flash Manufacturing PMI,High,49.5,48.1,47.5
"Jan 23, 2015",12:00am,EUR,French Flash Services PMI,Medium,49.5,50.9,50.6
"Jan 23, 2015",12:30am,EUR,German Flash Manufacturing PMI,High,51.0,51.8,51.2
"Jan 23, 2015",12:30am,EUR,German Flash Services PMI,Medium,52.7,52.6,52.1
"Jan 23, 2015",1:00am,EUR,Flash Manufacturing PMI,Medium,51.0,51.0,50.6
"Jan 23, 2015",1:00am,EUR,Flash Services PMI,Medium,52.3,52.1,51.6
"Jan 4, 2015",All Day,EUR,German Prelim CPI m/m,High,0.0%,0.1%,0.0%
"Jan 5, 2015",12:00am,EUR,Spanish Unemployment Change,Medium,-64.4K,-72.0K,-14.7K
"Jan 6, 2015",12:15am,EUR,Spanish Services PMI,Medium,54.3,52.9,52.7
"Jan 6, 2015",12:45am,EUR,Italian Services PMI,Medium,49.4,51.4,51.8
"Jan 6, 2015",12:55am,EUR,German Final Services PMI,Medium,52.1,51.4,51.4
"Jan 6, 2015",11:00pm,EUR,German Retail Sales m/m,Medium,1.0%,0.2%,2.0%
"Jan 7, 2015",12:55am,EUR,German Unemployment Change,Medium,-27K,-6K,-16K
"Jan 7, 2015",2:00am,EUR,CPI Flash Estimate y/y,High,-0.2%,0.0%,0.3%
"Jan 7, 2015",2:00am,EUR,Core CPI Flash Estimate y/y,Medium,0.8%,0.6%,0.7%
"Jan 7, 2015",2:00am,EUR,Unemployment Rate,Medium,11.5%,11.5%,11.5%
"Jan 8, 2015",2:00am,EUR,Retail Sales m/m,Medium,0.6%,0.3%,0.6%
"Jan 8, 2015",11:45pm,EUR,French Industrial Production m/m,Medium,-0.3%,0.4%,-0.7%
"Dec 29, 2014",All Day,EUR,Greek Presidential Elections,High,,,
"Dec 30, 2014",12:00am,EUR,Spanish Flash CPI y/y,Medium,-1.1%,-0.7%,-0.4%
"Dec 30, 2014",1:00am,EUR,M3 Money Supply y/y,Medium,3.1%,2.6%,2.5%
"Dec 30, 2014",1:00am,EUR,Private Loans y/y,Medium,-0.9%,-0.9%,-1.1%
"Dec 30, 2014",2:20am,EUR,Italian 10-y Bond Auction,Medium,1.89|1.3,,2.08|1.6
"Jan 2, 2014",12:15am,EUR,Spanish Manufacturing PMI,Medium,53.8,54.9,54.7
"Jan 2, 2014",12:45am,EUR,Italian Manufacturing PMI,Medium,48.4,49.6,49.0
"Jan 2, 2014",12:55am,EUR,German Final Manufacturing PMI,Medium,51.2,51.2,51.2
"Jan 14, 2015",12:35am,EUR,European Court of Justice Ruling,High,,,
"Jan 14, 2015",2:33am,EUR,German 10-y Bond Auction,Medium,0.52|1.3,,0.74|1.1
"Jan 15, 2015",8:15am,EUR,German Buba President Weidmann Speaks,High,,,
