date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2015-01-21,1:30am,GBP,Average Earnings Index 3m/y,High,1.7%,1.7%,1.4%
2015-01-21,1:30am,GBP,Claimant Count Change,High,-29.7K,-24.2K,-29.6K
2015-01-21,1:30am,GBP,MPC Official Bank Rate Votes,High,0-0-9,2-0-7,2-0-7
2015-01-21,1:30am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-01-21,1:30am,GBP,Unemployment Rate,Medium,5.8%,5.9%,6.0%
2015-01-22,1:00am,GBP,MPC Member Miles Speaks,Medium,,,
2015-01-22,1:30am,GBP,Public Sector Net Borrowing,Medium,12.5B,9.2B,11.7B
2015-01-22,3:00am,GBP,CBI Industrial Order Expectations,Medium,4,6,5
2015-01-23,1:30am,GBP,Retail Sales m/m,High,0.4%,-0.6%,1.6%
2015-01-05,1:30am,GBP,Construction PMI,High,57.6,59.2,59.4
2015-01-06,1:30am,GBP,Final Services PMI,High,55.8,58.9,58.6
2015-01-06,1:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2015-01-08,12:00am,GBP,Halifax HPI m/m,Medium,0.9%,0.3%,0.5%
2015-01-08,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-01-08,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-01-09,1:30am,GBP,Manufacturing Production m/m,High,0.7%,0.4%,-0.7%
2015-01-09,1:30am,GBP,Goods Trade Balance,Medium,-8.8B,-9.5B,-9.8B
2015-01-09,6:49am,GBP,NIESR GDP Estimate,Medium,0.6%,,0.7%
2014-12-29,11:00pm,GBP,Nationwide HPI m/m,Medium,0.2%,0.3%,0.3%
2014-01-02,1:30am,GBP,Final Manufacturing PMI,High,52.5,53.7,53.3
2014-01-02,1:30am,GBP,Net Lending to Individuals m/m,Medium,3.3B,2.5B,2.7B
2015-01-13,1:30am,GBP,CPI y/y,High,0.5%,0.7%,1.0%
2015-01-13,1:30am,GBP,PPI Input m/m,Medium,-2.4%,-2.5%,-0.7%
2015-01-13,1:30am,GBP,RPI y/y,Medium,1.6%,1.7%,2.0%
2015-01-14,6:15am,GBP,BOE Gov Carney Speaks,High,,,
2015-02-02,1:30am,GBP,Final Manufacturing PMI,High,53.0,52.9,52.7
2015-02-03,1:30am,GBP,Construction PMI,High,59.1,56.9,57.6
2015-02-04,1:30am,GBP,Final Services PMI,High,57.2,56.6,55.8
2015-02-05,12:00am,GBP,Halifax HPI m/m,Medium,2.0%,0.1%,1.1%
2015-02-05,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-02-05,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-02-06,1:30am,GBP,Goods Trade Balance,Medium,-10.2B,-9.0B,-9.3B
2015-01-27,1:30am,GBP,Prelim GDP q/q,High,0.5%,0.6%,0.7%
2015-01-27,1:30am,GBP,High Street Lending,Medium,35.7K,36.6K,36.7K
2015-01-28,10:50am,GBP,BOE Gov Carney Speaks,High,,,
2015-01-28,11:00pm,GBP,Nationwide HPI m/m,Medium,0.3%,0.4%,0.2%
2015-01-29,3:00am,GBP,CBI Realized Sales,Medium,39,31,61
2015-01-30,1:30am,GBP,Net Lending to Individuals m/m,Medium,2.2B,3.2B,3.1B
2015-02-10,1:30am,GBP,Manufacturing Production m/m,High,0.1%,0.3%,0.8%
2015-02-10,6:35am,GBP,NIESR GDP Estimate,Medium,0.7%,,0.5%
2015-02-12,2:30am,GBP,BOE Gov Carney Speaks,High,,,
2015-02-12,2:30am,GBP,BOE Monetary Policy Report,High,,,
2015-02-12,2:30am,GBP,BOE Inflation Letter,Medium,,,
2015-02-17,1:30am,GBP,CPI y/y,High,0.3%,0.3%,0.5%
2015-02-17,1:30am,GBP,PPI Input m/m,Medium,-3.7%,-2.5%,-3.3%
2015-02-17,1:30am,GBP,RPI y/y,Medium,1.1%,1.2%,1.6%
2015-02-18,1:30am,GBP,Average Earnings Index 3m/y,High,2.1%,1.7%,1.8%
2015-02-18,1:30am,GBP,Claimant Count Change,High,-38.6K,-25.2K,-35.8K
2015-02-18,1:30am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2015-02-18,1:30am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-02-18,1:30am,GBP,Unemployment Rate,Medium,5.7%,5.8%,5.8%
2015-02-19,3:00am,GBP,CBI Industrial Order Expectations,Medium,10,7,4
2015-02-20,1:30am,GBP,Retail Sales m/m,High,-0.3%,-0.1%,0.2%
2015-02-20,1:30am,GBP,Public Sector Net Borrowing,Medium,-9.4B,-9.5B,9.9B
2015-02-23,3:00am,GBP,CBI Realized Sales,Medium,1,42,39
2015-02-24,1:10am,GBP,MPC Member Forbes Speaks,Medium,,,
2015-02-24,2:00am,GBP,Monetary Policy Report Hearings,High,,,
2015-02-25,1:30am,GBP,High Street Lending,Medium,36.4K,36.2K,35.8K
2015-02-25,2:00am,GBP,BOE Gov Carney Speaks,High,,,
2015-02-26,1:30am,GBP,Second Estimate GDP q/q,High,0.5%,0.5%,0.5%
2015-02-26,1:30am,GBP,Prelim Business Investment q/q,Medium,-1.4%,2.0%,-1.4%
2015-02-26,9:30am,GBP,MPC Member Shafik Speaks,Medium,,,
2015-03-01,10:49pm,GBP,Nationwide HPI m/m,Medium,-0.1%,0.4%,0.3%
2015-03-02,1:30am,GBP,Final Manufacturing PMI,High,54.1,53.5,53.1
2015-03-02,1:30am,GBP,Net Lending to Individuals m/m,Medium,2.4B,2.7B,2.1B
2015-03-03,1:30am,GBP,Construction PMI,High,60.1,59.0,59.1
2015-03-03,2:00am,GBP,BOE Gov Carney Speaks,High,,,
2015-03-04,1:30am,GBP,Final Services PMI,High,56.7,57.6,57.2
2015-03-04,11:58pm,GBP,Halifax HPI m/m,Medium,-0.3%,-0.2%,1.9%
2015-03-05,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-03-05,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-03-10,7:35am,GBP,BOE Gov Carney Speaks,High,,,
2015-03-10,11:30am,GBP,MPC Member McCafferty Speaks,Medium,,,
2015-03-11,2:30am,GBP,Manufacturing Production m/m,High,-0.5%,0.2%,0.1%
2015-03-11,7:57am,GBP,NIESR GDP Estimate,Medium,0.6%,,0.6%
2015-03-11,8:00am,GBP,MPC Member Weale Speaks,Medium,,,
