date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2015-01-20,7:29pm,JPY,Monetary Policy Statement,High,,,
2015-01-20,10:30pm,JPY,BOJ Press Conference,High,,,
2015-01-12,3:50pm,JPY,Current Account,Medium,0.91T,0.69T,0.95T
2015-01-14,3:50pm,JPY,Core Machinery Orders m/m,Medium,1.3%,4.8%,-6.4%
2015-01-15,3:50pm,JPY,Tertiary Industry Activity m/m,Medium,0.2%,0.3%,-0.1%
2015-02-03,5:30pm,JPY,Average Cash Earnings y/y,Medium,1.6%,1.6%,0.1%
2015-01-25,3:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-01-25,3:50pm,JPY,Trade Balance,Medium,-0.71T,-0.74T,-0.83T
2015-01-28,3:50pm,JPY,Retail Sales y/y,Medium,0.2%,1.1%,0.5%
2015-01-29,3:30pm,JPY,Household Spending y/y,Medium,-3.4%,-2.3%,-2.5%
2015-01-29,3:30pm,JPY,Tokyo Core CPI y/y,Medium,2.2%,2.2%,2.3%
2015-01-29,3:50pm,JPY,Prelim Industrial Production m/m,Medium,1.0%,1.3%,-0.5%
2015-02-08,3:50pm,JPY,Current Account,Medium,0.98T,0.95T,0.91T
2015-02-09,3:50pm,JPY,Tertiary Industry Activity m/m,Medium,-0.3%,0.1%,0.2%
2015-02-11,3:50pm,JPY,Core Machinery Orders m/m,Medium,8.3%,2.4%,1.3%
2015-02-15,3:50pm,JPY,Prelim GDP q/q,High,0.6%,0.9%,-0.5%
2015-02-17,6:49pm,JPY,Monetary Policy Statement,High,,,
2015-02-17,10:31pm,JPY,BOJ Press Conference,High,,,
2015-02-18,3:50pm,JPY,Trade Balance,Medium,-0.41T,-0.95T,-0.62T
2015-02-22,3:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-02-26,3:30pm,JPY,Household Spending y/y,Medium,-5.1%,-4.0%,-3.4%
2015-02-26,3:30pm,JPY,Tokyo Core CPI y/y,Medium,2.2%,2.2%,2.2%
2015-02-26,3:50pm,JPY,Prelim Industrial Production m/m,Medium,4.0%,2.9%,0.8%
2015-02-26,3:50pm,JPY,Retail Sales y/y,Medium,-2.0%,-1.2%,0.1%
2015-03-02,5:30pm,JPY,Average Cash Earnings y/y,Medium,1.3%,0.6%,1.3%
2015-03-08,4:50pm,JPY,Current Account,Medium,1.06T,1.16T,0.85T
2015-03-08,4:50pm,JPY,Final GDP q/q,Medium,0.4%,0.5%,0.6%
2015-03-10,4:50pm,JPY,Core Machinery Orders m/m,Medium,-1.7%,-3.9%,8.3%
2015-03-11,4:50pm,JPY,BSI Manufacturing Index,Medium,2.4,5.7,8.1
2015-03-16,8:04pm,JPY,Monetary Policy Statement,High,,,
2015-03-16,11:32pm,JPY,BOJ Press Conference,High,,,
2015-03-17,4:50pm,JPY,Trade Balance,Medium,-0.64T,-1.21T,-0.41T
2015-03-19,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-03-26,4:30pm,JPY,Household Spending y/y,Medium,-2.9%,-3.1%,-5.1%
2015-03-26,4:30pm,JPY,Tokyo Core CPI y/y,Medium,2.2%,2.2%,2.2%
2015-03-26,4:50pm,JPY,Retail Sales y/y,Medium,-1.8%,-1.4%,-2.0%
2015-03-29,4:50pm,JPY,Prelim Industrial Production m/m,Medium,-3.4%,-1.8%,3.7%
2015-03-31,4:50pm,JPY,Tankan Manufacturing Index,Medium,12,14,12
2015-03-31,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,19,17,16
2015-04-02,10:44pm,JPY,Average Cash Earnings y/y,Medium,0.5%,0.7%,0.6%
2015-04-12,4:50pm,JPY,Core Machinery Orders m/m,Medium,-0.4%,-2.6%,-1.7%
2015-04-12,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-04-07,4:50pm,JPY,Current Account,Medium,0.60T,0.61T,1.06T
2015-04-07,8:36pm,JPY,Monetary Policy Statement,High,,,
2015-04-07,11:32pm,JPY,BOJ Press Conference,High,,,
2015-04-21,4:50pm,JPY,Trade Balance,Medium,0.00T,-0.41T,-0.57T
2015-04-27,4:50pm,JPY,Retail Sales y/y,Medium,-9.7%,-7.4%,-1.7%
2015-04-29,4:50pm,JPY,Prelim Industrial Production m/m,Medium,-0.3%,-3.4%,-3.1%
2015-04-29,9:04pm,JPY,Monetary Policy Statement,High,,,
2015-04-29,11:00pm,JPY,BOJ Outlook Report,Medium,,,
2015-04-29,11:31pm,JPY,BOJ Press Conference,High,,,
2015-04-30,4:30pm,JPY,Household Spending y/y,Medium,-10.6%,-11.7%,-2.9%
2015-04-30,4:30pm,JPY,Tokyo Core CPI y/y,Medium,0.4%,0.5%,2.2%
2015-04-30,6:30pm,JPY,Average Cash Earnings y/y,Medium,0.1%,0.4%,0.1%
2015-05-07,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-05-12,4:50pm,JPY,Current Account,Medium,2.07T,1.34T,0.61T
2015-05-14,8:40pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-05-24,4:50pm,JPY,Trade Balance,Medium,-0.21T,-0.38T,0.01T
2015-05-26,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-05-27,4:50pm,JPY,Retail Sales y/y,Medium,5.0%,5.3%,-9.7%
2015-05-28,4:30pm,JPY,Household Spending y/y,Medium,-1.3%,3.1%,-10.6%
2015-05-28,4:30pm,JPY,Tokyo Core CPI y/y,Medium,0.2%,0.2%,0.4%
2015-05-17,4:50pm,JPY,Core Machinery Orders m/m,Medium,2.9%,1.7%,-0.4%
2015-05-19,4:50pm,JPY,Prelim GDP q/q,High,0.6%,0.4%,0.4%
2015-05-21,7:49pm,JPY,Monetary Policy Statement,High,,,
2015-05-21,11:30pm,JPY,BOJ Press Conference,High,,,
2015-05-23,6:30am,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-06-01,6:30pm,JPY,Average Cash Earnings y/y,Medium,0.9%,0.4%,0.0%
2015-06-07,4:50pm,JPY,Current Account,Medium,1.27T,1.45T,2.07T
2015-06-07,4:50pm,JPY,Final GDP q/q,Medium,1.0%,0.7%,0.6%
2015-06-09,4:50pm,JPY,Core Machinery Orders m/m,Medium,3.8%,-2.0%,2.9%
2015-06-10,4:50pm,JPY,BSI Manufacturing Index,Medium,-6.0,3.2,2.4
2015-06-23,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-06-25,4:30pm,JPY,Household Spending y/y,Medium,4.8%,3.5%,-1.3%
2015-06-25,4:30pm,JPY,Tokyo Core CPI y/y,Medium,0.1%,0.1%,0.2%
2015-06-16,4:50pm,JPY,Trade Balance,Medium,-0.18T,-0.17T,-0.24T
2015-06-18,8:04pm,JPY,Monetary Policy Statement,High,,,
2015-06-18,11:31pm,JPY,BOJ Press Conference,High,,,
2015-06-28,4:50pm,JPY,Retail Sales y/y,Medium,3.0%,2.1%,4.9%
2015-06-29,6:30pm,JPY,Average Cash Earnings y/y,Medium,0.6%,0.7%,0.7%
2015-06-30,4:50pm,JPY,Tankan Manufacturing Index,Medium,15,12,12
2015-06-30,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,23,23,19
2015-07-07,4:50pm,JPY,Current Account,Medium,1.64T,1.39T,1.27T
2015-07-08,4:50pm,JPY,Core Machinery Orders m/m,Medium,0.6%,-4.8%,3.8%
2015-07-28,4:50pm,JPY,Retail Sales y/y,Medium,0.9%,0.8%,3.0%
2015-07-30,4:30pm,JPY,Household Spending y/y,Medium,-2.0%,2.0%,4.8%
2015-07-30,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.1%,0.0%,0.1%
2015-07-20,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-07-22,4:50pm,JPY,Trade Balance,Medium,-0.25T,-0.25T,-0.16T
2015-08-06,8:18pm,JPY,Monetary Policy Statement,High,,,
2015-08-06,11:30pm,JPY,BOJ Press Conference,High,,,
2015-07-14,8:18pm,JPY,Monetary Policy Statement,High,,,
2015-07-14,11:32pm,JPY,BOJ Press Conference,High,,,
2015-08-09,4:50pm,JPY,Current Account,Medium,1.30T,1.41T,1.64T
2015-08-11,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-08-12,4:50pm,JPY,Core Machinery Orders m/m,Medium,-7.9%,-5.3%,0.6%
2015-08-16,4:50pm,JPY,Prelim GDP q/q,High,-0.4%,-0.5%,1.0%
2015-08-18,4:50pm,JPY,Trade Balance,Medium,-0.37T,-0.16T,-0.28T
2015-08-27,4:30pm,JPY,Household Spending y/y,Medium,-0.2%,0.9%,-2.0%
2015-08-27,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.1%,-0.1%,-0.1%
2015-08-27,4:50pm,JPY,Retail Sales y/y,Medium,1.6%,1.1%,1.0%
2015-09-07,4:50pm,JPY,Current Account,Medium,1.32T,1.25T,1.30T
2015-09-07,4:50pm,JPY,Final GDP q/q,Medium,-0.3%,-0.4%,-0.4%
2015-09-09,4:50pm,JPY,Core Machinery Orders m/m,Medium,-3.6%,3.4%,-7.9%
2015-09-10,4:50pm,JPY,BSI Manufacturing Index,Medium,11.0,-1.9,-6.0
2015-09-24,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.2%,-0.2%,-0.1%
2015-09-14,8:07pm,JPY,Monetary Policy Statement,High,,,
2015-09-14,11:30pm,JPY,BOJ Press Conference,High,,,
2015-09-16,4:50pm,JPY,Trade Balance,Medium,-0.36T,-0.35T,-0.38T
2015-09-16,11:35pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-09-17,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-09-29,4:50pm,JPY,Retail Sales y/y,Medium,0.8%,1.2%,1.8%
2015-09-30,4:50pm,JPY,Tankan Manufacturing Index,Medium,12,13,15
2015-09-30,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,25,21,23
2015-10-01,4:30pm,JPY,Household Spending y/y,Medium,2.9%,0.4%,-0.2%
2015-10-06,8:00pm,JPY,Monetary Policy Statement,High,,,
2015-10-06,11:31pm,JPY,BOJ Press Conference,High,,,
2015-10-07,4:50pm,JPY,Core Machinery Orders m/m,Medium,-5.7%,3.3%,-3.6%
2015-10-07,4:50pm,JPY,Current Account,Medium,1.59T,1.28T,1.32T
2015-10-12,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-10-15,11:35pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-10-27,4:50pm,JPY,Retail Sales y/y,Medium,-0.2%,0.4%,0.8%
2015-10-29,4:30pm,JPY,Tokyo Core CPI y/y,High,-0.2%,-0.2%,-0.2%
2015-10-29,4:30pm,JPY,Household Spending y/y,Medium,-0.4%,1.2%,2.9%
2015-10-29,8:22pm,JPY,Monetary Policy Statement,High,,,
2015-10-29,11:00pm,JPY,BOJ Outlook Report,High,,,
2015-10-29,11:32pm,JPY,BOJ Press Conference,High,,,
2015-11-04,3:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-11-05,8:00pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-11-09,3:50pm,JPY,Current Account,Medium,0.78T,1.50T,1.59T
2015-11-11,3:50pm,JPY,Core Machinery Orders m/m,Medium,7.5%,3.3%,-5.7%
2015-11-15,3:50pm,JPY,Prelim GDP q/q,High,-0.2%,-0.1%,-0.3%
2015-11-18,7:17pm,JPY,Monetary Policy Statement,High,,,
2015-11-18,10:31pm,JPY,BOJ Press Conference,High,,,
