date,us_unemployment,eurozone_unemployment,uk_unemployment,japan_unemployment
2015-01-01,5.7,11.4,5.6,3.6
2015-02-01,5.5,11.4,5.5,3.5
2015-03-01,5.4,11.3,5.5,3.4
2015-04-01,5.4,11.2,5.6,3.4
2015-05-01,5.6,11.1,5.6,3.3
2015-06-01,5.3,11.1,5.5,3.4
2015-07-01,5.2,10.8,5.4,3.3
2015-08-01,5.1,10.7,5.3,3.4
2015-09-01,5.0,10.7,5.2,3.4
2015-10-01,5.0,10.7,5.1,3.2
2015-11-01,5.1,10.6,5.1,3.3
2015-12-01,5.0,10.6,5.1,3.3
2016-01-01,4.8,10.5,5.1,3.2
2016-02-01,4.9,10.5,5.1,3.3
2016-03-01,5.0,10.3,5.0,3.2
2016-04-01,5.1,10.3,4.9,3.2
2016-05-01,4.8,10.2,4.9,3.2
2016-06-01,4.9,10.2,4.9,3.1
2016-07-01,4.8,10.0,5.0,3.0
2016-08-01,4.9,10.0,4.8,3.1
2016-09-01,5.0,9.9,4.8,3.0
2016-10-01,4.9,9.9,4.8,3.0
2016-11-01,4.7,9.9,4.7,3.0
2016-12-01,4.7,9.7,4.7,3.0
2017-01-01,4.7,9.7,4.6,3.0
2017-02-01,4.6,9.6,4.6,2.9
2017-03-01,4.4,9.5,4.5,2.8
2017-04-01,4.4,9.3,4.4,2.8
2017-05-01,4.4,9.3,4.4,3.0
2017-06-01,4.3,9.1,4.3,2.8
2017-07-01,4.3,9.1,4.3,2.8
2017-08-01,4.4,9.0,4.3,2.8
2017-09-01,4.3,8.9,4.2,2.8
2017-10-01,4.2,8.8,4.3,2.7
2017-11-01,4.2,8.7,4.4,2.7
2017-12-01,4.1,8.7,4.3,2.7
2018-01-01,4.0,8.7,4.2,2.4
2018-02-01,4.1,8.6,4.2,2.5
2018-03-01,4.0,8.5,4.2,2.5
2018-04-01,4.0,8.4,4.2,2.5
2018-05-01,3.8,8.3,4.0,2.2
2018-06-01,4.0,8.2,4.0,2.4
2018-07-01,3.8,8.1,4.0,2.5
2018-08-01,3.8,8.0,4.1,2.5
2018-09-01,3.7,8.0,4.1,2.3
2018-10-01,3.8,8.0,4.0,2.4
2018-11-01,3.8,7.9,4.0,2.5
2018-12-01,3.9,7.9,3.9,2.5
2019-01-01,4.0,7.9,4.0,2.5
2019-02-01,3.8,7.8,3.8,2.4
2019-03-01,3.8,7.7,3.8,2.5
2019-04-01,3.7,7.7,3.8,2.4
2019-05-01,3.6,7.6,3.9,2.3
2019-06-01,3.6,7.5,3.9,2.3
2019-07-01,3.7,7.5,3.9,2.3
2019-08-01,3.6,7.5,3.9,2.3
2019-09-01,3.5,7.5,3.8,2.4
2019-10-01,3.6,7.4,3.8,2.4
2019-11-01,3.6,7.5,3.7,2.3
2019-12-01,3.6,7.5,3.9,2.2
2020-01-01,3.6,7.5,3.9,2.4
2020-02-01,3.5,7.4,4.1,2.4
2020-03-01,4.4,7.2,4.1,2.5
2020-04-01,14.8,7.4,4.1,2.6
2020-05-01,13.2,7.6,4.1,2.8
2020-06-01,11.0,8.1,4.4,2.8
2020-07-01,10.2,8.5,4.6,2.9
2020-08-01,8.4,8.6,5.0,3.0
2020-09-01,7.8,8.6,5.2,3.0
2020-10-01,6.9,8.4,5.2,3.1
2020-11-01,6.7,8.2,5.3,3.0
2020-12-01,6.7,8.2,5.2,3.1
2021-01-01,6.4,8.2,5.0,3.0
2021-02-01,6.2,8.2,4.9,2.9
2021-03-01,6.1,8.2,4.8,2.7
2021-04-01,6.1,8.2,4.8,2.9
2021-05-01,5.8,8.0,4.7,2.9
2021-06-01,5.9,7.8,4.6,2.9
2021-07-01,5.4,7.7,4.5,2.8
2021-08-01,5.1,7.5,4.4,2.8
2021-09-01,4.7,7.4,4.3,2.7
2021-10-01,4.5,7.3,4.2,2.7
2021-11-01,4.1,7.1,4.2,2.8
2021-12-01,3.9,7.0,4.1,2.7
2022-01-01,4.0,6.9,3.9,2.8
2022-02-01,3.9,6.8,3.8,2.7
2022-03-01,3.7,6.8,3.8,2.6
2022-04-01,3.7,6.7,3.7,2.6
2022-05-01,3.6,6.7,3.8,2.6
2022-06-01,3.6,6.7,3.6,2.6
2022-07-01,3.5,6.7,3.6,2.5
2022-08-01,3.6,6.7,3.7,2.5
2022-09-01,3.5,6.7,3.8,2.6
2022-10-01,3.6,6.6,3.9,2.6
2022-11-01,3.6,6.7,3.9,2.5
2022-12-01,3.5,6.7,3.9,2.5
2023-01-01,3.5,6.7,4.0,2.5
2023-02-01,3.6,,4.0,2.6
2023-03-01,3.5,,3.9,2.7
2023-04-01,3.4,,4.0,2.6
2023-05-01,3.6,,4.2,2.5
2023-06-01,3.6,,4.3,2.5
2023-07-01,3.5,,4.3,2.6
2023-08-01,3.7,,4.1,2.6
2023-09-01,3.7,,4.0,2.6
2023-10-01,3.9,,4.0,2.5
2023-11-01,3.7,,3.9,2.6
2023-12-01,3.8,,4.1,2.5
2024-01-01,3.7,,4.2,2.5
2024-02-01,3.9,,4.3,2.6
2024-03-01,3.9,,4.4,2.6
2024-04-01,3.9,,4.4,2.6
2024-05-01,3.9,,4.2,2.6
2024-06-01,4.1,,4.2,2.5
2024-07-01,4.2,,4.1,2.7
2024-08-01,4.2,,4.3,2.5
2024-09-01,4.1,,4.3,2.4
2024-10-01,4.1,,4.4,2.5
2024-11-01,4.2,,4.4,2.5
2024-12-01,4.1,,4.4,2.5
2025-01-01,4.0,,4.4,2.5
2025-02-01,4.2,,4.5,2.4
2025-03-01,4.2,,4.6,2.5
2025-04-01,4.2,,4.7,2.5
2025-05-01,4.3,,4.7,2.5
2025-06-01,4.1,,4.7,2.5
2025-07-01,4.3,,4.8,2.4
2025-08-01,4.3,,5.0,2.6
2025-09-01,4.4,,5.1,2.6
2025-10-01,,,5.1,2.6
2025-11-01,4.5,,5.2,2.6
2025-12-01,4.4,,,2.6
2026-01-01,4.3,,,2.7
2026-02-01,4.4,,,
2026-03-01,4.3,,,
