date,us_gdp_qoq,japan_gdp_qoq,eurozone_gdp_idx,uk_gdp_idx,eurozone_gdp_idx_raw,eurozone_gdp_qoq,japan_gdp_qoq_raw,uk_gdp_idx_raw,uk_gdp_qoq
2015-01-01,3.6,,2484005.6,478016.0,2484005.6,,562599.8,478016.0,
2015-04-01,2.5,0.0631,2494469.7,479382.0,2494469.7,0.4213,562954.7,479382.0,0.2858
2015-07-01,1.6,0.1458,2505070.3,482690.0,2505070.3,0.425,563775.3,482690.0,0.6901
2015-10-01,0.7,-0.1906,2517594.1,487928.0,2517594.1,0.4999,562701.0,487928.0,1.0852
2016-01-01,2.3,0.8653,2529319.8,492644.0,2529319.8,0.4658,567570.3,492644.0,0.9665
2016-04-01,1.3,-0.3389,2534282.0,497056.0,2534282.0,0.1962,565647.0,497056.0,0.8956
2016-07-01,2.9,0.2237,2546484.3,504373.0,2546484.3,0.4815,566912.6,504373.0,1.4721
2016-10-01,2.2,0.0166,2565944.2,510682.0,2565944.2,0.7642,567006.6,510682.0,1.2509
2017-01-01,2.0,0.7245,2586665.9,517306.0,2586665.9,0.8076,571114.5,517306.0,1.2971
2017-04-01,2.3,0.3263,2603846.1,521616.0,2603846.1,0.6642,572977.9,521616.0,0.8332
2017-07-01,3.2,1.1354,2622871.1,525161.0,2622871.1,0.7306,579483.7,525161.0,0.6796
2017-10-01,4.6,0.1577,2644289.2,533139.0,2644289.2,0.8166,580397.4,533139.0,1.5192
2018-01-01,3.3,-0.1585,2645343.7,535163.0,2645343.7,0.0399,579477.3,535163.0,0.3796
2018-04-01,2.1,0.636,2658721.5,540719.0,2658721.5,0.5057,583163.0,540719.0,1.0382
2018-07-01,2.5,-0.4933,2660736.6,545160.0,2660736.6,0.0758,580286.3,545160.0,0.8213
2018-10-01,0.6,0.0719,2675147.4,550517.0,2675147.4,0.5416,580703.6,550517.0,0.9826
2019-01-01,2.5,0.1247,2694301.2,553984.0,2694301.2,0.716,581427.8,553984.0,0.6298
2019-04-01,3.4,0.3991,2704013.9,560995.0,2704013.9,0.3605,583748.5,560995.0,1.2656
2019-07-01,4.8,0.0426,2709163.6,567451.0,2709163.6,0.1904,583997.0,567451.0,1.1508
2019-10-01,2.8,-2.8749,2706395.3,570531.0,2706395.3,-0.1022,567207.5,570531.0,0.5428
2020-01-01,-5.2,0.3849,2618344.0,559365.0,2618344.0,-3.2535,569390.5,559365.0,-1.9571
2020-04-01,-28.0,-7.2191,2327598.7,481227.0,2327598.7,-11.1042,528285.9,481227.0,-13.9691
2020-07-01,34.9,4.9733,2596967.6,540319.0,2596967.6,11.5728,554559.0,540319.0,12.2794
2020-10-01,4.6,1.6727,2605659.1,543809.0,2605659.1,0.3347,563835.2,543809.0,0.6459
2021-01-01,5.7,1.0783,2625769.2,545116.0,2625769.2,0.7718,569915.2,545116.0,0.2403
2021-04-01,7.0,0.7302,2682831.3,576525.0,2682831.3,2.1732,574076.5,576525.0,5.7619
2021-07-01,3.3,-0.1707,2729901.9,592707.0,2729901.9,1.7545,573096.6,592707.0,2.8068
2021-10-01,7.0,1.2045,2751631.9,608304.0,2751631.9,0.796,579999.8,608304.0,2.6315
2022-01-01,-1.0,-0.3505,2771842.8,623014.0,2771842.8,0.7345,577966.7,623014.0,2.4182
2022-04-01,0.6,0.9691,2797395.3,639293.0,2797395.3,0.9219,583567.6,639293.0,2.6129
2022-07-01,2.9,-0.3934,2810072.3,650233.0,2810072.3,0.4532,581272.1,650233.0,1.7113
2022-10-01,2.8,0.458,2808630.8,668409.0,2808630.8,-0.0513,583934.3,668409.0,2.7953
2023-01-01,2.9,0.7591,2807712.8,679194.0,2807712.8,-0.0327,588367.0,679194.0,1.6135
2023-04-01,2.5,0.197,2812618.1,689618.0,2812618.1,0.1747,589526.1,689618.0,1.5348
2023-07-01,4.7,-1.4039,2812522.6,692982.0,2812522.6,-0.0034,581249.5,692982.0,0.4878
2023-10-01,3.4,0.5198,2814400.2,690370.0,2814400.2,0.0668,584270.9,690370.0,-0.3769
2024-01-01,0.8,-0.5397,2822419.5,705573.0,2822419.5,0.2849,581117.4,705573.0,2.2022
2024-04-01,3.6,0.182,2827966.7,717865.0,2827966.7,0.1965,582174.9,717865.0,1.7421
2024-07-01,3.3,0.6537,2840387.1,729877.0,2840387.1,0.4392,585980.8,729877.0,1.6733
2024-10-01,1.9,0.4614,2851307.5,738129.0,2851307.5,0.3845,588684.5,738129.0,1.1306
2025-01-01,-0.6,0.2677,2868226.3,748000.0,2868226.3,0.5934,590260.6,748000.0,1.3373
2025-04-01,3.8,0.5996,2872171.8,757927.0,2872171.8,0.1376,593799.9,757927.0,1.3271
2025-07-01,4.4,-0.6516,2880758.0,764673.0,2880758.0,0.2989,589930.5,764673.0,0.8901
2025-10-01,0.5,0.3265,2886190.9,769261.0,2886190.9,0.1886,591856.7,769261.0,0.6
