date,us_cpi_yoy,us_core_pce,eurozone_hicp,uk_cpi_yoy,japan_cpi_yoy,us_cpi_index,uk_cpi_index,japan_cpi_index,us_core_pce_index
2015-01-01,,,,,,234.747,99.2,99.56732,96.214
2015-02-01,,,,,,235.342,99.5,99.36371,96.324
2015-03-01,,,,,,235.976,99.6,99.66913,96.47
2015-04-01,,,,,,236.222,99.9,100.1782,96.648
2015-05-01,,,,,,237.001,100.1,100.4836,96.766
2015-06-01,,,,,,237.657,100.1,100.1782,96.882
2015-07-01,,,,,,238.034,100.0,100.0764,96.978
2015-08-01,,,,,,238.033,100.3,100.1782,97.056
2015-09-01,,,,,,237.498,100.2,100.28,97.196
2015-10-01,,,,,,237.733,100.3,100.28,97.228
2015-11-01,,,,,,238.017,100.3,99.87274,97.332
2015-12-01,,,,,,237.761,100.4,99.87274,97.396
2016-01-01,1.2375,1.4062,0.3257,0.7056,-0.1022,237.652,99.9,99.46552,97.567
2016-02-01,0.8473,1.4659,-0.1214,0.603,0.2049,237.336,100.1,99.56732,97.736
2016-03-01,0.8916,1.4574,-0.04,0.8032,0.0,238.08,100.4,99.66913,97.876
2016-04-01,1.1726,1.5199,-0.2589,0.7007,-0.3049,238.992,100.6,99.87274,98.117
2016-05-01,1.0785,1.5687,-0.1192,0.6993,-0.5066,239.557,100.8,99.97455,98.284
2016-06-01,1.0793,1.5524,0.0496,0.8991,-0.3049,240.222,101.0,99.87274,98.386
2016-07-01,0.8684,1.5993,0.1698,0.9,-0.407,240.101,100.9,99.66913,98.529
2016-08-01,1.0553,1.697,0.2197,0.8973,-0.5082,240.545,101.2,99.66913,98.703
2016-09-01,1.5486,1.6853,0.3987,1.2974,-0.5076,241.176,101.5,99.77094,98.834
2016-10-01,1.6859,1.7824,0.5077,1.2961,0.1015,241.741,101.6,100.3818,98.961
2016-11-01,1.6843,1.7189,0.5899,1.4955,0.5097,242.026,101.8,100.3818,99.005
2016-12-01,2.0508,1.7701,1.0997,1.7928,0.3058,242.637,102.2,100.1782,99.12
2017-01-01,2.5104,1.8633,1.7248,1.9019,0.5118,243.618,101.8,99.97455,99.385
2017-02-01,2.8104,1.8673,1.9548,2.2977,0.3067,244.006,102.4,99.87274,99.561
2017-03-01,2.4412,1.6787,1.5306,2.2908,0.2043,243.892,102.7,99.87274,99.519
2017-04-01,2.1762,1.6368,1.8968,2.5845,0.4078,244.193,103.2,100.28,99.723
2017-05-01,1.8563,1.5455,1.3818,2.6786,0.4074,244.004,103.5,100.3818,99.803
2017-06-01,1.6406,1.5764,1.3,2.4752,0.4078,244.163,103.5,100.28,99.937
2017-07-01,1.7251,1.5031,1.3363,2.5768,0.4086,244.243,103.5,100.0764,100.01
2017-08-01,1.9281,1.4336,1.5447,2.7668,0.6129,245.183,104.0,100.28,100.118
2017-09-01,2.1806,1.4226,1.5588,2.7586,0.8163,246.435,104.3,100.5854,100.24
2017-10-01,2.0208,1.541,1.3669,2.7559,0.2028,246.626,104.4,100.5854,100.486
2017-11-01,2.1725,1.5454,1.5308,2.8487,0.5071,247.284,104.7,100.8908,100.535
2017-12-01,2.1299,1.5769,1.3448,2.7397,1.0162,247.805,105.0,101.1962,100.683
2018-01-01,2.1513,1.632,1.2966,2.6523,1.3238,248.859,104.5,101.298,101.007
2018-02-01,2.2635,1.6442,1.1127,2.4414,1.4271,249.529,104.9,101.298,101.198
2018-03-01,2.3309,1.9092,1.3992,2.3369,1.1213,249.577,105.1,100.9926,101.419
2018-04-01,2.471,1.8842,1.2246,2.2287,0.6091,250.227,105.5,100.8908,101.602
2018-05-01,2.7819,1.9809,1.9514,2.3188,0.7099,250.792,105.9,101.0944,101.78
2018-06-01,2.8076,1.9362,1.969,2.3188,0.7106,251.018,105.9,100.9926,101.872
2018-07-01,2.8541,1.9958,2.1944,2.3188,0.9155,251.214,105.9,100.9926,102.006
2018-08-01,2.6429,1.8958,2.0807,2.4038,1.3198,251.663,106.5,101.6035,102.016
2018-09-01,2.3321,1.9603,2.0823,2.2052,1.1134,252.182,106.6,101.7053,102.205
2018-10-01,2.492,1.8709,2.2865,2.2031,1.417,252.772,106.7,102.0107,102.366
2018-11-01,2.1473,2.0102,1.9189,2.1012,0.9082,252.594,106.9,101.8071,102.556
2018-12-01,2.0024,2.0381,1.5221,2.0,0.3019,252.767,107.1,101.5017,102.735
2019-01-01,1.4876,1.8444,1.3883,1.8182,0.2011,252.561,106.4,101.5017,102.87
2019-02-01,1.5189,1.7441,1.4934,1.8112,0.2011,253.319,106.8,101.5017,102.963
2019-03-01,1.8832,1.6161,1.3993,1.8078,0.5041,254.277,107.0,101.5017,103.058
2019-04-01,2.0006,1.6368,1.7228,1.9905,0.9082,255.233,107.6,101.8071,103.265
2019-05-01,1.7959,1.5632,1.2215,1.8886,0.705,255.296,107.9,101.8071,103.371
2019-06-01,1.6712,1.657,1.2681,1.8886,0.6049,255.213,107.9,101.6035,103.56
2019-07-01,1.8263,1.6391,1.0207,1.983,0.6049,255.802,108.0,101.6035,103.678
2019-08-01,1.7376,1.7458,1.0095,1.6901,0.2004,256.036,108.3,101.8071,103.797
2019-09-01,1.6845,1.632,0.8332,1.6886,0.2002,256.43,108.4,101.9089,103.873
2019-10-01,1.734,1.6236,0.726,1.4995,0.1996,257.155,108.3,102.2143,104.028
2019-11-01,2.0923,1.4977,0.9606,1.4967,0.5,257.879,108.5,102.3161,104.092
2019-12-01,2.3195,1.5448,1.3263,1.3072,0.8024,258.63,108.5,102.3161,104.322
2020-01-01,2.5998,1.5913,1.3596,1.7857,0.8024,259.127,108.3,102.3161,104.507
2020-02-01,2.3413,1.6977,1.2197,1.6854,0.6018,259.25,108.6,102.1125,104.711
2020-03-01,1.494,1.5273,0.7475,1.4953,0.6018,258.076,108.6,102.1125,104.632
2020-04-01,0.313,0.9955,0.314,0.9294,0.2,256.032,108.6,102.0107,104.293
2020-05-01,0.1982,0.9974,0.0855,0.6487,0.1,255.802,108.6,101.9089,104.402
2020-06-01,0.7167,0.9705,0.2656,0.8341,0.1002,257.042,108.8,101.7053,104.565
2020-07-01,0.9969,1.2143,0.3908,1.1111,0.2004,258.352,109.2,101.8071,104.937
2020-08-01,1.2811,1.3931,-0.1713,0.4617,0.1,259.316,108.8,101.9089,105.243
2020-09-01,1.391,1.4797,-0.3134,0.738,-0.1998,259.997,109.2,101.7053,105.41
2020-10-01,1.2304,1.4217,-0.275,0.831,-0.5976,260.319,109.2,101.6035,105.507
2020-11-01,1.1757,1.4535,-0.2854,0.553,-0.9951,260.911,109.1,101.298,105.605
2020-12-01,1.3204,1.5088,-0.2656,0.8295,-1.194,262.045,109.4,101.0944,105.896
2021-01-01,1.3738,1.6975,0.9102,0.9234,-0.6965,262.687,109.3,101.6035,106.281
2021-02-01,1.6698,1.7095,0.9373,0.7366,-0.4985,263.579,109.4,101.6035,106.501
2021-03-01,2.6678,2.1991,1.3317,1.0129,-0.3988,264.961,109.7,101.7053,106.933
