datetime_utc,open,high,low,close,volume,session,date
2015-01-01 20:00:00,1.21038,1.21073,1.20783,1.20869,5732.389999999999,late_ny_early_sydney,2015-01-01
2015-01-02 00:00:00,1.20871,1.2089,1.20476,1.20574,16783.01,late_sydney_early_asian,2015-01-02
2015-01-02 04:00:00,1.20574,1.20597,1.20349,1.20561,14445.26,asian_early_london,2015-01-02
2015-01-02 08:00:00,1.20564,1.20697,1.2039,1.20544,25785.04,london,2015-01-02
2015-01-02 12:00:00,1.20543,1.20549,1.20087,1.20314,33856.07,london_ny_overlap,2015-01-02
2015-01-02 16:00:00,1.20314,1.20319,1.20039,1.20056,20678.07,ny,2015-01-02
2015-01-02 20:00:00,1.20055,1.20088,1.20004,1.20017,7837.01,late_ny_early_sydney,2015-01-02
2015-01-04 20:00:00,1.19495,1.19537,1.18677,1.19469,13740.64,late_ny_early_sydney,2015-01-04
2015-01-05 00:00:00,1.19469,1.19761,1.1944,1.19441,21195.760000000002,late_sydney_early_asian,2015-01-05
2015-01-05 04:00:00,1.1944,1.19608,1.1926,1.19566,20137.6,asian_early_london,2015-01-05
2015-01-05 08:00:00,1.19552,1.19762,1.19001,1.19052,38611.68,london,2015-01-05
2015-01-05 12:00:00,1.19052,1.19416,1.18872,1.19369,46953.44,london_ny_overlap,2015-01-05
2015-01-05 16:00:00,1.19367,1.19403,1.19125,1.19388,21952.35,ny,2015-01-05
2015-01-05 20:00:00,1.19388,1.19496,1.19268,1.19374,10445.74,late_ny_early_sydney,2015-01-05
2015-01-06 00:00:00,1.19374,1.19549,1.1934,1.19441,12676.16,late_sydney_early_asian,2015-01-06
2015-01-06 04:00:00,1.19443,1.19687,1.19416,1.19423,20230.31,asian_early_london,2015-01-06
2015-01-06 08:00:00,1.19422,1.19524,1.18878,1.18913,40274.82,london,2015-01-06
2015-01-06 12:00:00,1.18915,1.19334,1.18842,1.1919,45298.16,london_ny_overlap,2015-01-06
2015-01-06 16:00:00,1.19189,1.19584,1.19118,1.19128,39198.58,ny,2015-01-06
2015-01-06 20:00:00,1.19129,1.19147,1.18461,1.18722,19991.76,late_ny_early_sydney,2015-01-06
2015-01-07 00:00:00,1.18722,1.18812,1.18636,1.18761,13947.74,late_sydney_early_asian,2015-01-07
2015-01-07 04:00:00,1.18761,1.18893,1.18547,1.18872,20434.6,asian_early_london,2015-01-07
2015-01-07 08:00:00,1.18875,1.18966,1.18189,1.18205,48916.41,london,2015-01-07
2015-01-07 12:00:00,1.18205,1.18452,1.18022,1.18024,48660.76,london_ny_overlap,2015-01-07
2015-01-07 16:00:00,1.18023,1.18585,1.18023,1.18502,37226.99,ny,2015-01-07
2015-01-07 20:00:00,1.18499,1.18503,1.18309,1.18337,12493.33,late_ny_early_sydney,2015-01-07
2015-01-08 00:00:00,1.18337,1.18475,1.18174,1.1827,14182.99,late_sydney_early_asian,2015-01-08
2015-01-08 04:00:00,1.1827,1.18291,1.18037,1.18202,16570.21,asian_early_london,2015-01-08
2015-01-08 08:00:00,1.182,1.18228,1.17625,1.17735,36644.61,london,2015-01-08
2015-01-08 12:00:00,1.1773,1.17988,1.17543,1.17921,44331.69,london_ny_overlap,2015-01-08
2015-01-08 16:00:00,1.17923,1.18192,1.17802,1.17841,27316.8,ny,2015-01-08
2015-01-08 20:00:00,1.17841,1.17965,1.17833,1.1792,11173.5,late_ny_early_sydney,2015-01-08
2015-01-09 00:00:00,1.1792,1.18108,1.17902,1.18032,14741.64,late_sydney_early_asian,2015-01-09
2015-01-09 04:00:00,1.18033,1.18149,1.17851,1.17932,18050.11,asian_early_london,2015-01-09
2015-01-09 08:00:00,1.17933,1.18199,1.17921,1.18095,35989.0,london,2015-01-09
2015-01-09 12:00:00,1.18095,1.1838,1.17629,1.18321,62317.670000000006,london_ny_overlap,2015-01-09
2015-01-09 16:00:00,1.18322,1.1846,1.18225,1.18416,30190.27,ny,2015-01-09
2015-01-09 20:00:00,1.18416,1.18442,1.1831,1.18406,6654.96,late_ny_early_sydney,2015-01-09
2015-01-11 20:00:00,1.18452,1.18699,1.1845,1.18697,4748.77,late_ny_early_sydney,2015-01-11
2015-01-12 00:00:00,1.18697,1.18697,1.18452,1.1855,14933.529999999999,late_sydney_early_asian,2015-01-12
2015-01-12 04:00:00,1.18551,1.18708,1.18499,1.18542,15675.94,asian_early_london,2015-01-12
2015-01-12 08:00:00,1.18542,1.18543,1.17883,1.17991,45233.24,london,2015-01-12
2015-01-12 12:00:00,1.17991,1.18449,1.17861,1.18166,50367.740000000005,london_ny_overlap,2015-01-12
2015-01-12 16:00:00,1.18167,1.18459,1.18091,1.18394,28432.78,ny,2015-01-12
2015-01-12 20:00:00,1.18394,1.18403,1.18267,1.18318,8896.87,late_ny_early_sydney,2015-01-12
2015-01-13 00:00:00,1.18319,1.18596,1.18231,1.18459,18710.45,late_sydney_early_asian,2015-01-13
2015-01-13 04:00:00,1.18459,1.1852,1.18199,1.18503,24754.91,asian_early_london,2015-01-13
2015-01-13 08:00:00,1.18503,1.18504,1.17865,1.17931,43782.520000000004,london,2015-01-13
2015-01-13 12:00:00,1.17929,1.17983,1.17531,1.17811,51720.17,london_ny_overlap,2015-01-13
2015-01-13 16:00:00,1.17814,1.17998,1.17607,1.17641,39242.59,ny,2015-01-13
2015-01-13 20:00:00,1.17641,1.17796,1.17588,1.1777,12567.18,late_ny_early_sydney,2015-01-13
2015-01-14 00:00:00,1.17771,1.17823,1.17641,1.17739,20931.02,late_sydney_early_asian,2015-01-14
2015-01-14 04:00:00,1.17738,1.18088,1.17735,1.18002,25730.12,asian_early_london,2015-01-14
2015-01-14 08:00:00,1.18002,1.18112,1.17273,1.17538,54899.78,london,2015-01-14
2015-01-14 12:00:00,1.17539,1.18464,1.17432,1.17863,63226.979999999996,london_ny_overlap,2015-01-14
2015-01-14 16:00:00,1.17863,1.18137,1.17753,1.17767,36858.3,ny,2015-01-14
2015-01-14 20:00:00,1.1777,1.17925,1.17766,1.1784,12676.420000000002,late_ny_early_sydney,2015-01-14
2015-01-15 00:00:00,1.1784,1.17903,1.17727,1.17808,15601.87,late_sydney_early_asian,2015-01-15
2015-01-15 04:00:00,1.17808,1.17861,1.176,1.17771,18917.739999999998,asian_early_london,2015-01-15
2015-01-15 08:00:00,1.17771,1.17776,1.15675,1.16925,80486.89,london,2015-01-15
2015-01-15 12:00:00,1.16927,1.1747,1.15857,1.15859,87431.75,london_ny_overlap,2015-01-15
2015-01-15 16:00:00,1.15857,1.16358,1.15678,1.16129,60242.04,ny,2015-01-15
2015-01-15 20:00:00,1.16133,1.16394,1.16061,1.1636,24075.54,late_ny_early_sydney,2015-01-15
2015-01-16 00:00:00,1.16361,1.16462,1.15999,1.16393,30084.1,late_sydney_early_asian,2015-01-16
2015-01-16 04:00:00,1.16395,1.16487,1.16216,1.16324,28864.99,asian_early_london,2015-01-16
2015-01-16 08:00:00,1.16322,1.1646,1.15756,1.15865,52940.619999999995,london,2015-01-16
2015-01-16 12:00:00,1.15866,1.16095,1.146,1.14917,68812.85,london_ny_overlap,2015-01-16
2015-01-16 16:00:00,1.14928,1.15848,1.14894,1.15847,49656.03,ny,2015-01-16
2015-01-16 20:00:00,1.15852,1.15892,1.15528,1.15626,12855.41,late_ny_early_sydney,2015-01-16
2015-01-18 20:00:00,1.15515,1.15735,1.15515,1.15612,4557.42,late_ny_early_sydney,2015-01-18
2015-01-19 00:00:00,1.15614,1.15741,1.1553,1.15606,18513.96,late_sydney_early_asian,2015-01-19
2015-01-19 04:00:00,1.15608,1.15856,1.15521,1.1559,21534.47,asian_early_london,2015-01-19
2015-01-19 08:00:00,1.1559,1.16283,1.15514,1.1588,39828.89,london,2015-01-19
2015-01-19 12:00:00,1.15882,1.16388,1.15859,1.16311,36467.52,london_ny_overlap,2015-01-19
2015-01-19 16:00:00,1.16314,1.16387,1.16013,1.16014,17393.809999999998,ny,2015-01-19
2015-01-19 20:00:00,1.16016,1.16107,1.15912,1.15947,7238.24,late_ny_early_sydney,2015-01-19
2015-01-20 00:00:00,1.15946,1.16017,1.15725,1.15809,19692.66,late_sydney_early_asian,2015-01-20
2015-01-20 04:00:00,1.15809,1.15929,1.15684,1.15908,20034.6,asian_early_london,2015-01-20
2015-01-20 08:00:00,1.15906,1.1615,1.15693,1.1582,39635.68,london,2015-01-20
2015-01-20 12:00:00,1.15822,1.16054,1.15707,1.15733,36423.39,london_ny_overlap,2015-01-20
