datetime_utc,open,high,low,close,volume,session,date
2015-01-01 20:00:00,1183.949,1187.403,1183.23,1186.664,0.09,late_ny_early_sydney,2015-01-01
2015-01-02 00:00:00,1186.684,1188.282,1184.261,1186.182,0.5800000000000001,late_sydney_early_asian,2015-01-02
2015-01-02 04:00:00,1186.261,1187.481,1184.481,1185.842,1.6400000000000001,asian_early_london,2015-01-02
2015-01-02 08:00:00,1185.881,1187.941,1180.581,1182.711,6.76,london,2015-01-02
2015-01-02 12:00:00,1182.851,1194.331,1167.43,1187.941,16.759999999999998,london_ny_overlap,2015-01-02
2015-01-02 16:00:00,1187.941,1194.998,1182.176,1185.146,11.12,ny,2015-01-02
2015-01-02 20:00:00,1185.158,1189.055,1184.294,1188.281,0.43000000000000005,late_ny_early_sydney,2015-01-02
2015-01-04 20:00:00,1188.111,1188.48,1177.929,1183.841,0.69,late_ny_early_sydney,2015-01-04
2015-01-05 00:00:00,1183.841,1194.268,1182.784,1192.873,4.85,late_sydney_early_asian,2015-01-05
2015-01-05 04:00:00,1192.863,1197.748,1191.112,1195.642,4.67,asian_early_london,2015-01-05
2015-01-05 08:00:00,1195.625,1197.399,1186.948,1189.09,7.91,london,2015-01-05
2015-01-05 12:00:00,1189.09,1202.517,1186.729,1198.738,18.97,london_ny_overlap,2015-01-05
2015-01-05 16:00:00,1198.689,1204.388,1194.388,1203.98,8.44,ny,2015-01-05
2015-01-05 20:00:00,1203.979,1207.387,1202.28,1203.241,0.81,late_ny_early_sydney,2015-01-05
2015-01-06 00:00:00,1203.23,1205.822,1201.603,1205.602,3.42,late_sydney_early_asian,2015-01-06
2015-01-06 04:00:00,1205.691,1211.842,1205.211,1208.632,5.34,asian_early_london,2015-01-06
2015-01-06 08:00:00,1208.643,1214.278,1206.611,1210.082,11.05,london,2015-01-06
2015-01-06 12:00:00,1210.061,1213.949,1205.402,1208.781,14.93,london_ny_overlap,2015-01-06
2015-01-06 16:00:00,1208.789,1223.022,1207.192,1217.278,18.05,ny,2015-01-06
2015-01-06 20:00:00,1217.278,1219.768,1215.955,1216.116,1.67,late_ny_early_sydney,2015-01-06
2015-01-07 00:00:00,1216.372,1218.568,1214.088,1214.188,3.9699999999999998,late_sydney_early_asian,2015-01-07
2015-01-07 04:00:00,1214.174,1215.374,1211.982,1214.111,4.21,asian_early_london,2015-01-07
2015-01-07 08:00:00,1214.111,1218.258,1211.011,1213.428,6.66,london,2015-01-07
2015-01-07 12:00:00,1213.424,1216.358,1208.951,1214.452,15.23,london_ny_overlap,2015-01-07
2015-01-07 16:00:00,1214.452,1216.386,1209.404,1215.663,8.78,ny,2015-01-07
2015-01-07 20:00:00,1215.632,1216.61,1209.735,1212.269,1.2,late_ny_early_sydney,2015-01-07
2015-01-08 00:00:00,1212.27,1214.202,1206.571,1207.449,3.59,late_sydney_early_asian,2015-01-08
2015-01-08 04:00:00,1207.449,1210.174,1204.788,1208.512,4.95,asian_early_london,2015-01-08
2015-01-08 08:00:00,1208.529,1208.912,1204.771,1206.767,6.55,london,2015-01-08
2015-01-08 12:00:00,1206.711,1216.429,1205.642,1212.498,15.61,london_ny_overlap,2015-01-08
2015-01-08 16:00:00,1212.498,1215.231,1206.649,1207.569,9.78,ny,2015-01-08
2015-01-08 20:00:00,1207.569,1209.038,1206.276,1208.107,1.31,late_ny_early_sydney,2015-01-08
2015-01-09 00:00:00,1208.096,1212.978,1207.937,1211.019,4.03,late_sydney_early_asian,2015-01-09
2015-01-09 04:00:00,1210.981,1214.212,1210.751,1211.371,3.07,asian_early_london,2015-01-09
2015-01-09 08:00:00,1211.375,1212.398,1209.369,1212.022,5.7299999999999995,london,2015-01-09
2015-01-09 12:00:00,1212.026,1220.832,1206.939,1217.979,18.29,london_ny_overlap,2015-01-09
2015-01-09 16:00:00,1217.941,1221.329,1215.351,1220.085,9.61,ny,2015-01-09
2015-01-09 20:00:00,1220.108,1223.978,1218.457,1223.032,0.56,late_ny_early_sydney,2015-01-09
2015-01-11 20:00:00,1223.029,1226.33,1222.729,1225.514,0.33,late_ny_early_sydney,2015-01-11
2015-01-12 00:00:00,1225.525,1228.199,1222.301,1225.115,3.66,late_sydney_early_asian,2015-01-12
2015-01-12 04:00:00,1225.162,1231.078,1224.168,1228.042,4.73,asian_early_london,2015-01-12
2015-01-12 08:00:00,1228.042,1228.142,1217.472,1219.459,6.47,london,2015-01-12
2015-01-12 12:00:00,1219.448,1227.979,1218.186,1225.771,16.549999999999997,london_ny_overlap,2015-01-12
2015-01-12 16:00:00,1225.781,1235.822,1225.152,1233.371,11.58,ny,2015-01-12
2015-01-12 20:00:00,1233.39,1234.791,1230.665,1231.277,0.8700000000000001,late_ny_early_sydney,2015-01-12
2015-01-13 00:00:00,1231.264,1241.159,1230.587,1236.493,5.74,late_sydney_early_asian,2015-01-13
2015-01-13 04:00:00,1236.474,1239.571,1233.436,1239.559,6.91,asian_early_london,2015-01-13
2015-01-13 08:00:00,1239.559,1244.087,1236.864,1238.328,13.93,london,2015-01-13
2015-01-13 12:00:00,1238.378,1242.868,1231.549,1235.372,21.020000000000003,london_ny_overlap,2015-01-13
2015-01-13 16:00:00,1235.385,1240.721,1227.238,1233.782,14.61,ny,2015-01-13
2015-01-13 20:00:00,1233.782,1233.832,1229.827,1233.007,1.31,late_ny_early_sydney,2015-01-13
2015-01-14 00:00:00,1233.007,1234.491,1224.976,1227.761,8.8,late_sydney_early_asian,2015-01-14
2015-01-14 04:00:00,1227.801,1232.982,1225.672,1229.691,8.31,asian_early_london,2015-01-14
2015-01-14 08:00:00,1229.638,1231.229,1225.292,1228.111,14.700000000000001,london,2015-01-14
2015-01-14 12:00:00,1228.172,1244.308,1226.978,1238.468,27.7,london_ny_overlap,2015-01-14
2015-01-14 16:00:00,1238.441,1239.942,1227.661,1232.989,14.71,ny,2015-01-14
2015-01-14 20:00:00,1232.915,1233.278,1227.958,1230.866,1.76,late_ny_early_sydney,2015-01-14
2015-01-15 00:00:00,1230.891,1232.219,1226.936,1230.594,5.04,late_sydney_early_asian,2015-01-15
2015-01-15 04:00:00,1230.581,1232.163,1225.965,1228.621,6.4399999999999995,asian_early_london,2015-01-15
2015-01-15 08:00:00,1228.621,1260.729,1226.819,1255.969,16.4,london,2015-01-15
