date,gld_holdings,cot_net_long,us_real_yield,m2_money_supply
2015-01-01,,,,11805.2
2015-01-02,811063181.02,,0.41,
2015-01-05,946942944.96,,0.4,
2015-01-06,1316229726.87,,0.41,
2015-01-07,749133907.96,,0.39,
2015-01-08,815487195.17,,0.41,
2015-01-09,933729671.01,,0.36,
2015-01-12,986205771.69,,0.35,
2015-01-13,909028540.17,,0.37,
2015-01-14,911601387.43,,0.29,
2015-01-15,2139730993.19,,0.19,
2015-01-16,1767743015.57,,0.23,
2015-01-19,,,,
2015-01-20,1859100074.32,,0.23,
2015-01-21,1376803858.2,,0.26,
2015-01-22,1317219267.31,,0.29,
2015-01-23,779033928.05,,0.21,
2015-01-26,832470099.54,,0.22,
2015-01-27,1192349134.63,,0.17,
2015-01-28,1045441436.49,,0.12,
2015-01-29,1448878505.63,,0.15,
2015-01-30,1796925810.58,,0.03,
2015-02-01,,,,11922.8
2015-02-02,1087726167.73,,0.03,
2015-02-03,999376720.2,,0.09,
2015-02-04,654914995.86,,0.1,
2015-02-05,837903027.3,,0.13,
2015-02-06,1566866607.94,,0.24,
2015-02-09,624117114.41,,0.25,
2015-02-10,484103965.99,,0.31,
2015-02-11,794249705.93,,0.32,
2015-02-12,509771880.09,,0.33,
2015-02-13,484768035.79,,0.34,
2015-02-16,,,,
2015-02-17,838195467.43,,0.43,
2015-02-18,969810209.47,,0.36,
2015-02-19,756937493.94,,0.37,
2015-02-20,770266367.84,,0.38,
2015-02-23,555495333.47,,0.34,
2015-02-24,877462870.26,,0.27,
2015-02-25,582260234.64,,0.24,
2015-02-26,467228176.77,,0.24,
2015-02-27,958970526.23,,0.17,
2015-03-01,,,,11920.5
2015-03-02,924664946.44,,0.25,
2015-03-03,547131506.78,,0.26,
2015-03-04,548199866.91,,0.25,
2015-03-05,675303000.0,,0.27,
2015-03-06,1251802894.83,,0.41,
2015-03-09,619641986.76,,0.44,
2015-03-10,782146103.15,,0.41,
2015-03-11,725456800.0,,0.39,
2015-03-12,734239688.1,,0.39,
2015-03-13,505346675.48,,0.44,
2015-03-16,361827885.03,,0.45,
2015-03-17,983436884.83,,0.42,
2015-03-18,1398781794.19,,0.23,
2015-03-19,734118338.99,,0.19,
2015-03-20,912353235.55,,0.17,
2015-03-23,484623890.88,,0.17,
2015-03-24,341338400.09,,0.11,
2015-03-25,346645232.14,,0.12,
2015-03-26,634585714.45,,0.21,
2015-03-27,566290789.98,,0.19,
2015-03-30,498668625.0,,0.23,
2015-03-31,498205894.05,,0.18,
2015-04-01,846654388.82,,0.07,11954.6
2015-04-02,447759043.26,,0.11,
2015-04-03,,,0.02,
2015-04-06,690128012.44,,0.07,
2015-04-07,286617536.51,,0.04,
2015-04-08,642994701.8,,0.08,
2015-04-09,539751681.38,,0.13,
2015-04-10,456040432.8,,0.14,
2015-04-13,367308112.05,,0.14,
2015-04-14,417877668.91,,0.1,
2015-04-15,422012081.12,,0.07,
2015-04-16,360308465.18,,0.05,
2015-04-17,404172274.67,,-0.02,
2015-04-20,451170820.8,,0.01,
2015-04-21,382796216.89,,0.06,
2015-04-22,648375690.43,,0.12,
2015-04-23,396666282.67,,0.07,
2015-04-24,808635366.83,,0.04,
2015-04-27,863544921.71,,0.03,
2015-04-28,936968366.75,,0.11,
2015-04-29,828264470.32,,0.14,
2015-04-30,1071190852.52,,0.11,
2015-05-01,859068773.91,,0.18,11982.6
2015-05-04,416248204.43,,0.24,
2015-05-05,441260722.94,,0.25,
2015-05-06,375180854.0,,0.34,
2015-05-07,618717432.01,,0.3,
2015-05-08,1135608489.16,,0.28,
2015-05-11,331132947.44,,0.4,
2015-05-12,372892150.0,,0.4,
2015-05-13,1371583745.91,,0.41,
2015-05-14,811237142.11,,0.36,
2015-05-15,522691163.57,,0.31,
2015-05-18,596989830.95,,0.37,
2015-05-19,585487865.92,,0.42,
2015-05-20,514536216.12,,0.38,
2015-05-21,290925649.14,,0.35,
2015-05-22,205791117.28,,0.34,
2015-05-25,,,,
2015-05-26,657215157.13,,0.32,
2015-05-27,305350477.36,,0.34,
2015-05-28,600429302.32,,0.33,
2015-05-29,388795744.8,,0.32,
2015-06-01,940956000.0,,0.39,12023.2
2015-06-02,456535152.35,,0.44,
2015-06-03,555154125.02,,0.55,
2015-06-04,628135123.61,,0.5,
2015-06-05,624200300.12,,0.55,
2015-06-08,351454796.05,,0.54,
2015-06-09,398243316.92,,0.56,
2015-06-10,620430955.34,,0.63,
2015-06-11,502274131.47,,0.56,
2015-06-12,339520165.07,,0.55,
2015-06-15,574916539.97,,0.51,
2015-06-16,457053554.77,,0.44,
2015-06-17,735015590.15,,0.42,
2015-06-18,927322713.55,,0.46,
2015-06-19,530887404.67,,0.4,
2015-06-22,654986864.48,,0.47,
2015-06-23,510578889.24,,0.5,
2015-06-24,335011534.1,,0.48,
2015-06-25,326604475.09,,0.49,
2015-06-26,494431045.28,,0.57,
2015-06-29,658090012.22,,0.46,
2015-06-30,887385911.69,,0.48,
2015-07-01,493719834.8,,0.54,12067.0
2015-07-02,429001944.2,,0.49,
2015-07-03,,,,
2015-07-06,477353177.6,,0.43,
2015-07-07,1004969803.38,,0.4,
2015-07-08,632646420.14,,0.39,
2015-07-09,423490946.32,,0.47,
2015-07-10,400795393.32,,0.55,
2015-07-13,474959497.86,,0.58,
2015-07-14,288034734.44,,0.56,
2015-07-15,1022967826.01,,0.52,
2015-07-16,508155881.89,,0.52,
2015-07-17,1614354317.67,,0.51,
2015-07-20,1664954641.93,,0.56,
2015-07-21,1108471354.89,,0.53,
2015-07-22,874996185.48,,0.53,
2015-07-23,602954379.58,,0.49,
2015-07-24,1219183927.34,,0.51,
2015-07-27,1120963892.52,,0.5,
2015-07-28,582776965.37,,0.51,
2015-07-29,590729362.72,,0.52,
2015-07-30,693604017.67,,0.51,
2015-07-31,701897758.04,,0.46,
2015-08-01,,,,12112.0
2015-08-03,367327254.62,,0.46,
2015-08-04,338068702.09,,0.52,
2015-08-05,523911131.54,,0.58,
2015-08-06,407966556.61,,0.56,
2015-08-07,460554191.72,,0.52,
2015-08-10,622965679.19,,0.55,
2015-08-11,431511242.68,,0.49,
2015-08-12,1079924375.0,,0.52,
2015-08-13,508835264.91,,0.57,
2015-08-14,374958014.65,,0.58,
2015-08-17,618043667.15,,0.58,
2015-08-18,441486000.52,,0.62,
2015-08-19,763660126.47,,0.55,
2015-08-20,1385911590.64,,0.53,
2015-08-21,1546662849.77,,0.52,
2015-08-24,2032502988.55,,0.52,
2015-08-25,1088783708.53,,0.59,
2015-08-26,1168930102.12,,0.65,
2015-08-27,872839260.2,,0.6,
2015-08-28,821652406.93,,0.58,
2015-08-31,493183120.62,,0.58,
2015-09-01,772895738.4,,0.6,12173.9
2015-09-02,447047345.3,,0.64,
2015-09-03,421988689.67,,0.64,
2015-09-04,432647241.4,,0.62,
2015-09-07,,,,
2015-09-08,643195371.92,,0.67,
2015-09-09,939791738.68,,0.65,
2015-09-10,659981502.96,,0.64,
2015-09-11,427177238.74,,0.61,
2015-09-14,249701978.87,,0.62,
2015-09-15,307639504.43,,0.72,
2015-09-16,570417023.02,,0.73,
2015-09-17,911055988.78,,0.63,
2015-09-18,742005496.78,,0.58,
2015-09-21,445493938.99,,0.66,
2015-09-22,591044912.02,,0.63,
2015-09-23,296977327.35,,0.64,
2015-09-24,1218074883.45,,0.64,
2015-09-25,572055182.28,,0.71,
2015-09-28,413036825.02,,0.71,
2015-09-29,436627941.57,,0.66,
2015-09-30,791362420.52,,0.65,
2015-10-01,456654992.36,,0.59,12225.2
2015-10-02,842558077.49,,0.51,
2015-10-05,597169035.57,,0.56,
2015-10-06,825477058.59,,0.53,
2015-10-07,587498333.66,,0.53,
2015-10-08,549869144.92,,0.54,
2015-10-09,876682372.72,,0.58,
2015-10-12,696566833.72,,,
2015-10-13,576034259.14,,0.54,
2015-10-14,1161749693.08,,0.5,
2015-10-15,1595565043.89,,0.54,
2015-10-16,824326704.35,,0.56,
2015-10-19,443531974.71,,0.59,
2015-10-20,552737752.46,,0.6,
2015-10-21,436730237.12,,0.59,
2015-10-22,383811524.39,,0.57,
2015-10-23,542826600.0,,0.58,
2015-10-26,286765105.79,,0.59,
2015-10-27,295516448.81,,0.57,
2015-10-28,908528925.99,,0.63,
2015-10-29,565145782.29,,0.67,
2015-10-30,605871776.92,,0.63,
2015-11-01,,,,12317.0
2015-11-02,634523925.6,,0.65,
2015-11-03,764404217.99,,0.65,
2015-11-04,807258275.3,,0.68,
2015-11-05,626561400.38,,0.71,
2015-11-06,919400776.52,,0.75,
2015-11-09,431088486.3,,0.76,
2015-11-10,463684345.36,,0.77,
2015-11-11,366270714.46,,,
2015-11-12,654306915.39,,0.78,
2015-11-13,333898144.13,,0.76,
2015-11-16,306068949.3,,0.76,
2015-11-17,879417822.53,,0.72,
2015-11-18,516636435.54,,0.71,
2015-11-19,526871843.58,,0.68,
2015-11-20,615612222.13,,0.66,
2015-11-23,413386058.64,,0.64,
2015-11-24,358190032.5,,0.62,
2015-11-25,300340995.32,,0.62,
2015-11-26,,,,
2015-11-27,505602000.0,,0.62,
2015-11-30,690304147.6,,0.62,
2015-12-01,475182646.33,,0.58,12387.9
2015-12-02,1029404239.96,,0.62,
2015-12-03,661429837.89,,0.72,
2015-12-04,1109914168.18,,0.68,
2015-12-07,451080636.96,,0.67,
2015-12-08,350920919.5,,0.68,
2015-12-09,618539428.32,,0.69,
2015-12-10,395176436.76,,0.73,
2015-12-11,700983028.15,,0.67,
2015-12-14,566339207.09,,0.78,
2015-12-15,693493249.07,,0.8,
2015-12-16,852023550.0,,0.84,
2015-12-17,1020698100.0,,0.77,
2015-12-18,851615643.64,,0.73,
2015-12-21,657983544.73,,0.75,
2015-12-22,423112337.52,,0.78,
2015-12-23,288657427.11,,0.76,
2015-12-24,176236115.22,,0.73,
2015-12-25,,,,
2015-12-28,343238562.73,,0.74,
2015-12-29,289450831.36,,0.79,
2015-12-30,379817893.14,,0.77,
2015-12-31,387942452.5,,0.73,
2016-01-01,,,,12518.5
2016-01-04,662611596.07,,0.69,
2016-01-05,361160955.07,,0.69,
