date,usd_news_volume,eur_news_volume,gbp_news_volume,jpy_news_volume
2015-01-01,17.249,21.5484,12.2323,18.8822
2015-01-02,11.0694,10.7589,12.9601,1.8627
2015-01-03,18.0039,15.9247,22.1929,12.6983
2015-01-04,22.3806,20.4956,4.5283,19.514
2015-01-05,13.4859,10.7698,13.5531,16.029
2015-01-06,15.1176,24.0822,9.6248,10.3057
2015-01-07,21.7234,6.175,5.5661,1.6767
2015-01-08,14.5374,18.8484,15.535,8.8713
2015-01-09,9.087,9.571,14.1575,11.0765
2015-01-10,17.4783,13.552,17.0126,10.3459
2015-01-11,12.4484,5.3154,19.3706,15.4809
2015-01-12,11.893,11.9476,11.823,16.7536
2015-01-13,16.7367,10.3278,13.3637,18.8803
2015-01-14,7.2113,13.7395,27.7064,4.9981
2015-01-15,9.3904,17.3284,16.7821,11.4435
2015-01-16,13.2457,20.8461,19.7328,14.534
2015-01-17,9.7013,15.8035,14.7974,17.6263
2015-01-18,16.3367,16.3038,5.5242,17.2116
2015-01-19,10.2253,9.2879,4.5423,17.1248
2015-01-20,7.5544,10.2121,11.721,12.6988
2015-01-21,20.5301,22.1955,18.4824,11.5637
2015-01-22,8.742,6.1948,13.8123,6.2292
2015-01-23,10.562,18.5054,14.7947,14.0653
2015-01-24,7.6417,13.5502,9.8302,10.163
2015-01-25,12.0436,14.7769,22.8448,19.0156
2015-01-26,9.229,14.0262,3.8499,9.7136
2015-01-27,5.2308,17.3452,12.0498,10.7605
2015-01-28,17.2422,14.8096,15.3119,12.0801
2015-01-29,10.0763,11.1383,12.2102,6.3018
2015-01-30,14.6258,15.8047,22.7773,12.846
2015-01-31,11.7569,16.4553,11.2399,13.1154
2015-02-01,24.0269,19.222,8.0174,2.9203
2015-02-02,13.923,14.0116,14.0905,13.0037
2015-02-03,5.8467,14.2297,9.1361,15.7571
2015-02-04,16.6076,20.6867,29.3818,15.331
2015-02-05,4.3784,12.3892,13.8652,8.0016
2015-02-06,12.1252,12.6392,9.0342,11.3156
2015-02-07,4.9671,7.1709,9.4849,11.9846
2015-02-08,8.1245,1.6118,5.364,15.5093
2015-02-09,13.7783,14.7359,7.6679,20.4946
2015-02-10,14.6917,10.5252,11.574,15.8418
2015-02-11,11.4891,8.0583,17.7689,13.2362
2015-02-12,7.8514,9.6473,14.0381,5.9652
2015-02-13,6.0404,7.2439,8.6914,11.2956
2015-02-14,7.3729,20.4044,13.1496,6.3311
2015-02-15,11.1662,15.196,16.1095,13.5037
2015-02-16,12.4623,11.0308,12.1723,17.684
2015-02-17,14.3407,14.0059,17.6469,12.7572
2015-02-18,10.2973,7.4935,7.6332,11.9286
2015-02-19,0.0,10.9943,7.93,9.8358
2015-02-20,8.6361,4.6286,0.0,6.037
2015-02-21,12.8401,11.5163,13.7883,17.4553
2015-02-22,11.3809,15.1863,18.9479,10.0012
2015-02-23,10.4275,7.4333,2.0305,3.1458
2015-02-24,11.3413,8.5854,2.4327,6.4949
2015-02-25,11.0466,5.047,10.3538,7.2562
2015-02-26,2.2893,0.0,0.0,0.0
2015-02-27,4.1643,3.5465,10.9994,7.9861
2015-02-28,16.4218,18.7346,12.1047,18.6291
2015-03-01,19.6432,13.2786,12.8226,14.379
2015-03-02,2.9066,4.0706,0.0,17.1748
2015-03-03,5.4891,11.3493,8.3076,3.0027
2015-03-04,1.3888,3.3606,19.2198,5.115
2015-03-05,0.6811,0.0,10.5696,4.6868
2015-03-06,12.3019,7.4361,3.9179,7.8584
2015-03-07,21.5467,12.3446,20.4436,13.1218
2015-03-08,14.4054,9.9342,13.1821,7.7314
2015-03-09,13.0666,7.1721,14.9214,5.3162
2015-03-10,12.0733,12.7227,14.2985,9.777
2015-03-11,7.2843,10.4634,0.0,16.6527
2015-03-12,10.3454,10.0733,3.518,19.5496
2015-03-13,17.0172,18.394,14.0489,16.0044
2015-03-14,14.5863,13.0511,15.5238,10.8886
2015-03-15,22.5887,16.1572,9.6467,11.2864
2015-03-16,0.0,6.2507,5.6288,8.0001
2015-03-17,12.9742,4.6329,0.0,17.7875
2015-03-18,7.0022,3.6424,6.1251,5.7398
2015-03-19,5.2079,4.3091,17.7564,0.0654
2015-03-20,5.7341,7.0727,9.3,2.7694
2015-03-21,4.8276,26.5108,25.7175,18.5507
2015-03-22,13.6671,11.1852,19.1775,18.2152
2015-03-23,7.5911,3.7224,10.943,4.8045
2015-03-24,13.4806,5.7755,15.9615,9.5082
2015-03-25,5.9742,10.5446,10.4519,0.0
2015-03-26,5.0126,10.3728,8.1189,9.5742
2015-03-27,5.5538,14.483,13.2258,12.366
2015-03-28,19.3425,2.6335,22.0347,10.6011
2015-03-29,16.4092,2.8308,12.3656,10.5838
2015-03-30,4.6524,4.8218,3.6933,0.0
2015-03-31,10.928,13.8482,9.0559,16.3111
2015-04-01,8.6023,0.2887,12.2744,4.5162
2015-04-02,12.3619,0.0,11.5091,8.7239
2015-04-03,11.2552,17.6214,7.6446,17.785
2015-04-04,13.1272,15.9838,24.3235,22.3258
2015-04-05,12.8049,9.3144,11.5596,13.996
2015-04-06,0.2963,2.6862,6.2885,4.9167
2015-04-07,9.1489,2.8195,3.155,8.5336
2015-04-08,7.8858,7.1332,20.0722,13.001
2015-04-09,5.3961,2.2389,6.5808,4.5196
2015-04-10,3.5042,7.1474,0.4222,0.0
2015-04-11,7.6886,0.4923,19.0851,7.0617
2015-04-12,12.6622,10.4812,18.6111,8.659
2015-04-13,4.8126,0.8959,5.5875,10.8481
2015-04-14,2.1477,4.8774,10.3621,4.556
2015-04-15,4.2242,2.3404,0.9041,1.993
2015-04-16,6.7245,8.6935,2.2397,1.1244
2015-04-17,15.8891,0.0,0.0,6.8834
2015-04-18,15.6384,14.9929,8.1457,13.5682
2015-04-19,16.0532,17.5571,23.8036,13.3998
2015-04-20,5.2838,14.9393,13.8632,12.4026
2015-04-21,0.0,3.1792,5.917,13.2781
2015-04-22,4.7213,6.4761,13.1685,0.0
2015-04-23,4.8423,0.0,3.7408,6.1791
2015-04-24,16.599,0.0,3.0657,0.3985
2015-04-25,13.8037,18.9893,15.048,13.5242
2015-04-26,16.2732,14.7377,14.1409,16.3119
2015-04-27,5.2377,11.3038,4.3353,4.3477
2015-04-28,0.0,0.0,10.1629,5.5983
2015-04-29,11.4925,8.3779,6.5291,9.1432
2015-04-30,11.1152,16.6996,10.9179,8.8284
2015-05-01,8.7954,6.9388,9.9971,1.6061
2015-05-02,10.2185,16.1484,16.7064,11.6195
2015-05-03,21.7794,14.8082,9.9141,7.5669
2015-05-04,0.0,0.0,0.0,0.7746
2015-05-05,9.9635,13.8071,7.7731,16.8396
2015-05-06,19.1236,5.117,7.315,4.2113
2015-05-07,3.1914,10.6665,8.5811,2.1772
2015-05-08,2.2263,0.0,4.9775,6.6574
2015-05-09,15.2637,8.8682,27.6833,14.2136
2015-05-10,12.2481,21.9409,8.1143,13.7875
2015-05-11,0.0,4.6673,0.0,13.449
2015-05-12,6.7602,13.6838,8.0793,9.163
2015-05-13,0.9699,5.8903,4.3993,3.6315
2015-05-14,7.2626,0.0,6.475,2.7722
2015-05-15,0.0,8.8655,7.3246,1.8922
2015-05-16,22.5151,11.816,21.186,19.1392
2015-05-17,10.8492,18.2589,7.2293,13.2247
2015-05-18,3.2707,5.0071,2.0974,0.0
2015-05-19,9.1118,0.0,7.188,4.8026
2015-05-20,0.0,5.9064,8.9373,0.0
2015-05-21,5.1754,15.0192,15.0053,14.9592
2015-05-22,10.601,6.5302,8.8438,0.0
2015-05-23,6.728,14.4779,14.4815,13.9561
2015-05-24,15.6886,20.1422,10.3133,16.0565
2015-05-25,16.0649,15.8188,11.944,13.3222
2015-05-26,10.5984,7.737,3.7258,5.2392
2015-05-27,0.0,0.1571,8.8914,7.7244
2015-05-28,0.0,6.8389,6.9546,13.3007
2015-05-29,8.9999,11.5674,0.0,10.2278
2015-05-30,16.2504,10.5852,12.586,22.158
2015-05-31,16.0179,21.8879,19.1532,9.5324
2015-06-01,8.2992,6.1084,8.3253,8.1538
2015-06-02,3.5339,2.4952,9.7773,7.7103
2015-06-03,7.3067,11.1336,8.0601,7.9009
2015-06-04,9.0384,6.1391,15.7052,14.4542
2015-06-05,3.3215,10.6908,8.0735,5.7893
2015-06-06,24.0943,13.3067,12.8354,12.7379
2015-06-07,17.1346,14.4663,10.1867,17.4354
2015-06-08,2.4051,10.8295,9.6097,0.0
2015-06-09,10.5295,8.7013,0.0,6.0625
2015-06-10,0.6738,0.0,4.6258,4.8763
2015-06-11,8.9796,0.0,4.015,0.4424
2015-06-12,12.1016,10.9557,0.0,11.5939
2015-06-13,10.6621,14.1048,10.1241,9.4543
2015-06-14,19.5823,12.1468,18.8138,14.0861
2015-06-15,10.5615,1.7048,9.6512,9.9634
2015-06-16,11.8193,2.3104,8.218,14.4763
2015-06-17,16.7715,0.0,8.8193,7.2348
2015-06-18,4.2795,5.0001,5.9696,10.1872
2015-06-19,2.7847,3.5612,12.7677,10.0563
2015-06-20,10.3179,9.9325,15.3826,15.3828
2015-06-21,10.6864,14.4248,7.4744,9.3179
2015-06-22,4.5091,6.7145,13.0453,0.0
2015-06-23,5.7438,14.5041,5.8898,4.5706
2015-06-24,6.9851,0.0,2.6554,2.8881
2015-06-25,10.7573,12.4183,0.3543,11.2177
2015-06-26,6.7,11.5004,8.6145,10.3642
2015-06-27,22.0331,10.87,14.1796,13.8424
2015-06-28,13.4422,15.7816,22.6362,8.9769
2015-06-29,26.8027,10.9137,11.4724,15.7556
2015-06-30,15.4873,13.2874,8.172,7.2692
2015-07-01,5.1636,16.995,13.9283,5.657
2015-07-02,5.0466,13.4291,15.0275,5.504
2015-07-03,17.1778,17.3085,15.6087,14.073
2015-07-04,13.6482,12.6139,18.1473,20.6164
2015-07-05,18.3355,7.3452,14.577,14.7403
2015-07-06,13.0664,9.6579,11.8695,8.4841
2015-07-07,9.0852,15.4824,15.2743,1.8213
2015-07-08,10.0692,6.6674,17.4298,17.0638
2015-07-09,7.1504,9.4492,13.8783,10.8227
2015-07-10,8.2229,11.0868,17.2173,11.0431
2015-07-11,19.0475,9.8422,2.9412,12.9944
2015-07-12,15.8359,10.8028,25.0258,18.9564
2015-07-13,0.2431,4.3538,0.0,5.6856
2015-07-14,6.6171,0.0,2.6157,5.4566
2015-07-15,7.4874,0.6902,5.3563,7.9896
2015-07-16,0.0,7.5552,3.3057,14.5728
2015-07-17,4.5892,0.0,8.8526,8.2628
2015-07-18,15.0565,6.7761,9.4763,14.3224
2015-07-19,9.0506,11.6153,16.0693,14.7815
2015-07-20,6.0174,7.8882,1.3374,1.6041
2015-07-21,6.9915,3.203,5.6633,0.0
2015-07-22,9.4669,1.7288,3.7278,1.2879
2015-07-23,10.0277,4.9805,5.2233,0.8979
2015-07-24,0.0,0.0,3.5046,9.5211
2015-07-25,10.0763,17.239,12.2151,9.4095
2015-07-26,17.3406,16.6826,16.2018,21.4315
2015-07-27,11.3521,6.7366,13.5017,12.5434
2015-07-28,8.4216,10.876,2.855,5.9489
2015-07-29,23.832,0.0,0.2245,4.5699
2015-07-30,6.9197,9.7048,7.1326,1.2789
2015-07-31,9.7295,4.8241,3.8891,5.4021
2015-08-01,19.5355,13.0827,18.918,20.2059
2015-08-02,18.0224,14.6661,10.2365,11.2497
2015-08-03,3.0736,4.1136,0.0,0.0
2015-08-04,9.043,11.3495,2.5831,8.7642
2015-08-05,0.7178,0.0,0.7502,6.2037
2015-08-06,5.1109,2.4824,5.9011,0.694
2015-08-07,3.3516,10.9599,2.5942,2.1114
2015-08-08,15.1748,11.7878,18.4705,10.4699
2015-08-09,26.3388,19.2681,13.3247,11.1428
2015-08-10,0.0,12.6984,4.9536,2.5828
2015-08-11,9.6448,4.2045,7.0016,4.8807
2015-08-12,0.0,9.4843,7.0523,2.8235
2015-08-13,3.5547,0.1459,5.7937,2.1235
2015-08-14,10.4617,8.7907,7.57,3.8731
2015-08-15,15.0869,15.7626,10.7872,15.6039
2015-08-16,9.3767,17.1307,21.7626,13.184
2015-08-17,1.6988,2.0475,4.0926,11.0687
2015-08-18,9.7202,0.0,0.0,8.8627
2015-08-19,4.6554,10.8235,9.2476,0.353
2015-08-20,14.6785,3.2792,9.3403,16.2148
2015-08-21,25.9111,24.0965,29.0099,28.7109
2015-08-22,11.5075,19.4714,25.8135,12.5918
2015-08-23,25.4852,15.725,10.8326,7.2895
2015-08-24,46.1336,52.7057,44.6258,43.0043
2015-08-25,26.4209,41.6721,27.769,36.508
2015-08-26,29.729,25.5272,31.0663,23.1885
2015-08-27,19.7502,23.1957,18.6306,15.803
2015-08-28,27.2533,22.7543,19.867,22.5534
2015-08-29,10.8029,6.8546,9.259,13.6001
2015-08-30,14.1918,10.0635,18.4262,12.6791
2015-08-31,28.752,23.4233,31.2636,25.81
2015-09-01,34.5939,20.084,30.382,24.7512
2015-09-02,17.0441,23.283,18.7234,20.8714
2015-09-03,20.7204,21.1476,30.3405,25.0596
2015-09-04,22.9958,17.006,21.6184,23.6206
2015-09-05,11.4988,16.7865,3.9553,6.4056
2015-09-06,23.5927,18.3448,17.0574,12.402
2015-09-07,16.7904,15.9006,9.2416,9.4147
2015-09-08,15.1232,19.8073,26.3706,22.7633
2015-09-09,27.8252,26.1931,21.3302,24.8301
2015-09-10,31.3178,24.1081,23.7256,12.4131
2015-09-11,24.2786,20.6533,26.1237,22.9113
2015-09-12,7.1686,10.6424,8.7212,9.2045
2015-09-13,12.3443,16.1485,11.9358,22.5614
2015-09-14,26.8784,26.5212,20.1655,20.3
2015-09-15,14.6806,15.2358,25.9067,11.9869
2015-09-16,18.82,27.0906,13.309,10.891
2015-09-17,20.1886,13.6873,13.3429,18.0559
2015-09-18,13.2307,18.0274,20.2561,15.9089
2015-09-19,14.4678,11.403,11.8793,14.2822
2015-09-20,0.0,15.8818,15.5281,22.8294
2015-09-21,9.8339,6.2447,7.1981,11.4596
2015-09-22,16.8201,15.3527,29.1546,18.3828
2015-09-23,11.4225,12.2008,10.9229,24.7607
2015-09-24,27.6454,20.16,17.8746,20.8359
2015-09-25,12.5366,24.6595,19.5249,11.6543
2015-09-26,12.5652,17.9955,24.3289,17.2924
2015-09-27,15.4192,2.9072,8.1412,8.9505
2015-09-28,32.3457,35.3497,35.0579,32.1734
2015-09-29,16.8724,25.5281,27.8375,19.9373
2015-09-30,26.6996,17.0013,22.9692,35.7313
2015-10-01,18.2837,19.0181,13.3093,25.5694
2015-10-02,11.136,16.9245,18.8992,12.0604
2015-10-03,17.076,11.4312,11.148,14.8655
2015-10-04,15.7608,15.755,21.0988,18.5337
2015-10-05,11.139,11.1027,9.2847,18.0583
2015-10-06,14.2987,11.9279,13.3839,16.1614
2015-10-07,10.6635,9.1587,9.8137,18.8509
2015-10-08,11.8252,4.0943,6.32,10.6428
2015-10-09,14.106,11.5246,14.502,8.9618
2015-10-10,22.6955,17.692,17.4428,13.0311
2015-10-11,8.5764,17.3399,20.8105,19.0573
2015-10-12,20.2233,13.6577,0.6587,11.384
2015-10-13,1.8371,13.2193,16.9184,13.054
2015-10-14,11.3281,9.4234,24.6143,16.0632
