datetime_utc,shift_type,severity,group_sentiment,group_technical,group_volatility,group_macro,group_other,dominant_group,top_feature_1,top_feature_1_shap,top_feature_2,top_feature_3
2024-08-05 08:00:00,scheduled,3,43.0,41.6,8.6,4.1,2.7,sentiment,dxy_change,0.000389,sess_london,hl_range
2024-08-14 04:00:00,scheduled,3,48.9,38.6,7.0,3.2,2.2,sentiment,dxy_change,0.000669,sess_london,drawdown_20
2024-08-22 00:00:00,scheduled,3,49.9,38.1,5.8,3.9,2.3,sentiment,dxy_change,0.000716,sess_london,sess_late_ny_early_sydney
2024-08-26 00:00:00,unexpected,1,46.2,39.9,7.4,4.0,2.5,sentiment,dxy_change,0.000564,sess_london,hl_range
2024-09-17 04:00:00,scheduled,2,34.5,46.6,10.9,5.4,2.6,technical,dxy_change,0.000324,sess_london,co_range
2024-09-23 00:00:00,scheduled,4,41.2,42.7,7.3,6.4,2.3,technical,dxy_change,0.00051,sess_london,co_range
2024-09-27 04:00:00,scheduled,3,40.1,43.2,7.0,7.3,2.4,technical,dxy_change,0.000432,sess_london,event_count
2024-10-04 04:00:00,scheduled,5,36.8,46.9,6.7,7.0,2.7,technical,dxy_change,0.000289,sess_london,co_range
2024-10-17 04:00:00,scheduled,3,39.7,46.1,6.8,4.4,3.0,technical,dxy_change,0.000326,sess_london,co_range
2024-10-24 04:00:00,scheduled,3,40.0,43.6,9.3,4.3,2.7,technical,dxy_change,0.000397,sess_london,drawdown_20
2024-11-01 08:00:00,scheduled,3,42.5,41.2,8.7,5.6,2.1,sentiment,dxy_change,0.000619,sess_london,event_count
2024-11-07 04:00:00,scheduled,4,38.0,44.4,9.5,5.7,2.4,technical,dxy_change,0.000466,sess_london,co_range
2024-12-16 00:00:00,scheduled,2,44.2,43.1,5.9,4.1,2.6,sentiment,dxy_change,0.000514,co_range,sess_london
2025-03-03 08:00:00,scheduled,4,38.1,46.7,9.0,3.7,2.4,technical,dxy_change,0.000519,sess_london,co_range
2025-03-10 16:00:00,unexpected,1,34.6,46.7,9.7,5.9,3.0,technical,dxy_change,0.000316,co_range,drawdown_20
2025-03-13 04:00:00,scheduled,4,33.7,47.4,9.0,6.4,3.5,technical,dxy_change,0.000287,co_range,drawdown_20
2025-03-19 12:00:00,scheduled,3,35.4,47.7,8.0,5.3,3.6,technical,dxy_change,0.000341,co_range,sess_london
2025-04-03 04:00:00,scheduled,4,45.5,39.6,9.0,3.8,2.1,sentiment,dxy_change,0.000918,sess_london,co_range
2025-04-08 08:00:00,unexpected,3,41.6,44.3,9.4,2.5,2.1,technical,dxy_change,0.000662,sess_london,co_range
2025-04-09 12:00:00,scheduled,2,43.4,42.6,8.9,3.3,1.9,sentiment,dxy_change,0.000736,sess_london,co_range
2025-04-16 12:00:00,scheduled,2,37.0,46.9,9.9,4.6,1.6,technical,dxy_change,0.000489,co_range,sess_london
2025-04-24 04:00:00,scheduled,3,42.3,44.0,7.5,4.5,1.7,technical,dxy_change,0.000557,sess_london,co_range
2025-04-30 04:00:00,scheduled,2,45.6,43.0,5.5,4.4,1.5,sentiment,dxy_change,0.000731,sess_london,co_range
2025-07-03 08:00:00,scheduled,4,41.7,44.0,6.1,6.1,2.2,technical,dxy_change,0.000418,sess_london,co_range
2025-10-27 20:00:00,unexpected,1,37.6,43.6,9.6,6.9,2.3,technical,dxy_change,0.000384,sess_london,drawdown_20
2025-12-01 08:00:00,scheduled,3,33.8,48.0,9.4,6.2,2.6,technical,dxy_change,0.000257,co_range,hl_range
2025-12-05 08:00:00,scheduled,3,31.3,49.9,9.2,6.7,3.0,technical,dxy_change,0.000212,co_range,hl_range
2026-01-21 04:00:00,scheduled,4,46.1,41.4,5.4,3.9,3.3,sentiment,dxy_change,0.000725,sess_london,co_range
2026-03-16 04:00:00,unexpected,1,44.2,42.0,6.0,5.8,1.9,sentiment,dxy_change,0.000679,sess_london,event_count
