datetime_utc,shift_type,severity,group_sentiment,group_technical,group_macro,group_other,group_volatility,dominant_group,top_feature_1,top_feature_1_shap,top_feature_2,top_feature_3
2024-08-02 20:00:00,unexpected,1,78.0,20.4,1.6,0.0,0.0,sentiment,sp500_return,2.8e-05,sess_late_ny_early_sydney,dxy_change
2024-08-19 00:00:00,unexpected,1,81.0,17.2,1.8,0.0,0.0,sentiment,sp500_return,2.3e-05,sess_late_ny_early_sydney,dxy_change
2024-08-26 04:00:00,unexpected,1,81.4,16.9,1.7,0.0,0.0,sentiment,sp500_return,2.4e-05,sess_late_ny_early_sydney,dxy_change
2024-10-31 00:00:00,scheduled,2,80.3,16.2,3.5,0.0,0.0,sentiment,sp500_return,2.4e-05,dxy_change,sess_late_ny_early_sydney
2024-11-15 00:00:00,scheduled,2,80.1,14.5,5.4,0.0,0.0,sentiment,sp500_return,2.4e-05,dxy_change,sess_late_ny_early_sydney
2024-11-27 08:00:00,unexpected,1,84.1,14.5,1.4,0.0,0.0,sentiment,sp500_return,2.6e-05,sess_late_ny_early_sydney,dxy_change
2025-01-10 16:00:00,unexpected,1,74.9,20.3,4.8,0.0,0.0,sentiment,sp500_return,2.3e-05,sess_late_ny_early_sydney,dxy_change
2025-02-03 00:00:00,unexpected,1,81.4,16.9,1.7,0.0,0.0,sentiment,sp500_return,2.4e-05,sess_late_ny_early_sydney,dxy_change
2025-03-03 16:00:00,unexpected,1,79.7,17.1,3.2,0.0,0.0,sentiment,sp500_return,2.9e-05,sess_late_ny_early_sydney,dxy_change
2025-03-10 20:00:00,unexpected,1,78.8,16.3,4.9,0.0,0.0,sentiment,sp500_return,2.5e-05,sess_late_ny_early_sydney,dxy_change
2025-03-28 00:00:00,scheduled,3,87.4,11.4,1.2,0.0,0.0,sentiment,sp500_return,2.7e-05,dxy_change,sess_late_ny_early_sydney
2025-04-11 00:00:00,scheduled,5,78.6,15.1,6.3,0.0,0.0,sentiment,sp500_return,2e-05,dxy_change,sess_late_ny_early_sydney
2025-04-15 00:00:00,scheduled,4,80.0,15.7,4.2,0.0,0.0,sentiment,sp500_return,2.1e-05,dxy_change,sess_late_ny_early_sydney
2025-04-22 20:00:00,unexpected,2,76.7,19.7,3.6,0.0,0.0,sentiment,sp500_return,2.5e-05,sess_late_ny_early_sydney,dxy_change
2025-05-01 00:00:00,scheduled,3,79.2,16.8,4.0,0.0,0.0,sentiment,sp500_return,2e-05,dxy_change,sess_late_ny_early_sydney
2025-05-28 16:00:00,unexpected,1,81.2,16.4,2.4,0.0,0.0,sentiment,sp500_return,2e-05,dxy_change,sess_late_ny_early_sydney
2025-07-17 20:00:00,unexpected,1,77.1,18.4,4.5,0.0,0.0,sentiment,sp500_return,2e-05,sess_late_ny_early_sydney,dxy_change
2025-07-31 00:00:00,scheduled,3,83.5,15.1,1.4,0.0,0.0,sentiment,sp500_return,2.8e-05,sess_late_ny_early_sydney,dxy_change
2025-08-08 08:00:00,unexpected,1,84.4,14.1,1.5,0.0,0.0,sentiment,sp500_return,2.5e-05,sess_late_ny_early_sydney,dxy_change
2025-08-22 16:00:00,unexpected,1,80.4,18.0,1.5,0.0,0.0,sentiment,sp500_return,2.9e-05,sess_late_ny_early_sydney,dxy_change
2025-09-07 20:00:00,unexpected,1,82.3,15.9,1.8,0.0,0.0,sentiment,sp500_return,2.4e-05,sess_late_ny_early_sydney,dxy_change
2025-10-02 20:00:00,scheduled,4,84.5,13.9,1.6,0.0,0.0,sentiment,sp500_return,2.3e-05,dxy_change,sess_late_ny_early_sydney
2025-10-20 20:00:00,unexpected,2,76.3,19.8,3.9,0.0,0.0,sentiment,sp500_return,2.5e-05,sess_late_ny_early_sydney,dxy_change
2025-12-17 04:00:00,unexpected,1,76.9,19.7,3.4,0.0,0.0,sentiment,sp500_return,2.9e-05,sess_late_ny_early_sydney,dxy_change
2026-01-09 00:00:00,unexpected,1,77.8,20.1,2.1,0.0,0.0,sentiment,sp500_return,2.3e-05,sess_late_ny_early_sydney,dxy_change
2026-02-13 20:00:00,unexpected,1,79.8,18.3,1.9,0.0,0.0,sentiment,sp500_return,2.4e-05,sess_late_ny_early_sydney,dxy_change
2026-03-30 16:00:00,unexpected,2,92.4,6.7,0.9,0.0,0.0,sentiment,sp500_return,2.8e-05,oil_return,sess_late_ny_early_sydney
2026-04-06 20:00:00,unexpected,1,92.0,7.2,0.9,0.0,0.0,sentiment,sp500_return,2.8e-05,oil_return,cci_20
