datetime_utc,shift_type,severity,group_sentiment,group_technical,group_other,group_volatility,group_macro,dominant_group,top_feature_1,top_feature_1_shap,top_feature_2,top_feature_3
2024-09-12 04:00:00,scheduled,4,38.5,29.9,22.1,5.2,4.3,sentiment,dxy_change,0.000524,gld_holdings_change,sess_london
2024-09-20 08:00:00,unexpected,1,41.8,30.6,19.9,4.3,3.4,sentiment,dxy_change,0.000621,sess_london,gld_holdings
2024-09-26 08:00:00,scheduled,3,39.9,32.1,20.1,4.7,3.2,sentiment,dxy_change,0.000522,sess_london,gld_holdings
2024-10-17 04:00:00,scheduled,2,37.7,34.2,19.0,5.7,3.5,sentiment,dxy_change,0.000427,sess_london,gld_holdings_change
2024-10-20 20:00:00,unexpected,1,36.0,34.6,18.6,6.9,3.9,sentiment,dxy_change,0.000385,sess_london,gld_holdings
2024-10-24 04:00:00,scheduled,3,37.6,30.5,21.3,6.6,4.0,sentiment,dxy_change,0.000465,sess_london,gld_holdings_change
2024-10-28 00:00:00,unexpected,1,38.1,30.4,20.7,6.7,4.0,sentiment,dxy_change,0.000518,sess_london,gld_holdings_change
2024-11-01 04:00:00,scheduled,3,36.5,32.1,21.1,7.3,2.9,sentiment,dxy_change,0.000689,sess_london,gld_holdings_change
2024-11-05 08:00:00,scheduled,4,35.2,32.3,22.1,7.5,2.8,sentiment,dxy_change,0.000637,sess_london,gld_holdings_change
2024-11-11 08:00:00,unexpected,1,33.2,37.7,19.3,7.2,2.6,technical,dxy_change,0.000475,sess_london,gld_holdings_change
2024-11-18 12:00:00,unexpected,1,39.6,33.1,18.6,6.0,2.6,sentiment,dxy_change,0.000546,gld_holdings_change,sess_london
2024-12-10 04:00:00,unexpected,1,38.2,33.3,18.9,6.7,2.9,sentiment,dxy_change,0.000512,sess_london,open
2024-12-20 04:00:00,scheduled,3,43.6,31.0,15.9,6.8,2.8,sentiment,dxy_change,0.000478,sess_london,gld_holdings_change
2025-01-02 12:00:00,unexpected,1,43.1,31.0,17.0,6.1,2.8,sentiment,dxy_change,0.000547,sess_london,gld_holdings_change
2025-01-08 04:00:00,scheduled,2,42.0,32.5,17.1,5.2,3.2,sentiment,dxy_change,0.00051,sess_london,gld_holdings_change
2025-03-11 08:00:00,scheduled,3,35.9,32.9,19.7,6.2,5.3,sentiment,dxy_change,0.000443,sess_london,gld_holdings
2025-04-07 12:00:00,unexpected,3,34.6,36.3,16.0,10.1,3.0,technical,dxy_change,0.00052,roc_10,sess_london
2025-04-09 12:00:00,scheduled,1,34.0,36.6,17.1,9.5,2.8,technical,dxy_change,0.00059,roc_10,sess_london
2025-04-22 20:00:00,unexpected,1,35.4,29.9,21.8,9.5,3.3,sentiment,dxy_change,0.000653,sess_london,gld_holdings_change
2025-04-23 08:00:00,scheduled,1,36.6,29.8,21.3,8.9,3.4,sentiment,dxy_change,0.000666,sess_london,gld_holdings_change
2025-05-21 12:00:00,unexpected,1,39.1,31.4,20.5,6.3,2.6,sentiment,dxy_change,0.000701,sess_london,gld_holdings
2025-06-27 04:00:00,scheduled,1,32.1,35.2,23.1,6.4,3.2,technical,dxy_change,0.000405,sess_london,gld_holdings
