epoch,train_loss,val_loss
1,0.0004983602562206215,1.4797996300330851e-05
2,1.6371987547245225e-05,4.141438694205135e-06
3,7.31551657190721e-06,4.047129095852142e-06
4,5.979340804969979e-06,4.026405804324895e-06
5,5.383385783261474e-06,4.029870069643948e-06
6,5.438990188849857e-06,3.967825705331052e-06
7,5.337237929325056e-06,3.952912720706081e-06
8,5.1396773328633574e-06,3.9381234273605514e-06
9,5.180999931781116e-06,4.007438292319421e-06
10,5.193831854285236e-06,3.981674126407597e-06
11,5.1526022934922364e-06,3.9361607377941255e-06
12,5.2016361664755095e-06,4.014097157778451e-06
13,5.195180179725867e-06,3.947654477087781e-06
14,5.235117542724765e-06,4.030731361126527e-06
15,5.416165547558193e-06,4.127356532990234e-06
16,5.265815856091649e-06,3.939434463973157e-06
17,5.199609299324947e-06,3.962273240176728e-06
18,5.238264065610565e-06,4.05881382903317e-06
19,5.353767091492045e-06,3.938233930966817e-06
20,5.2118477674412135e-06,4.053267275594408e-06
21,5.2701014501508326e-06,3.9634169297642075e-06
22,5.1156089612049985e-06,3.950746759073809e-06
23,5.221488760980719e-06,4.004657057521399e-06
24,5.1264460521451835e-06,4.031223397760186e-06
25,5.219154735641496e-06,4.08120604333817e-06
26,5.286640649046604e-06,4.09425638281391e-06
