epoch,train_loss,val_loss
1,0.00016276494683916098,1.5790843463037163e-05
2,1.7976426946916035e-05,1.0810792446136475e-05
3,1.343511766390293e-05,8.346069080289453e-06
4,1.1830658680992201e-05,8.248216545325704e-06
5,1.1312482371067744e-05,8.598190106567927e-06
6,1.0723946785219596e-05,8.847214303386863e-06
7,1.058612357428501e-05,9.689645594335161e-06
8,1.0709163120736775e-05,9.709679034131113e-06
9,1.0646402578458946e-05,1.019184219330782e-05
10,1.0716337916164775e-05,1.0931762517429888e-05
11,1.0800414805089532e-05,8.87380065250909e-06
12,1.0587504392788105e-05,9.694130312709603e-06
13,1.0648035246049403e-05,1.029841587296687e-05
14,1.079991086589871e-05,1.1085750884376466e-05
15,1.0777674351629684e-05,9.85803944786312e-06
16,1.063739562232513e-05,1.0364441550336778e-05
17,1.0792232341373164e-05,9.001275429909583e-06
18,1.0581547016954573e-05,1.0769980690383818e-05
19,1.0946794048322772e-05,9.623168807593174e-06
