epoch,train_loss,val_loss
1,0.0006713031818963505,0.00011466053547337651
2,6.459348604391468e-05,2.8805785404983908e-05
3,2.7121671894659108e-05,2.6118043024325743e-05
4,1.5388762245683828e-05,2.633051190059632e-05
5,1.2310700456862012e-05,2.6905830964096822e-05
6,1.1195807257624232e-05,2.67127306869952e-05
7,1.0836247227988708e-05,2.676979966054205e-05
8,1.0744181871990393e-05,2.654941454238724e-05
9,1.0694775398640618e-05,2.648540430527646e-05
10,1.0765673385820616e-05,2.6022298698080704e-05
11,1.070986419262549e-05,2.590892108855769e-05
12,1.0521775543052612e-05,2.5978919438784942e-05
13,1.0527919720692396e-05,2.615577250253409e-05
14,1.066825801342108e-05,2.613791002659127e-05
15,1.0867150277341175e-05,2.6292522306903265e-05
16,1.0933021164580549e-05,2.6435829568072222e-05
17,1.087664735854149e-05,2.6213101591565646e-05
18,1.0864314419684947e-05,2.6220077415928245e-05
19,1.0854755076604394e-05,2.619123006297741e-05
20,1.1258245522992272e-05,2.653759111126419e-05
21,1.1243182105009773e-05,2.6681296731112525e-05
22,1.1302021890412195e-05,2.6172574507654645e-05
23,1.1298474056099123e-05,2.6718756998889148e-05
24,1.1179655858438398e-05,2.6686091587180272e-05
25,1.1312953336440138e-05,2.7264042728347704e-05
26,1.1109055860962994e-05,2.5966635803342797e-05
