epoch,train_loss,val_loss
1,0.0001385249317099806,2.8246258807484992e-05
2,1.1292701155980467e-05,9.363282515550964e-06
3,7.874284946410625e-06,6.845677035016706e-06
4,6.414524288629764e-06,6.236220542632509e-06
5,5.738207805734419e-06,5.286119176162174e-06
6,5.254501406398049e-06,5.11226971866563e-06
7,5.036947626194888e-06,5.032698936702218e-06
8,5.037840766817681e-06,5.904637873754837e-06
9,5.04380522579595e-06,6.984703304624418e-06
10,5.123741671468451e-06,6.854229923192179e-06
11,5.227578045378323e-06,1.0764258149720263e-05
12,5.719869936910982e-06,7.06423315932625e-06
13,5.495076708484703e-06,6.031651537341531e-06
14,5.742169114455464e-06,7.020498287602095e-06
15,5.968399083030817e-06,8.418346624239348e-06
16,5.950932469204418e-06,6.183734512887895e-06
17,5.841138703090109e-06,5.194457116886042e-06
18,4.929982074372674e-06,4.644394721253775e-06
19,4.857657639149693e-06,5.082112693344243e-06
20,4.85386702712276e-06,4.922590960632078e-06
21,4.825356363198807e-06,5.396525921241846e-06
22,4.926224609334895e-06,5.265192612569081e-06
23,4.9340620321345345e-06,6.983448201935971e-06
24,5.092518390029e-06,1.2905829862575047e-05
25,5.117475822771667e-06,5.08915445607272e-06
26,5.010063855934277e-06,4.922892912873067e-06
27,5.166290166471299e-06,5.615079317067284e-06
28,5.581859610174433e-06,4.70424765808275e-06
29,5.3278777918421835e-06,5.93760432821e-06
30,5.355636448257428e-06,8.4105249698041e-06
31,5.32261031003145e-06,4.333326614869293e-06
32,4.894414065347519e-06,5.198559392738389e-06
33,4.995502057681734e-06,5.484701887326082e-06
34,4.984820321624284e-06,5.271160716802115e-06
35,5.429980600638374e-06,4.52161293651443e-06
36,5.151069383828144e-06,4.465287929633632e-06
37,5.157173820862226e-06,4.459905085241189e-06
38,5.615362003482005e-06,4.101136710232822e-06
39,5.04502302783294e-06,4.021126642328454e-06
40,5.3543605786217085e-06,4.094073119631503e-06
41,5.060826474164059e-06,4.495167559070978e-06
42,5.229446549037675e-06,4.030143827549182e-06
43,5.225006226737605e-06,4.029871433886001e-06
44,5.493639902397263e-06,4.6011637095944025e-06
45,5.334555750323489e-06,4.420830464368919e-06
46,5.483720704887674e-06,5.3437497626873665e-06
47,4.86654322639879e-06,4.14422174799256e-06
48,4.81157047306624e-06,4.201165211270563e-06
49,4.813698854377435e-06,5.199236511543859e-06
50,4.9684434479786435e-06,6.830317033745814e-06
51,4.82783718553037e-06,5.787737336504506e-06
52,4.5963486072650995e-06,5.930485258431872e-06
53,4.778795658694435e-06,3.762526148420875e-06
54,4.2347067910668555e-06,3.6766869015991688e-06
55,3.883059034251346e-06,3.5393720736465184e-06
56,3.9412189412360025e-06,3.527119588397909e-06
57,3.950863545924221e-06,3.543542561601498e-06
58,3.8234187531998035e-06,3.5481248232827056e-06
59,3.858037583995611e-06,3.6300375541031826e-06
60,3.891115665282996e-06,3.608416136557935e-06
61,3.8926697170609256e-06,3.5319230846653227e-06
62,3.9412226465174175e-06,3.6603844364435645e-06
63,4.002637781013618e-06,4.603439265338238e-06
64,3.862156739614875e-06,3.61728075404244e-06
65,3.711442462190462e-06,3.5244236187281786e-06
66,3.801185870543122e-06,3.659855337900808e-06
67,3.961024701993665e-06,3.6146518596069654e-06
68,3.825465228146641e-06,3.53277846443234e-06
69,3.7653135445907536e-06,3.653819931059843e-06
70,3.679501045098732e-06,3.5676716834132094e-06
71,3.742501056422043e-06,3.666439624794293e-06
72,3.648144541102738e-06,3.570517037587706e-06
73,3.961265415455273e-06,4.217488822177984e-06
74,4.038176463836862e-06,3.809185727732256e-06
75,4.058674880525359e-06,3.7560910186584806e-06
76,3.885959193212329e-06,3.8445546124421526e-06
77,3.806236777563754e-06,3.669136731332401e-06
78,3.862460644540988e-06,3.723291229107417e-06
79,3.882871252244513e-06,3.8029008919693297e-06
80,3.880729140746553e-06,3.7185109249548987e-06
