epoch,train_loss,val_loss
1,7.539774405267963e-05,1.5862397049204446e-05
2,1.9793370516708818e-05,1.1797016668424476e-05
3,1.1525603207701352e-05,1.0128767826245166e-05
4,1.117311064444948e-05,8.436270036327187e-06
5,1.05901029000961e-05,8.345822607225273e-06
6,1.0447841863424401e-05,8.34386628412176e-06
7,1.0320123581550434e-05,8.483768397127278e-06
8,1.0394272757366707e-05,8.384579814446624e-06
9,1.0236944840471551e-05,8.435735253442544e-06
10,1.045153126506193e-05,8.309053555421997e-06
11,1.0406618062916095e-05,9.714503903524019e-06
12,1.0319647566575441e-05,8.857536158757284e-06
13,1.0521816394430062e-05,8.590734978497494e-06
14,1.1718610503521631e-05,8.466455255984329e-06
15,1.037977326723194e-05,8.470014108752366e-06
16,1.1064051617722725e-05,8.127460205287207e-06
17,1.0353346205192793e-05,8.620097105449531e-06
18,1.0621574195283757e-05,9.127949851972517e-06
19,1.1002055804056e-05,8.437757060164586e-06
20,1.058860122157057e-05,1.0311109690519515e-05
21,1.0655368792868103e-05,1.3034335097472649e-05
22,1.0634631498760428e-05,9.192269317281898e-06
23,1.0623379583194037e-05,9.557351404509973e-06
24,1.093480578128947e-05,9.383667929796502e-06
25,1.0743986882516764e-05,8.319738299178425e-06
26,1.0297764963979716e-05,1.4399165593204089e-05
27,1.320901099825278e-05,8.096550118352752e-06
28,1.0335432136344026e-05,8.143196282617282e-06
29,1.0368742759965244e-05,8.130465175781865e-06
30,1.0349262161071238e-05,8.118709047266748e-06
31,1.037961355632433e-05,8.31484703667229e-06
32,1.0413741657430364e-05,8.149013410729822e-06
33,1.0347366663154389e-05,8.124774467432871e-06
34,1.0309760693417047e-05,8.149953828251455e-06
35,1.0350894815019274e-05,8.213432920456398e-06
36,1.0402940712083364e-05,8.319369044329505e-06
37,1.0367144382144033e-05,8.384547982132062e-06
38,1.0411907348498062e-05,8.448017979389988e-06
39,1.0316162745766632e-05,9.141926966549363e-06
40,1.040978539549542e-05,9.087380931305233e-06
41,1.0930906194516865e-05,8.162200174410827e-06
42,1.0429318317619618e-05,8.11600693850778e-06
