epoch,train_loss,val_loss
1,3.029709385725343e-05,2.6143652576138265e-05
2,1.0663886622487259e-05,2.6158133550779894e-05
3,1.0678356721699299e-05,2.5819053917075507e-05
4,1.0703725325261222e-05,2.7052588848164305e-05
5,1.1046095189906356e-05,2.585800211818423e-05
6,1.1101682525071326e-05,2.572187440819107e-05
7,1.1057334057979108e-05,3.4087617677869275e-05
8,1.052780681499327e-05,2.860840322682634e-05
9,1.0720732960532675e-05,3.121834743069485e-05
10,1.0941059256750915e-05,4.365985296317376e-05
11,1.0962564053604564e-05,3.892952372552827e-05
12,1.0904720665489403e-05,6.688448775094002e-05
13,1.0841120678334494e-05,2.8737949833157472e-05
14,1.0613444265844361e-05,2.6535268261795864e-05
15,1.0552163926589738e-05,5.8989062381442636e-05
16,1.0885109084542379e-05,3.160737833241001e-05
17,1.0359358289098318e-05,7.108682621037588e-05
18,1.0816806122288507e-05,2.7830112230731174e-05
19,1.048144145905157e-05,2.6775713195092976e-05
20,1.0635175185818238e-05,3.236101474612951e-05
21,1.1691820070096113e-05,2.925741318904329e-05
