datetime_utc,type,severity,significant_features_ratio,mean_ks_stat,mmd_score,event_names,n_significant,n_tested,n_features_triggered,trigger_features
2024-08-05 08:00:00,scheduled,3,0.746,0.4846,0.036848,ISM Services PMI,50.0,67.0,,
2024-08-13 04:00:00,scheduled,3,0.727,0.4432,0.038062,Core PPI m/m; PPI m/m,48.0,66.0,,
2024-08-22 00:00:00,scheduled,3,0.738,0.4303,0.039968,French Flash Services PMI; French Flash Manufacturing PMI; German Flash Services PMI,48.0,65.0,,
2024-08-26 00:00:00,unexpected,1,,,,,,,1.0,bb_width
2024-09-17 04:00:00,scheduled,2,0.716,0.4634,0.037237,Retail Sales m/m; Core Retail Sales m/m,48.0,67.0,,
2024-09-23 00:00:00,scheduled,4,0.791,0.441,0.039777,French Flash Manufacturing PMI; French Flash Services PMI; German Flash Services PMI,53.0,67.0,,
2024-09-27 04:00:00,scheduled,4,0.746,0.4386,0.040363,Core PCE Price Index m/m,50.0,67.0,,
2024-10-04 04:00:00,scheduled,5,0.769,0.5315,0.03968,Non-Farm Employment Change; Unemployment Rate; Average Hourly Earnings m/m,50.0,65.0,,
2024-10-17 04:00:00,scheduled,3,0.727,0.4957,0.038018,Main Refinancing Rate; Monetary Policy Statement; Unemployment Claims,48.0,66.0,,
2024-10-24 04:00:00,scheduled,2,0.731,0.4438,0.037041,Unemployment Claims,49.0,67.0,,
2024-11-01 08:00:00,scheduled,3,0.821,0.4465,0.037712,ISM Manufacturing PMI,55.0,67.0,,
2024-11-07 04:00:00,scheduled,4,0.818,0.5578,0.037159,Unemployment Claims,54.0,66.0,,
2024-11-22 08:00:00,scheduled,2,0.697,0.4384,0.038052,Flash Manufacturing PMI; Flash Services PMI,46.0,66.0,,
2024-12-16 00:00:00,scheduled,2,0.701,0.446,0.035626,French Flash Manufacturing PMI; French Flash Services PMI; German Flash Services PMI,47.0,67.0,,
2025-01-14 04:00:00,scheduled,2,0.692,0.3746,0.039138,Core PPI m/m; PPI m/m,45.0,65.0,,
2025-03-03 08:00:00,scheduled,4,0.821,0.5386,0.038143,ISM Manufacturing PMI,55.0,67.0,,
2025-03-10 16:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-03-13 04:00:00,scheduled,4,0.761,0.4448,0.039777,Core PPI m/m; PPI m/m; Unemployment Claims,51.0,67.0,,
2025-03-19 12:00:00,scheduled,3,0.761,0.4403,0.038595,Federal Funds Rate; FOMC Statement; FOMC Economic Projections,51.0,67.0,,
2025-04-03 04:00:00,scheduled,4,0.785,0.5744,0.037414,Unemployment Claims,51.0,65.0,,
2025-04-08 08:00:00,unexpected,2,,,,,,,2.0,vol_ratio; bb_width
2025-04-09 12:00:00,scheduled,2,0.716,0.4535,0.036307,FOMC Meeting Minutes,48.0,67.0,,
2025-04-16 12:00:00,scheduled,2,0.716,0.4463,0.037105,Fed Chair Powell Speaks,48.0,67.0,,
2025-04-24 04:00:00,scheduled,3,0.746,0.4311,0.037813,Unemployment Claims,50.0,67.0,,
2025-07-03 08:00:00,scheduled,4,0.738,0.4741,0.039196,ISM Services PMI,48.0,65.0,,
2025-10-27 20:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-12-01 08:00:00,scheduled,3,0.716,0.449,0.038902,ISM Manufacturing PMI,48.0,67.0,,
2025-12-05 08:00:00,scheduled,3,0.742,0.4346,0.038721,Prelim UoM Inflation Expectations; Prelim UoM Consumer Sentiment; Core PCE Price Index m/m,49.0,66.0,,
2026-01-21 04:00:00,scheduled,4,0.758,0.5033,0.038553,President Trump Speaks,50.0,66.0,,
2026-03-16 04:00:00,unexpected,1,,,,,,,1.0,bb_width
2026-04-01 04:00:00,scheduled,2,0.698,0.3525,0.052818,ADP Non-Farm Employment Change; Core Retail Sales m/m; Retail Sales m/m,44.0,63.0,,
