datetime_utc,type,severity,significant_features_ratio,mean_ks_stat,mmd_score,event_names,n_significant,n_tested,n_features_triggered,trigger_features
2024-08-02 20:00:00,unexpected,1,,,,,,,1.0,bb_width
2024-08-19 00:00:00,unexpected,1,,,,,,,1.0,bb_width
2024-08-26 04:00:00,unexpected,1,,,,,,,1.0,atr_14
2024-10-31 00:00:00,scheduled,2,0.758,0.4462,0.037628,BOJ Press Conference,50.0,66.0,,
2024-11-15 00:00:00,scheduled,2,0.738,0.4538,0.039342,GDP m/m,48.0,65.0,,
2024-11-27 08:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-01-10 16:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-02-03 00:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-03-03 16:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-03-10 20:00:00,unexpected,1,,,,,,,1.0,atr_14
2025-03-28 00:00:00,scheduled,3,0.881,0.4547,0.037731,Retail Sales m/m,59.0,67.0,,
2025-04-11 00:00:00,scheduled,5,0.791,0.49,0.041006,GDP m/m,53.0,67.0,,
2025-04-15 00:00:00,scheduled,4,0.758,0.4588,0.041596,Claimant Count Change,50.0,66.0,,
2025-04-22 20:00:00,unexpected,2,,,,,,,2.0,vol_ratio; bb_width
2025-05-01 00:00:00,scheduled,3,0.758,0.4851,0.038981,BOJ Press Conference,50.0,66.0,,
2025-05-28 16:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-07-17 20:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-07-31 00:00:00,scheduled,3,0.758,0.4652,0.037942,BOJ Press Conference,50.0,66.0,,
2025-08-08 08:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-08-22 16:00:00,unexpected,1,,,,,,,1.0,atr_14
2025-09-07 20:00:00,unexpected,1,,,,,,,1.0,bb_width
2025-10-02 20:00:00,scheduled,4,0.761,0.4617,0.040099,BOJ Gov Ueda Speaks,51.0,67.0,,
2025-10-20 20:00:00,unexpected,2,,,,,,,2.0,atr_14; bb_width
2025-12-17 04:00:00,unexpected,1,,,,,,,1.0,bb_width
2026-01-09 00:00:00,unexpected,1,,,,,,,1.0,bb_width
2026-02-13 20:00:00,unexpected,1,,,,,,,1.0,bb_width
2026-03-30 16:00:00,unexpected,2,,,,,,,2.0,atr_14; bb_width
2026-04-06 20:00:00,unexpected,1,,,,,,,1.0,vix_change
