event_date,event_name,severity,baseline_mae,mae_no_retrain,recovery_no_retrain,spike_no_retrain,mae_full,recovery_full,spike_full,improvement_full_pct,mae_window,recovery_window,improvement_window_pct,mae_weighted,recovery_weighted,improvement_weighted_pct
2020-03-09,COVID crash and oil price war,5,0.001517,0.001733,116,2.73,0.001744,116,2.72,-0.65,0.001896,125,-9.43,0.001894,125,-9.27
2020-03-15,Fed emergency rate cut to 0%,5,0.002284,0.001619,54,1.8,0.001628,54,1.79,-0.55,0.001757,56,-8.56,0.001757,56,-8.56
2022-02-24,Russia invades Ukraine,5,0.001467,0.001477,45,1.73,0.001459,41,1.69,1.26,0.001603,50,-8.49,0.001606,50,-8.73
2022-06-15,Fed 75bps hike first since 1994,4,0.001393,0.001637,38,1.7,0.001636,38,1.74,0.07,0.00179,38,-9.31,0.001788,38,-9.21
2022-09-22,BOJ intervention in JPY,5,0.002216,0.001992,29,1.43,0.001966,29,1.44,1.29,0.002213,29,-11.14,0.002206,29,-10.76
2022-09-26,UK mini-budget crisis Truss,5,0.001891,0.001974,49,1.68,0.001955,49,1.69,0.97,0.002206,56,-11.77,0.002202,56,-11.53
2023-03-10,SVB collapse banking crisis,4,0.001076,0.001209,88,2.42,0.001206,88,2.39,0.2,0.001374,93,-13.66,0.001366,93,-12.97
2023-10-07,Hamas-Israel conflict begins,4,0.000965,0.001056,32,1.79,0.001044,30,1.82,1.18,0.001229,35,-16.34,0.001224,35,-15.87
2024-07-31,BOJ surprise rate hike,5,0.000668,0.000778,48,1.76,0.000758,48,1.71,2.57,0.000842,44,-8.15,0.000842,44,-8.19
2024-08-05,JPY carry trade unwind,5,0.000769,0.000776,29,1.52,0.000757,29,1.49,2.53,0.000841,29,-8.34,0.000839,29,-8.14
2024-11-05,Trump election 2024,4,0.000926,0.001299,76,1.9,0.001285,35,1.88,1.1,0.001452,182,-11.77,0.001438,181,-10.72
2025-01-20,Trump inauguration tariff threats,4,0.00111,0.001558,95,3.0,0.00156,94,2.92,-0.14,0.001653,94,-6.09,0.001649,94,-5.81
2025-04-02,US Liberation Day tariffs announced,5,0.001156,0.00169,134,2.88,0.001673,134,2.81,0.97,0.001796,78,-6.29,0.001799,78,-6.47
2025-04-07,Global markets crash tariff escalation,5,0.001913,0.001583,41,1.44,0.001571,41,1.47,0.74,0.001671,49,-5.52,0.001672,49,-5.62
