event_date,event_name,severity,baseline_mae,mae_no_retrain,recovery_no_retrain,spike_no_retrain,mae_full,recovery_full,spike_full,improvement_full_pct,mae_window,recovery_window,improvement_window_pct,mae_weighted,recovery_weighted,improvement_weighted_pct
2020-03-09,COVID crash and oil price war,5,0.00282,0.002661,107,1.99,0.002655,107,1.98,0.21,0.002687,107,-0.98,0.002682,107,-0.78
2020-03-15,Fed emergency rate cut to 0%,5,0.004194,0.002408,46,1.34,0.002398,46,1.34,0.42,0.002452,50,-1.83,0.002444,50,-1.52
2022-02-24,Russia invades Ukraine,5,0.001577,0.002057,33,2.2,0.002063,33,2.24,-0.31,0.00205,33,0.3,0.002047,33,0.46
2022-06-15,Fed 75bps hike first since 1994,4,0.00218,0.002067,41,1.37,0.002056,41,1.39,0.54,0.00206,41,0.36,0.00206,41,0.33
2022-09-22,BOJ intervention in JPY,5,0.001615,0.003151,167,4.87,0.002901,168,4.24,7.91,0.002884,167,8.46,0.002884,167,8.48
2022-09-26,UK mini-budget crisis Truss,5,0.002794,0.002958,64,2.65,0.002822,54,2.57,4.61,0.002699,55,8.75,0.002703,55,8.63
2023-03-10,SVB collapse banking crisis,4,0.001571,0.002074,101,2.75,0.00201,101,2.67,3.11,0.002071,105,0.18,0.002073,105,0.07
2023-10-07,Hamas-Israel conflict begins,4,0.001281,0.001614,29,2.4,0.00162,29,2.38,-0.37,0.001611,29,0.15,0.001614,29,0.02
2024-07-31,BOJ surprise rate hike,5,0.002357,0.002384,60,2.15,0.0023,60,2.15,3.53,0.002347,60,1.57,0.002345,60,1.65
2024-08-05,JPY carry trade unwind,5,0.003224,0.002257,32,1.37,0.002179,31,1.3,3.49,0.002293,32,-1.6,0.002262,32,-0.22
2024-11-05,Trump election 2024,4,0.001798,0.001879,29,1.36,0.001887,29,1.36,-0.44,0.001885,29,-0.36,0.001885,29,-0.32
2025-01-20,Trump inauguration tariff threats,4,0.001921,0.002153,29,1.81,0.002132,29,1.72,0.99,0.002173,29,-0.93,0.002173,29,-0.91
2025-04-02,US Liberation Day tariffs announced,5,0.001697,0.001707,64,2.06,0.001678,66,2.0,1.67,0.001735,70,-1.68,0.001727,70,-1.18
2025-04-07,Global markets crash tariff escalation,5,0.002262,0.00158,43,1.31,0.001561,43,1.32,1.21,0.001591,45,-0.71,0.001589,45,-0.58
