shift_datetime,shift_type,pre_shift_mae,mae_no_retrain,recovery_no_retrain,mae_full_retrain,recovery_full_retrain,mae_window_retrain,recovery_window_retrain,mae_weighted_retrain,recovery_weighted_retrain
2021-02-24 00:00:00,scheduled,0.001409,0.001492,67,0.001509,67,0.00146,47,0.001463,47
2021-04-26 00:00:00,scheduled,0.001427,0.000975,29,0.000918,29,0.000934,29,0.000921,29
2021-11-08 00:00:00,scheduled,0.001531,0.001383,29,0.001415,29,0.001361,29,0.001364,29
2021-11-25 00:00:00,scheduled,0.001098,0.001454,72,0.001456,72,0.001467,70,0.001457,70
2021-12-03 00:00:00,scheduled,0.001759,0.001385,29,0.001351,29,0.001417,29,0.001387,29
2022-03-23 00:00:00,scheduled,0.001954,0.002099,54,0.002058,54,0.002011,52,0.002009,52
2022-04-27 00:00:00,scheduled,0.002858,0.002145,29,0.002143,29,0.002143,29,0.002154,29
2022-06-06 00:00:00,scheduled,0.001455,0.002521,112,0.002465,112,0.002494,113,0.002496,113
2022-09-23 00:00:00,scheduled,0.002509,0.004261,119,0.003413,68,0.003391,68,0.003392,68
2022-12-19 00:00:00,scheduled,0.001756,0.002334,38,0.002377,38,0.002268,38,0.002275,36
2023-03-27 00:00:00,scheduled,0.00271,0.00182,29,0.001781,29,0.001846,29,0.001853,29
2023-06-12 00:00:00,scheduled,0.001094,0.001613,87,0.001597,87,0.001586,87,0.001589,100
2023-06-23 00:00:00,scheduled,0.001746,0.001609,29,0.001611,29,0.001682,29,0.00165,29
2023-07-09 00:00:00,scheduled,0.001104,0.001657,124,0.001628,124,0.001647,126,0.001638,124
2023-08-10 00:00:00,scheduled,0.001426,0.001328,29,0.001304,29,0.001327,29,0.00132,29
2023-08-23 00:00:00,scheduled,0.001294,0.001276,31,0.001266,31,0.001319,47,0.001319,47
2023-09-29 00:00:00,scheduled,0.000793,0.001368,-1,0.00136,-1,0.001387,-1,0.001389,-1
2023-12-06 00:00:00,scheduled,0.001255,0.001923,100,0.001905,100,0.001893,100,0.001894,100
2024-03-22 00:00:00,scheduled,0.001476,0.001497,29,0.001393,29,0.001413,29,0.001413,29
2024-04-23 00:00:00,scheduled,0.001317,0.001549,75,0.001455,75,0.001423,75,0.00143,75
2024-05-09 00:00:00,scheduled,0.001819,0.001158,29,0.001121,29,0.001132,29,0.001133,29
2024-07-17 00:00:00,scheduled,0.001693,0.002877,29,0.002768,29,0.00278,29,0.002776,29
2024-07-24 00:00:00,scheduled,0.001686,0.00285,142,0.002755,100,0.002748,100,0.002749,100
2024-08-01 00:00:00,scheduled,0.00336,0.002637,47,0.002515,45,0.002549,45,0.002546,45
2025-03-28 00:00:00,scheduled,0.001624,0.001907,94,0.001894,92,0.002011,94,0.002005,94
2025-04-10 00:00:00,scheduled,0.00317,0.001479,29,0.00146,29,0.001529,29,0.001528,29
2025-10-03 00:00:00,scheduled,0.00097,0.001415,97,0.001377,97,0.001388,93,0.001388,93
