event_date,event_name,severity,baseline_mae,mae_no_retrain,recovery_no_retrain,spike_no_retrain,mae_full,recovery_full,spike_full,improvement_full_pct,mae_window,recovery_window,improvement_window_pct,mae_weighted,recovery_weighted,improvement_weighted_pct
2020-03-09,COVID crash and oil price war,5,0.00516,0.0043,82,2.56,0.004337,85,2.56,-0.85,0.004265,84,0.82,0.004265,84,0.82
2020-03-15,Fed emergency rate cut to 0%,5,0.006643,0.003886,39,1.62,0.003974,33,1.61,-2.26,0.003866,43,0.49,0.003847,43,1.0
2022-02-24,Russia invades Ukraine,5,0.002779,0.003048,34,2.06,0.003003,35,2.04,1.49,0.003069,33,-0.68,0.003065,33,-0.55
2022-06-15,Fed 75bps hike first since 1994,4,0.002543,0.002107,29,1.26,0.002089,29,1.21,0.87,0.002168,29,-2.89,0.002164,29,-2.68
2022-09-22,BOJ intervention in JPY,5,0.002874,0.00274,29,1.34,0.002706,29,1.32,1.25,0.002852,29,-4.08,0.002844,29,-3.79
2022-09-26,UK mini-budget crisis Truss,5,0.002714,0.002754,32,1.42,0.00271,30,1.4,1.59,0.002881,55,-4.6,0.002869,55,-4.18
2023-03-10,SVB collapse banking crisis,4,0.001882,0.002576,85,2.44,0.002563,88,2.36,0.49,0.002742,95,-6.44,0.002714,94,-5.38
2023-10-07,Hamas-Israel conflict begins,4,0.001717,0.002227,89,2.62,0.002207,84,2.6,0.88,0.002293,84,-2.98,0.002285,84,-2.6
2024-07-31,BOJ surprise rate hike,5,0.002445,0.002199,48,1.47,0.002224,49,1.55,-1.15,0.002188,49,0.51,0.002193,49,0.25
2024-08-05,JPY carry trade unwind,5,0.002472,0.002177,29,1.19,0.002163,30,1.23,0.68,0.002166,29,0.52,0.002175,29,0.13
2024-11-05,Trump election 2024,4,0.002103,0.002482,123,2.2,0.002512,124,2.3,-1.23,0.002428,122,2.18,0.00243,122,2.09
2025-01-20,Trump inauguration tariff threats,4,0.001685,0.002708,29,3.79,0.002666,29,3.7,1.56,0.002624,29,3.09,0.002627,29,3.01
2025-04-02,US Liberation Day tariffs announced,5,0.002345,0.004026,233,2.8,0.00403,233,2.84,-0.09,0.0041,238,-1.83,0.004096,238,-1.73
2025-04-07,Global markets crash tariff escalation,5,0.003491,0.003862,44,1.63,0.003892,50,1.63,-0.77,0.003943,47,-2.11,0.003938,47,-1.98
