shift_datetime,shift_type,dominant_group,adaptive_policy,pre_shift_mae,mae_no_retrain,recovery_no_retrain,mae_full_retrain,recovery_full_retrain,mae_window_retrain,recovery_window_retrain,mae_weighted_retrain,recovery_weighted_retrain,mae_adaptive_retrain,recovery_adaptive_retrain
2024-09-12 04:00:00,scheduled,sentiment,event_full,0.001441,0.00219,-1,0.002126,-1,0.002165,106,0.002161,106,0.002126,-1
2024-09-26 08:00:00,scheduled,sentiment,event_full,0.00226,0.002116,29,0.002072,29,0.002086,29,0.002083,29,0.002072,29
2024-10-24 04:00:00,scheduled,sentiment,event_full,0.002123,0.00277,29,0.002796,29,0.002724,29,0.002722,29,0.002796,29
2024-11-01 04:00:00,scheduled,sentiment,event_full,0.002244,0.002787,29,0.002824,29,0.00273,134,0.002733,134,0.002824,29
2024-12-20 04:00:00,scheduled,sentiment,event_full,0.002776,0.001949,29,0.001934,29,0.001888,29,0.001866,29,0.001934,29
2025-03-11 08:00:00,scheduled,sentiment,event_full,0.00208,0.00351,29,0.003448,29,0.003452,29,0.003472,29,0.003448,29
2025-04-07 12:00:00,unexpected,technical,technical_window,0.005132,0.004776,29,0.004788,29,0.004806,29,0.004809,29,0.00485,29
2025-08-28 04:00:00,scheduled,sentiment,event_full,0.001801,0.002852,70,0.002813,70,0.002795,72,0.00279,72,0.002813,70
2025-09-26 04:00:00,scheduled,sentiment,event_full,0.002595,0.004661,-1,0.00459,-1,0.004581,-1,0.004604,-1,0.00459,-1
2025-10-10 08:00:00,scheduled,technical,technical_window,0.004077,0.004856,29,0.004835,29,0.004864,29,0.004872,29,0.004864,29
2026-01-23 08:00:00,scheduled,technical,technical_window,0.004543,0.007515,89,0.007491,89,0.007546,89,0.007552,89,0.007536,89
2026-03-13 04:00:00,scheduled,sentiment,event_full,0.004387,0.007544,-1,0.007756,-1,0.007818,-1,0.007568,-1,0.007756,-1
2026-03-24 08:00:00,scheduled,sentiment,event_full,0.011348,0.006828,29,0.0071,29,0.006695,29,0.006691,29,0.0071,29
