pair,window_id,train_end,test_start,test_end,train_rows,test_rows,mae,rmse,dir_acc,accuracy,precision,recall,f1
EURUSD,1,2020-12-31,2021-01-03,2021-02-11,9605,180,0.000977,0.00129,0.6056,0.6056,0.6082,0.6413,0.6243
EURUSD,2,2021-02-11,2021-02-12,2021-03-24,9785,180,0.001066,0.001451,0.6833,0.6833,0.6633,0.7303,0.6952
EURUSD,3,2021-03-24,2021-03-25,2021-05-04,9965,180,0.000788,0.001036,0.5722,0.5778,0.5644,0.6404,0.6
EURUSD,4,2021-05-04,2021-05-05,2021-06-14,10145,180,0.000817,0.001153,0.65,0.65,0.6346,0.7253,0.6769
EURUSD,5,2021-06-14,2021-06-15,2021-07-25,10325,180,0.00079,0.001167,0.6722,0.6778,0.642,0.642,0.642
EURUSD,6,2021-07-25,2021-07-26,2021-09-03,10505,180,0.000663,0.000913,0.6111,0.6111,0.6162,0.6559,0.6354
EURUSD,7,2021-09-03,2021-09-03,2021-10-14,10685,180,0.000762,0.001004,0.5444,0.55,0.5146,0.631,0.5668
EURUSD,8,2021-10-14,2021-10-14,2021-11-24,10865,180,0.000851,0.001181,0.6278,0.6278,0.5784,0.7108,0.6378
EURUSD,9,2021-11-24,2021-11-24,2022-01-04,11045,180,0.001064,0.001421,0.5833,0.5944,0.6118,0.5652,0.5876
EURUSD,10,2022-01-04,2022-01-04,2022-02-14,11225,180,0.00108,0.001498,0.6222,0.6278,0.6552,0.6064,0.6298
EURUSD,11,2022-02-14,2022-02-14,2022-03-25,11405,180,0.001605,0.002159,0.5722,0.5722,0.5195,0.5,0.5096
EURUSD,12,2022-03-25,2022-03-25,2022-05-05,11585,180,0.001298,0.001796,0.5778,0.5778,0.5135,0.4872,0.5
EURUSD,13,2022-05-05,2022-05-05,2022-06-15,11765,180,0.001349,0.001775,0.6,0.6,0.5934,0.6067,0.6
EURUSD,14,2022-06-15,2022-06-15,2022-07-26,11945,180,0.001726,0.00245,0.5778,0.5778,0.5106,0.6154,0.5581
EURUSD,15,2022-07-26,2022-07-26,2022-09-05,12125,180,0.001506,0.002139,0.6333,0.6333,0.5882,0.6173,0.6024
EURUSD,16,2022-09-05,2022-09-05,2022-10-14,12305,180,0.002106,0.002849,0.5611,0.5611,0.5753,0.4667,0.5153
EURUSD,17,2022-10-14,2022-10-14,2022-11-24,12485,180,0.001969,0.00282,0.6389,0.6389,0.6463,0.5955,0.6199
EURUSD,18,2022-11-24,2022-11-24,2023-01-04,12665,180,0.001493,0.002206,0.6,0.6,0.6136,0.587,0.6
EURUSD,19,2023-01-04,2023-01-04,2023-02-14,12845,180,0.00127,0.001688,0.5889,0.5889,0.6075,0.6701,0.6373
EURUSD,20,2023-02-14,2023-02-14,2023-03-27,13025,180,0.001482,0.002131,0.5833,0.5833,0.5565,0.7273,0.6305
EURUSD,21,2023-03-27,2023-03-27,2023-05-05,13205,180,0.001057,0.00143,0.6556,0.6556,0.6667,0.7961,0.7257
EURUSD,22,2023-05-05,2023-05-05,2023-06-15,13385,180,0.00095,0.001309,0.6611,0.6667,0.5943,0.7875,0.6774
EURUSD,23,2023-06-15,2023-06-15,2023-07-26,13565,180,0.001012,0.00138,0.55,0.5556,0.5534,0.6264,0.5876
EURUSD,24,2023-07-26,2023-07-26,2023-09-05,13745,180,0.001159,0.00159,0.5722,0.5778,0.5405,0.4878,0.5128
EURUSD,25,2023-09-05,2023-09-05,2023-10-16,13925,180,0.000951,0.001269,0.65,0.65,0.6071,0.6296,0.6182
EURUSD,26,2023-10-16,2023-10-16,2023-11-24,14105,180,0.001013,0.001433,0.5889,0.5889,0.5979,0.6237,0.6105
EURUSD,27,2023-11-24,2023-11-24,2024-01-08,14285,180,0.001082,0.001526,0.65,0.65,0.6538,0.7158,0.6834
EURUSD,28,2024-01-08,2024-01-08,2024-02-16,14465,180,0.000968,0.001265,0.5889,0.5889,0.5849,0.6739,0.6263
EURUSD,29,2024-02-16,2024-02-16,2024-03-28,14645,180,0.000697,0.000995,0.6722,0.6722,0.6863,0.7216,0.7035
EURUSD,30,2024-03-28,2024-03-28,2024-05-08,14825,180,0.000782,0.001073,0.5667,0.5722,0.5556,0.625,0.5882
EURUSD,31,2024-05-08,2024-05-08,2024-06-18,15005,180,0.000758,0.001077,0.6167,0.6222,0.6286,0.6947,0.66
EURUSD,32,2024-06-18,2024-06-18,2024-07-29,15185,180,0.000696,0.000895,0.6222,0.6222,0.6,0.7333,0.66
EURUSD,33,2024-07-29,2024-07-29,2024-09-06,15365,180,0.000727,0.000926,0.5556,0.5667,0.5714,0.6809,0.6214
EURUSD,34,2024-09-06,2024-09-06,2024-10-17,15545,180,0.000795,0.001099,0.6333,0.6333,0.6186,0.6742,0.6452
EURUSD,35,2024-10-17,2024-10-17,2024-11-27,15725,180,0.001186,0.002003,0.6389,0.65,0.6706,0.6196,0.6441
EURUSD,36,2024-11-27,2024-11-27,2025-01-08,15905,180,0.001166,0.001631,0.5667,0.5722,0.5806,0.587,0.5838
EURUSD,37,2025-01-08,2025-01-08,2025-02-18,16085,180,0.001356,0.002025,0.5667,0.5667,0.5534,0.6404,0.5938
EURUSD,38,2025-02-18,2025-02-18,2025-03-31,16265,180,0.001353,0.001827,0.6,0.6,0.6042,0.6304,0.617
EURUSD,39,2025-03-31,2025-03-31,2025-05-09,16445,180,0.001963,0.002613,0.5722,0.5722,0.6163,0.5464,0.5792
EURUSD,40,2025-05-09,2025-05-11,2025-06-19,16625,180,0.001396,0.001922,0.6833,0.6833,0.7113,0.7041,0.7077
EURUSD,41,2025-06-19,2025-06-20,2025-07-30,16805,180,0.001053,0.001353,0.5667,0.5667,0.5682,0.5556,0.5618
EURUSD,42,2025-07-30,2025-07-31,2025-09-09,16985,180,0.001043,0.001452,0.5833,0.5833,0.604,0.6354,0.6193
EURUSD,43,2025-09-09,2025-09-10,2025-10-20,17165,180,0.000914,0.001184,0.6556,0.6556,0.6607,0.7551,0.7048
EURUSD,44,2025-10-20,2025-10-21,2025-11-30,17345,180,0.000776,0.001079,0.6833,0.6833,0.6774,0.7,0.6885
EURUSD,45,2025-11-30,2025-12-01,2026-01-12,17525,180,0.000716,0.000965,0.6,0.6,0.5534,0.6867,0.6129
EURUSD,46,2026-01-12,2026-01-12,2026-02-20,17705,180,0.001015,0.00132,0.6167,0.6167,0.5926,0.7191,0.6497
EURUSD,47,2026-02-20,2026-02-20,2026-04-02,17885,180,0.001461,0.001989,0.6056,0.6056,0.6,0.5233,0.559
EURUSD,48,2026-04-02,2026-04-02,2026-04-10,18065,35,0.001378,0.002215,0.5143,0.5143,0.5,0.0588,0.1053
