pair,datetime_utc,actual_return,tech_signal,ml_signal,sg_signal,sg_policy,regime,target_regime,regime_confidence
GBPJPY,2015-11-01 20:00:00,-0.002130843134685483,0.0,-1,1.0,default_regime,1,1,0.9958301
GBPJPY,2015-11-02 00:00:00,0.0017545091607269457,0.0,1,1.0,default_regime,1,1,0.99564147
GBPJPY,2015-11-02 04:00:00,0.003183613268393822,0.0,-1,1.0,default_regime,1,1,0.9957009
GBPJPY,2015-11-02 08:00:00,-0.0023128842197173254,0.0,-1,1.0,default_regime,1,1,0.99572104
GBPJPY,2015-11-02 12:00:00,-0.0001074563996693672,0.0,1,1.0,default_regime,1,1,0.99582374
GBPJPY,2015-11-02 16:00:00,0.0009344841414952544,1.0,1,1.0,default_regime,1,1,0.9956785
GBPJPY,2015-11-02 20:00:00,-0.0012784222360293375,1.0,-1,1.0,default_regime,1,1,0.99561644
GBPJPY,2015-11-03 00:00:00,0.0013643079865625662,1.0,1,1.0,default_regime,1,1,0.9954926
GBPJPY,2015-11-03 04:00:00,-0.000993504709572048,1.0,-1,1.0,default_regime,1,1,0.9954867
GBPJPY,2015-11-03 08:00:00,0.00231843094623282,1.0,-1,0.0,default_regime,1,1,0.9934455
GBPJPY,2015-11-03 12:00:00,0.0017138974464638921,1.0,-1,0.0,default_regime,1,1,0.99448377
GBPJPY,2015-11-03 16:00:00,-0.0009690623608418016,1.0,-1,0.0,default_regime,0,0,0.9977023
GBPJPY,2015-11-03 20:00:00,0.0009530082048219361,0.0,-1,0.0,default_regime,0,0,0.9979001
GBPJPY,2015-11-04 00:00:00,-0.00014985121942718473,1.0,-1,0.0,default_regime,0,0,0.9979571
GBPJPY,2015-11-04 04:00:00,0.00021406629714931563,0.0,-1,1.0,default_regime,0,0,0.99768376
GBPJPY,2015-11-04 08:00:00,0.0010856806224196966,1.0,-1,1.0,default_regime,0,0,0.9976445
GBPJPY,2015-11-04 12:00:00,-0.0004811907960849994,1.0,-1,0.0,default_regime,2,2,0.99861205
GBPJPY,2015-11-04 16:00:00,-2.1391632663821677e-05,0.0,-1,1.0,default_regime,0,0,0.9976445
GBPJPY,2015-11-04 20:00:00,-0.000588449292652677,0.0,1,0.0,default_regime,2,2,0.9986014
GBPJPY,2015-11-05 00:00:00,0.0025492289966255305,1.0,-1,0.0,default_regime,0,0,0.99771595
GBPJPY,2015-11-05 04:00:00,0.0015839792114637698,0.0,1,0.0,default_regime,0,0,0.9976445
GBPJPY,2015-11-05 08:00:00,-0.012154505121328056,0.0,-1,0.0,default_regime,2,2,0.9986014
GBPJPY,2015-11-05 12:00:00,-0.001960017365912704,0.0,1,0.0,default_regime,4,4,0.99473816
GBPJPY,2015-11-05 16:00:00,0.0002972193798107234,0.0,1,0.0,default_regime,4,4,0.99574465
GBPJPY,2015-11-05 20:00:00,0.0001728869971674977,1.0,1,0.0,default_regime,4,4,0.9958449
GBPJPY,2015-11-06 00:00:00,0.0005238811611717034,0.0,1,-1.0,default_regime,4,4,0.9958449
GBPJPY,2015-11-06 04:00:00,-0.0033478401483412173,0.0,1,0.0,default_regime,4,4,0.9960097
GBPJPY,2015-11-06 08:00:00,0.006103145581466886,0.0,1,0.0,default_regime,2,2,0.9970523
GBPJPY,2015-11-06 12:00:00,-0.0019726955242011144,0.0,-1,0.0,default_regime,2,2,0.9975068
GBPJPY,2015-11-06 16:00:00,0.0001996024142335718,0.0,1,0.0,default_regime,4,4,0.9960454
GBPJPY,2015-11-06 20:00:00,0.0002696697101752083,0.0,1,-1.0,default_regime,4,4,0.9963408
GBPJPY,2015-11-08 20:00:00,0.002310782250048055,0.0,1,0.0,default_regime,2,2,0.9973247
GBPJPY,2015-11-09 00:00:00,0.0005109903372651126,0.0,1,0.0,default_regime,2,2,0.9975262
GBPJPY,2015-11-09 04:00:00,0.002760207532763899,0.0,-1,0.0,default_regime,2,2,0.99774677
GBPJPY,2015-11-09 08:00:00,-0.0010784738227709333,0.0,-1,0.0,default_regime,2,2,0.9977204
GBPJPY,2015-11-09 12:00:00,-0.00123550314117123,0.0,1,0.0,default_regime,3,3,0.9936859
GBPJPY,2015-11-09 16:00:00,-2.687572396656953e-05,0.0,1,0.0,default_regime,3,3,0.9955472
GBPJPY,2015-11-09 20:00:00,0.0001074985623104,0.0,1,0.0,default_regime,2,2,0.99761534
GBPJPY,2015-11-10 00:00:00,0.0014340000040490193,0.0,-1,0.0,default_regime,2,2,0.99776363
GBPJPY,2015-11-10 04:00:00,-0.0010202383946855702,0.0,-1,0.0,default_regime,3,3,0.99599576
GBPJPY,2015-11-10 08:00:00,0.0005693139920351942,0.0,1,0.0,default_regime,3,3,0.99644715
GBPJPY,2015-11-10 12:00:00,-0.00033832678931063087,0.0,1,0.0,default_regime,2,2,0.9981645
GBPJPY,2015-11-10 16:00:00,0.0006443333788929734,0.0,1,1.0,default_regime,0,0,0.99775773
GBPJPY,2015-11-10 20:00:00,0.0007565615979306077,0.0,1,1.0,default_regime,0,0,0.9976922
GBPJPY,2015-11-11 00:00:00,0.00012335647623730236,0.0,-1,1.0,default_regime,0,0,0.9975737
GBPJPY,2015-11-11 04:00:00,0.001382696155809183,0.0,-1,1.0,default_regime,0,0,0.9973999
GBPJPY,2015-11-11 08:00:00,0.0005835883351594513,0.0,-1,1.0,default_regime,0,0,0.9976089
GBPJPY,2015-11-11 12:00:00,0.0010057564349550518,0.0,-1,1.0,default_regime,0,0,0.9975654
GBPJPY,2015-11-11 16:00:00,-0.0009094168055740683,0.0,-1,1.0,default_regime,0,0,0.9975654
GBPJPY,2015-11-11 20:00:00,0.0016790998838196237,0.0,1,1.0,default_regime,0,0,0.9975654
GBPJPY,2015-11-12 00:00:00,-0.0013045339745693164,1.0,-1,1.0,default_regime,0,0,0.9975654
GBPJPY,2015-11-12 04:00:00,-0.0008402934563519064,0.0,-1,0.0,default_regime,2,2,0.9986527
GBPJPY,2015-11-12 08:00:00,4.818877149020613e-05,1.0,-1,0.0,default_regime,2,2,0.9987393
GBPJPY,2015-11-12 12:00:00,-0.0006855698532099119,1.0,-1,0.0,default_regime,2,2,0.9987393
GBPJPY,2015-11-12 16:00:00,0.0004017580988209087,1.0,-1,0.0,default_regime,2,2,0.9987393
GBPJPY,2015-11-12 20:00:00,-0.001409541703638297,0.0,1,0.0,default_regime,2,2,0.9987393
GBPJPY,2015-11-13 00:00:00,0.0009649198793101388,0.0,-1,0.0,default_regime,2,2,0.9987393
GBPJPY,2015-11-13 04:00:00,-0.00033225618328943974,0.0,-1,0.0,default_regime,2,2,0.9987393
GBPJPY,2015-11-13 08:00:00,0.00036976204358452514,0.0,-1,0.0,default_regime,2,2,0.9987393
