pair,datetime_utc,actual_return,tech_signal,ml_signal,sg_signal,sg_policy,regime,target_regime,regime_confidence
XAUUSD,2015-11-03 00:00:00,0.0010110846172899561,0.0,1,0.0,default_regime,3,3,0.9983259
XAUUSD,2015-11-03 04:00:00,-0.004424105372941244,0.0,-1,-1.0,default_regime,3,3,0.9983259
XAUUSD,2015-11-03 08:00:00,-0.007982594303924178,0.0,1,-1.0,default_regime,3,3,0.9983259
XAUUSD,2015-11-03 12:00:00,-0.004461569822327935,0.0,1,0.0,default_regime,4,4,0.9949339
XAUUSD,2015-11-03 16:00:00,0.0017596945229080552,0.0,1,0.0,default_regime,4,4,0.99682415
XAUUSD,2015-11-03 20:00:00,0.0021228798136616453,0.0,1,0.0,default_regime,3,3,0.9965927
XAUUSD,2015-11-04 00:00:00,-0.00254263736072449,0.0,-1,0.0,default_regime,3,3,0.9980635
XAUUSD,2015-11-04 04:00:00,-0.0026485319090503298,0.0,1,0.0,default_regime,3,3,0.9982809
XAUUSD,2015-11-04 08:00:00,-0.003589063680501705,0.0,1,-1.0,default_regime,4,4,0.99478745
XAUUSD,2015-11-04 12:00:00,-0.0037986733226962675,0.0,1,-1.0,default_regime,4,4,0.99687517
XAUUSD,2015-11-04 16:00:00,0.001425518276547541,0.0,1,0.0,default_regime,4,4,0.9968539
XAUUSD,2015-11-04 20:00:00,0.0008988076544422645,0.0,1,0.0,default_regime,3,3,0.9966209
XAUUSD,2015-11-05 00:00:00,-0.0027304429614483827,0.0,1,0.0,default_regime,3,3,0.9981806
XAUUSD,2015-11-05 04:00:00,0.0005225068353847645,0.0,1,0.0,default_regime,3,3,0.99830484
XAUUSD,2015-11-05 08:00:00,-0.0012810335240323958,0.0,1,0.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-05 12:00:00,-0.001646355810153261,0.0,1,0.0,default_regime,3,3,0.99830484
XAUUSD,2015-11-05 16:00:00,0.00019090280345826483,0.0,1,0.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-05 20:00:00,0.0022681381630324632,0.0,1,0.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-06 00:00:00,0.0006668113626656649,0.0,1,0.0,default_regime,3,3,0.99831235
XAUUSD,2015-11-06 04:00:00,-9.110766632200103e-05,0.0,-1,-1.0,default_regime,3,3,0.99831235
XAUUSD,2015-11-06 08:00:00,-0.01892258582537172,0.0,-1,-1.0,default_regime,4,4,0.994833
XAUUSD,2015-11-06 12:00:00,0.00011031348345300349,0.0,1,0.0,default_regime,4,4,0.9968539
XAUUSD,2015-11-06 16:00:00,0.0014540807523725767,0.0,1,0.0,default_regime,4,4,0.9968539
XAUUSD,2015-11-06 20:00:00,0.0004469138471306148,0.0,-1,0.0,default_regime,3,3,0.9965456
XAUUSD,2015-11-08 20:00:00,0.0034885987442906667,0.0,1,0.0,default_regime,3,3,0.99793917
XAUUSD,2015-11-09 00:00:00,-0.00044810120155052693,0.0,-1,0.0,default_regime,3,3,0.99805593
XAUUSD,2015-11-09 04:00:00,0.0001463408390502388,-1.0,-1,0.0,default_regime,3,3,0.99831235
XAUUSD,2015-11-09 08:00:00,-0.003206105700702296,0.0,1,0.0,default_regime,3,3,0.99831235
XAUUSD,2015-11-09 12:00:00,0.0006337917605521154,0.0,1,0.0,default_regime,3,3,0.99831235
XAUUSD,2015-11-09 16:00:00,0.0020234253342870045,0.0,1,0.0,default_regime,3,3,0.99831235
XAUUSD,2015-11-09 20:00:00,0.00038791250497864367,0.0,-1,0.0,default_regime,3,3,0.99831235
XAUUSD,2015-11-10 00:00:00,-0.00046752636863109484,0.0,1,0.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-10 04:00:00,0.0006010651934134501,0.0,-1,-1.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-10 08:00:00,-0.004619263421767554,0.0,1,-1.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-10 12:00:00,-9.188651287030069e-05,0.0,1,-1.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-10 16:00:00,0.001690279096428935,0.0,1,-1.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-10 20:00:00,0.0019328335124953354,0.0,1,-1.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-11 00:00:00,-0.0005320958795614816,0.0,1,-1.0,default_regime,3,3,0.99834204
XAUUSD,2015-11-11 04:00:00,-0.0029348146807768004,0.0,-1,-1.0,default_regime,3,3,0.9982437
XAUUSD,2015-11-11 08:00:00,-0.0004227206917639314,0.0,1,-1.0,default_regime,3,3,0.9980684
XAUUSD,2015-11-11 12:00:00,-0.003544090016296377,0.0,1,0.0,default_regime,2,2,0.99808633
XAUUSD,2015-11-11 16:00:00,0.0024147335282262293,0.0,1,0.0,default_regime,2,2,0.9982692
XAUUSD,2015-11-11 20:00:00,0.0009749269806966155,0.0,1,0.0,default_regime,2,2,0.9982692
XAUUSD,2015-11-12 00:00:00,-2.0224677784744326e-05,0.0,1,0.0,default_regime,2,2,0.9982692
XAUUSD,2015-11-12 04:00:00,-0.00108537795141477,0.0,1,-1.0,default_regime,3,3,0.9973362
XAUUSD,2015-11-12 08:00:00,-0.0070847446683261674,0.0,1,-1.0,default_regime,3,3,0.9978915
XAUUSD,2015-11-12 12:00:00,0.0040707897215090496,0.0,1,0.0,default_regime,3,3,0.99784577
XAUUSD,2015-11-12 16:00:00,0.0005638484698229998,0.0,1,0.0,default_regime,3,3,0.9976864
XAUUSD,2015-11-12 20:00:00,-0.0006376983275571006,0.0,1,0.0,default_regime,3,3,0.9980482
XAUUSD,2015-11-13 00:00:00,0.00012923367219763732,0.0,1,0.0,default_regime,3,3,0.99798703
XAUUSD,2015-11-13 04:00:00,0.003243826907496642,0.0,1,0.0,default_regime,3,3,0.99798703
XAUUSD,2015-11-13 08:00:00,-0.00383566937834234,0.0,-1,0.0,default_regime,3,3,0.9979062
XAUUSD,2015-11-13 12:00:00,0.0001311403952162061,0.0,1,0.0,default_regime,3,3,0.9958664
XAUUSD,2015-11-13 16:00:00,0.0005640769897682115,0.0,1,0.0,default_regime,2,2,0.99811625
XAUUSD,2015-11-13 20:00:00,0.005254328166634322,0.0,1,0.0,default_regime,2,2,0.9982868
XAUUSD,2015-11-15 20:00:00,0.003619043451989869,0.0,-1,0.0,default_regime,2,2,0.99820936
XAUUSD,2015-11-16 00:00:00,0.00212919053346303,0.0,-1,0.0,default_regime,2,2,0.99813145
XAUUSD,2015-11-16 04:00:00,-0.003932951083970984,0.0,-1,0.0,default_regime,2,2,0.9977926
XAUUSD,2015-11-16 08:00:00,-0.005698136324340481,-1.0,1,0.0,default_regime,2,2,0.9981724
XAUUSD,2015-11-16 12:00:00,-0.0025923498250047866,0.0,1,0.0,default_regime,4,4,0.9951455
XAUUSD,2015-11-16 16:00:00,0.001357461257628252,0.0,1,0.0,default_regime,2,2,0.9980204
XAUUSD,2015-11-16 20:00:00,-0.0016975768817335771,0.0,1,0.0,default_regime,2,2,0.9982716
XAUUSD,2015-11-17 00:00:00,-0.0026555818660083286,0.0,1,0.0,default_regime,3,3,0.9972582
XAUUSD,2015-11-17 04:00:00,0.00017330452382080557,-1.0,1,0.0,default_regime,3,3,0.9963063
XAUUSD,2015-11-17 08:00:00,-0.003518306229285024,0.0,1,-1.0,default_regime,4,4,0.9944939
XAUUSD,2015-11-17 12:00:00,-0.0031565703356040624,0.0,1,0.0,default_regime,4,4,0.9963821
XAUUSD,2015-11-17 16:00:00,-0.002551903448629676,0.0,1,0.0,default_regime,4,4,0.9964897
XAUUSD,2015-11-17 20:00:00,-0.0021318845472141482,0.0,1,0.0,default_regime,4,4,0.99668926
XAUUSD,2015-11-18 00:00:00,0.003562761350438781,0.0,1,-1.0,default_regime,4,4,0.99668926
XAUUSD,2015-11-18 04:00:00,-0.0008035063203894573,0.0,1,-1.0,default_regime,4,4,0.99668926
XAUUSD,2015-11-18 08:00:00,-0.0012439045611936821,0.0,1,-1.0,default_regime,4,4,0.99668926
XAUUSD,2015-11-18 12:00:00,0.0014971721584540112,0.0,1,-1.0,default_regime,4,4,0.99668926
XAUUSD,2015-11-18 16:00:00,0.0014548119201078997,-1.0,1,-1.0,default_regime,4,4,0.99668926
XAUUSD,2015-11-18 20:00:00,0.003994965517262443,-1.0,1,-1.0,default_regime,4,4,0.99668926
XAUUSD,2015-11-19 00:00:00,-0.00044526723043699675,0.0,-1,-1.0,default_regime,4,4,0.996653
XAUUSD,2015-11-19 04:00:00,-0.001488761523264543,0.0,-1,-1.0,default_regime,4,4,0.996653
XAUUSD,2015-11-19 08:00:00,0.008373301249171504,0.0,1,-1.0,default_regime,4,4,0.9966708
XAUUSD,2015-11-19 12:00:00,-0.001126264105537681,0.0,-1,-1.0,default_regime,4,4,0.9959377
XAUUSD,2015-11-19 16:00:00,0.000257886927717447,0.0,1,0.0,default_regime,2,2,0.9963799
XAUUSD,2015-11-19 20:00:00,0.0014527214756971637,0.0,1,0.0,default_regime,2,2,0.9973423
XAUUSD,2015-11-20 00:00:00,-0.002480042666771545,0.0,1,0.0,default_regime,2,2,0.99719644
XAUUSD,2015-11-20 04:00:00,0.0034356741388148846,0.0,-1,0.0,default_regime,2,2,0.9973423
XAUUSD,2015-11-20 08:00:00,-0.0051857507462096325,0.0,-1,0.0,default_regime,2,2,0.9966354
XAUUSD,2015-11-20 12:00:00,-0.0019184142050185078,0.0,-1,0.0,default_regime,2,2,0.9968545
XAUUSD,2015-11-20 16:00:00,0.0006052358655177568,0.0,-1,0.0,default_regime,2,2,0.9974432
XAUUSD,2015-11-20 20:00:00,-0.0016820127557729703,0.0,-1,0.0,default_regime,2,2,0.99756193
XAUUSD,2015-11-22 20:00:00,-0.0038847189406988267,0.0,1,0.0,default_regime,2,2,0.9976152
XAUUSD,2015-11-23 00:00:00,-0.0005684653130222619,-1.0,1,0.0,default_regime,2,2,0.9976121
XAUUSD,2015-11-23 04:00:00,-0.0005799995586106307,-1.0,1,0.0,default_regime,2,2,0.9978708
XAUUSD,2015-11-23 08:00:00,-0.0011320143911827262,-1.0,1,0.0,default_regime,2,2,0.99783534
XAUUSD,2015-11-23 12:00:00,-0.0014404726566362243,-1.0,1,0.0,default_regime,2,2,0.99778736
XAUUSD,2015-11-23 16:00:00,0.0022089986579248238,-1.0,1,0.0,default_regime,2,2,0.99778736
XAUUSD,2015-11-23 20:00:00,0.000838907414395028,-1.0,1,0.0,default_regime,2,2,0.9978034
XAUUSD,2015-11-24 00:00:00,0.0010630370726074962,-1.0,1,0.0,default_regime,2,2,0.997693
XAUUSD,2015-11-24 04:00:00,0.0027331304071422373,-1.0,-1,0.0,default_regime,2,2,0.9975274
XAUUSD,2015-11-24 08:00:00,-0.00024189826993228683,0.0,1,0.0,default_regime,2,2,0.9975274
XAUUSD,2015-11-24 12:00:00,0.0004149126742779652,0.0,1,-1.0,default_regime,3,3,0.9970891
XAUUSD,2015-11-24 16:00:00,0.00011160631256897435,0.0,1,-1.0,default_regime,3,3,0.9978908
XAUUSD,2015-11-24 20:00:00,0.004028079451618937,0.0,1,0.0,default_regime,2,2,0.99774444
XAUUSD,2015-11-25 00:00:00,-2.6861962397636884e-05,0.0,-1,0.0,default_regime,2,2,0.9976674
XAUUSD,2015-11-25 04:00:00,-0.00613225816216018,0.0,-1,0.0,default_regime,3,3,0.9976031
XAUUSD,2015-11-25 08:00:00,-0.001249639958611572,0.0,1,0.0,default_regime,3,3,0.9982175
XAUUSD,2015-11-25 12:00:00,-0.0010073761506264618,0.0,1,0.0,default_regime,3,3,0.9977981
XAUUSD,2015-11-25 16:00:00,0.0001578488474474521,0.0,1,0.0,default_regime,3,3,0.99805105
XAUUSD,2015-11-25 20:00:00,0.0035073361767000593,-1.0,1,0.0,default_regime,2,2,0.9981287
XAUUSD,2015-11-26 00:00:00,-0.0028631229628015044,0.0,1,0.0,default_regime,2,2,0.99829894
XAUUSD,2015-11-26 04:00:00,0.0014297901446709807,-1.0,1,0.0,default_regime,2,2,0.998312
XAUUSD,2015-11-26 08:00:00,-0.001455924052951861,0.0,1,0.0,default_regime,2,2,0.998312
XAUUSD,2015-11-26 12:00:00,0.000148394193112741,-1.0,1,0.0,default_regime,2,2,0.998312
XAUUSD,2015-11-26 16:00:00,0.00025100671084848876,-1.0,1,0.0,default_regime,2,2,0.998312
XAUUSD,2015-11-26 20:00:00,-0.0041051885702170585,-1.0,1,0.0,default_regime,2,2,0.998312
XAUUSD,2015-11-27 00:00:00,0.0016203415809693381,-1.0,-1,0.0,default_regime,2,2,0.9982951
XAUUSD,2015-11-27 04:00:00,-0.003372814032356309,0.0,-1,0.0,default_regime,2,2,0.9982951
XAUUSD,2015-11-27 08:00:00,-0.007290302791836136,-1.0,1,-1.0,default_regime,3,3,0.99762756
XAUUSD,2015-11-27 12:00:00,-0.0003309242081400071,0.0,1,-1.0,default_regime,3,3,0.9981646
XAUUSD,2015-11-27 16:00:00,-0.0002922498482705263,0.0,1,-1.0,default_regime,3,3,0.9982377
XAUUSD,2015-11-29 20:00:00,-0.0015070565650809268,0.0,1,-1.0,default_regime,3,3,0.9984415
XAUUSD,2015-11-30 00:00:00,0.0013935384493596222,0.0,1,-1.0,default_regime,3,3,0.9984415
XAUUSD,2015-11-30 04:00:00,-0.0003387389670195052,0.0,1,-1.0,default_regime,3,3,0.9984415
XAUUSD,2015-11-30 08:00:00,0.005602805388098232,0.0,1,-1.0,default_regime,3,3,0.9984415
XAUUSD,2015-11-30 12:00:00,0.002455061505226574,-1.0,-1,-1.0,default_regime,3,3,0.99850273
XAUUSD,2015-11-30 16:00:00,-0.0009514198991512317,-1.0,1,0.0,default_regime,3,3,0.99850273
XAUUSD,2015-11-30 20:00:00,0.007032041959105128,0.0,1,0.0,default_regime,2,2,0.9963477
XAUUSD,2015-12-01 00:00:00,-0.0006804413517235827,0.0,-1,0.0,default_regime,2,2,0.9963427
XAUUSD,2015-12-01 04:00:00,-0.0022621292908924185,0.0,-1,0.0,default_regime,3,3,0.99790823
XAUUSD,2015-12-01 08:00:00,-0.0025308558023990845,0.0,1,0.0,default_regime,3,3,0.9983139
XAUUSD,2015-12-01 12:00:00,0.0022884484623531603,0.0,1,0.0,default_regime,2,2,0.99668926
XAUUSD,2015-12-01 16:00:00,0.0014488899446983233,0.0,1,0.0,default_regime,2,2,0.99675083
XAUUSD,2015-12-01 20:00:00,-0.0013833686525948584,0.0,1,0.0,default_regime,2,2,0.9967399
XAUUSD,2015-12-02 00:00:00,-0.0001329191002023604,0.0,-1,0.0,default_regime,2,2,0.99766123
XAUUSD,2015-12-02 04:00:00,-0.0006901528021218929,0.0,-1,0.0,default_regime,2,2,0.9977584
XAUUSD,2015-12-02 08:00:00,-0.010850107996722438,0.0,-1,0.0,default_regime,3,3,0.99791867
XAUUSD,2015-12-02 12:00:00,-0.0017932889185180865,-1.0,1,0.0,default_regime,4,4,0.9962477
XAUUSD,2015-12-02 16:00:00,-3.605039466083056e-05,0.0,1,0.0,default_regime,2,2,0.99668
XAUUSD,2015-12-02 20:00:00,-0.002678000919344163,0.0,-1,0.0,default_regime,4,4,0.99683577
XAUUSD,2015-12-03 00:00:00,0.001764923538570186,0.0,1,0.0,default_regime,2,2,0.9966743
XAUUSD,2015-12-03 04:00:00,-0.0024976588531289115,0.0,1,0.0,default_regime,2,2,0.9969367
XAUUSD,2015-12-03 08:00:00,0.005060133582614845,0.0,1,0.0,default_regime,2,2,0.9969909
XAUUSD,2015-12-03 12:00:00,0.008907915346564356,-1.0,1,0.0,default_regime,1,1,0.9946128
XAUUSD,2015-12-03 16:00:00,-0.0019244074856772733,0.0,-1,0.0,default_regime,2,2,0.9970125
XAUUSD,2015-12-03 20:00:00,-0.0009673601422863114,0.0,1,0.0,default_regime,2,2,0.99707127
XAUUSD,2015-12-04 00:00:00,-0.00240551498977858,0.0,-1,0.0,default_regime,2,2,0.99707127
XAUUSD,2015-12-04 04:00:00,0.002618263923306221,0.0,-1,-1.0,default_regime,4,4,0.9961964
XAUUSD,2015-12-04 08:00:00,0.019730682392286952,0.0,-1,1.0,default_regime,1,1,0.99443686
XAUUSD,2015-12-04 12:00:00,0.001486572249853856,0.0,-1,1.0,default_regime,1,1,0.9961714
XAUUSD,2015-12-04 16:00:00,0.00061813951193297,0.0,-1,1.0,default_regime,1,1,0.99752
XAUUSD,2015-12-04 20:00:00,-0.0025284020551404095,0.0,-1,1.0,default_regime,1,1,0.99752
XAUUSD,2015-12-06 20:00:00,0.0016448335604910558,0.0,-1,1.0,default_regime,1,1,0.99752
XAUUSD,2015-12-07 00:00:00,-0.0003807555323543138,0.0,-1,1.0,default_regime,1,1,0.99752
