pair,period,strategy,trades,win_rate,after_tax_pnl,return_pct,balance
EURUSD,1m,Technical,143,50.3,-639,-6.4,9361
EURUSD,1m,ML Direction,143,49.7,1319,13.2,11319
EURUSD,1m,ShiftGuard,41,51.2,1051,10.5,11051
EURUSD,3m,Technical,398,45.2,-6332,-63.3,3668
EURUSD,3m,ML Direction,398,48.7,2272,22.7,12272
EURUSD,3m,ShiftGuard,151,55.0,6920,69.2,16920
EURUSD,6m,Technical,799,46.9,-8992,-89.9,1008
EURUSD,6m,ML Direction,799,50.7,5623,56.2,15623
EURUSD,6m,ShiftGuard,241,55.2,8159,81.6,18159
EURUSD,1y,Technical,1611,45.9,-28616,-286.2,-18616
EURUSD,1y,ML Direction,1611,51.8,31349,313.5,41349
EURUSD,1y,ShiftGuard,462,53.2,18573,185.7,28573
EURUSD,2y,Technical,3221,44.7,-70786,-707.9,-60786
EURUSD,2y,ML Direction,3221,50.5,63741,637.4,73741
EURUSD,2y,ShiftGuard,842,53.4,44360,443.6,54360
EURUSD,5y,Technical,8061,44.4,-179127,-1791.3,-169127
EURUSD,5y,ML Direction,8061,51.1,242764,2427.6,252764
EURUSD,5y,ShiftGuard,2002,53.7,122321,1223.2,132321
GBPJPY,1m,Technical,32,40.6,-977,-9.8,9023
GBPJPY,1m,ML Direction,143,37.8,-10752,-107.5,-752
GBPJPY,1m,ShiftGuard,30,63.3,2548,25.5,12548
GBPJPY,3m,Technical,74,39.2,-6159,-61.6,3841
GBPJPY,3m,ML Direction,398,42.2,-23253,-232.5,-13253
GBPJPY,3m,ShiftGuard,126,60.3,6743,67.4,16743
GBPJPY,6m,Technical,163,39.3,-11013,-110.1,-1013
GBPJPY,6m,ML Direction,799,42.7,-36230,-362.3,-26230
GBPJPY,6m,ShiftGuard,222,55.0,8592,85.9,18592
GBPJPY,1y,Technical,338,37.6,-27133,-271.3,-17133
GBPJPY,1y,ML Direction,1611,43.8,-72635,-726.3,-62635
GBPJPY,1y,ShiftGuard,352,52.6,10332,103.3,20332
GBPJPY,2y,Technical,656,42.4,-31566,-315.7,-21566
GBPJPY,2y,ML Direction,3221,45.5,-90240,-902.4,-80240
GBPJPY,2y,ShiftGuard,980,54.6,48511,485.1,58511
GBPJPY,5y,Technical,1618,43.1,-61374,-613.7,-51374
GBPJPY,5y,ML Direction,8060,45.5,-225942,-2259.4,-215942
GBPJPY,5y,ShiftGuard,2435,53.8,123593,1235.9,133593
XAUUSD,1m,Technical,12,33.3,970,9.7,10970
XAUUSD,1m,ML Direction,137,48.9,17184,171.8,27184
XAUUSD,1m,ShiftGuard,69,49.3,12569,125.7,22569
XAUUSD,3m,Technical,63,38.1,-11562,-115.6,-1562
XAUUSD,3m,ML Direction,392,43.4,27221,272.2,37221
XAUUSD,3m,ShiftGuard,203,54.7,57806,578.1,67806
XAUUSD,6m,Technical,117,39.3,-19299,-193.0,-9299
XAUUSD,6m,ML Direction,789,42.2,482,4.8,10482
XAUUSD,6m,ShiftGuard,390,52.8,83088,830.9,93088
XAUUSD,1y,Technical,266,39.8,-36147,-361.5,-26147
XAUUSD,1y,ML Direction,1594,41.2,-94826,-948.3,-84826
XAUUSD,1y,ShiftGuard,736,56.2,133737,1337.4,143737
XAUUSD,2y,Technical,559,41.3,-48940,-489.4,-38940
XAUUSD,2y,ML Direction,3200,40.3,-232792,-2327.9,-222792
XAUUSD,2y,ShiftGuard,1257,52.9,156720,1567.2,166720
XAUUSD,5y,Technical,1493,43.3,-80496,-805.0,-70496
XAUUSD,5y,ML Direction,7998,42.1,-526277,-5262.8,-516277
XAUUSD,5y,ShiftGuard,2757,51.5,248073,2480.7,258073
