datetime_utc,actual_return,tech_signal,ml_signal,sg_signal
2016-12-19,-0.004233759574618508,-1,-1,-1.0
2016-12-20,-0.001476509481291881,-1,-1,-1.0
2016-12-21,0.0036641609249652264,-1,1,-1.0
2016-12-22,0.0008659788395229713,-1,-1,-1.0
2016-12-23,0.0016400925651978298,-1,1,-1.0
2016-12-26,0.00020909756917603204,-1,1,-1.0
2016-12-27,0.0005125259245785663,1,1,0.0
2016-12-28,-0.004342951339742504,1,-1,0.0
2016-12-29,0.01508250693397183,1,1,-1.0
2016-12-30,-0.004579297436805474,1,1,-1.0
2017-01-02,-0.006379961365256615,1,-1,-1.0
2017-01-03,-0.0038418862814960275,1,-1,0.0
2017-01-04,0.007740590997296724,1,1,0.0
2017-01-05,0.009951694252328959,1,1,-1.0
2017-01-06,-0.007007159987028705,1,-1,0.0
2017-01-09,0.0053751462447140155,1,1,0.0
2017-01-10,-0.003424761684181173,1,-1,0.0
2017-01-11,0.004282834624410967,1,1,-1.0
2017-01-12,0.001803209323731725,1,1,0.0
2017-01-13,0.0011154729925587558,1,1,0.0
2017-01-16,-0.002420493946028179,1,-1,0.0
2017-01-17,0.008807419508532732,1,1,0.0
2017-01-18,-0.006471944983548921,1,-1,1.0
2017-01-19,0.0030014703955947883,1,-1,1.0
2017-01-20,0.005054843962894572,1,1,0.0
2017-01-23,0.004380785936046075,1,1,0.0
2017-01-24,-0.0029870187452542053,1,-1,0.0
2017-01-25,0.002169451772020358,1,1,0.0
2017-01-26,-0.0064410634062073814,1,-1,0.0
2017-01-27,0.002899318852993123,1,-1,0.0
2017-01-30,-0.0005034903875596175,1,1,0.0
2017-01-31,0.008852261972059784,1,1,0.0
2017-02-01,-0.0033759205059840968,1,-1,0.0
2017-02-02,-0.0005274662699758506,1,-1,0.0
2017-02-03,0.0019713419350956586,1,-1,0.0
2017-02-06,-0.0036916646517806554,1,-1,0.0
2017-02-07,-0.006083672000636754,1,-1,0.0
2017-02-08,0.001324952574866799,-1,-1,0.0
2017-02-09,-0.0031492420707108556,-1,-1,0.0
2017-02-10,-0.003670492466827683,-1,-1,0.0
2017-02-13,-0.001983821861077884,-1,-1,0.0
2017-02-14,-0.0019059474091679728,-1,-1,0.0
2017-02-15,0.0027435541785106898,-1,1,-1.0
2017-02-16,0.006096606333929302,-1,1,0.0
2017-02-17,-0.004281128670700643,-1,-1,0.0
2017-02-20,-0.0016245565514428882,-1,1,0.0
2017-02-21,-0.006366536572582725,-1,-1,0.0
2017-02-22,0.001139192733998484,-1,-1,0.0
2017-02-23,0.0028748666409450312,-1,1,-1.0
2017-02-24,-0.0030014925084968615,-1,-1,0.0
2017-02-27,0.0029803184926625644,-1,-1,-1.0
2017-02-28,-0.001427914978222764,-1,-1,-1.0
2017-03-01,-0.003155193618451753,-1,-1,-1.0
2017-03-02,-0.002483361285800688,-1,-1,-1.0
2017-03-03,0.010480388215962188,-1,1,-1.0
2017-03-06,-0.003890114210058578,-1,-1,0.0
2017-03-07,-0.000856528977351755,-1,-1,0.0
2017-03-08,-0.002153918443973989,-1,-1,0.0
2017-03-09,0.0029364122241478294,-1,1,0.0
2017-03-10,0.010495752325234368,1,1,0.0
2017-03-13,-0.0036172570315181995,1,-1,0.0
2017-03-14,-0.0036681311722004924,1,-1,0.0
2017-03-15,0.01175313951260352,1,1,0.0
2017-03-16,0.0034204682168346265,1,1,1.0
2017-03-17,-0.0029478685547739913,1,-1,0.0
2017-03-20,-0.000494026216523266,1,-1,1.0
2017-03-21,0.0069390189319521985,1,1,1.0
2017-03-22,-0.002062955051731874,1,1,1.0
2017-03-23,-0.0005825075184240264,1,-1,1.0
2017-03-24,0.006068102164538236,1,1,1.0
2017-03-27,0.0010529288766618662,1,1,1.0
2017-03-28,-0.003988814539129683,1,-1,0.0
2017-03-29,-0.005383655395307185,1,-1,1.0
2017-03-30,-0.006766263018980494,1,-1,0.0
2017-03-31,-0.001708436576849294,1,1,0.0
2017-04-03,0.00011731597159801833,-1,-1,-1.0
2017-04-04,0.0009608024846293539,-1,-1,-1.0
2017-04-05,-0.0007367113708814336,-1,-1,-1.0
2017-04-06,-0.002611329354407584,-1,-1,-1.0
2017-04-07,-0.005900993777431867,-1,-1,-1.0
2017-04-10,0.0014719638399648264,-1,1,-1.0
2017-04-11,0.001293776491387639,-1,1,-1.0
2017-04-12,0.0055757821106804445,-1,-1,-1.0
2017-04-13,-0.005098219512770225,-1,1,-1.0
2017-04-14,-0.0005518231785464774,-1,1,-1.0
2017-04-17,0.003198762931699693,-1,1,-1.0
2017-04-18,0.00787603933151079,-1,1,0.0
2017-04-19,-0.0012759417804318331,-1,-1,0.0
2017-04-20,-1.068048484067434e-05,1,-1,1.0
2017-04-21,0.01473387077510292,1,-1,0.0
2017-04-24,-0.0008370344334140607,1,1,1.0
2017-04-25,0.005818837615714092,1,1,1.0
2017-04-26,-0.0017688276041054596,1,-1,1.0
2017-04-27,-0.004104213277379672,1,-1,0.0
2017-04-28,0.003973291140565258,1,1,0.0
2017-05-01,0.00013092213681450298,1,-1,0.0
2017-05-02,0.0024465527570567713,1,1,0.0
2017-05-03,-0.004277630513799503,1,-1,1.0
2017-05-04,0.008463877857979456,1,1,1.0
2017-05-05,-0.0014924328465038186,1,1,0.0
2017-05-08,-0.0034152831494478875,1,-1,0.0
2017-05-09,-0.003752144975261105,1,-1,1.0
2017-05-10,-0.0014795427623111868,1,-1,1.0
2017-05-11,-0.0005325441349082685,-1,-1,0.0
2017-05-12,0.0057204864600827665,-1,1,0.0
2017-05-15,0.0049733891475483355,-1,1,0.0
2017-05-16,0.010165609234827322,-1,1,0.0
2017-05-17,0.005607107178077628,1,1,0.0
2017-05-18,-0.003841584496626299,-1,-1,1.0
2017-05-19,0.008179592912204795,1,1,1.0
2017-05-22,0.0030299874646010755,-1,-1,1.0
2017-05-23,-0.005313076821422747,-1,-1,1.0
2017-05-24,0.004605241095272315,1,1,1.0
2017-05-25,-0.0017953372916787,1,-1,1.0
2017-05-26,-0.0031006300645787972,1,-1,1.0
2017-05-29,-0.0042155232961007755,1,1,1.0
2017-05-30,0.0038245199942626854,1,1,1.0
2017-05-31,0.0064107218921609175,-1,1,1.0
2017-06-01,-0.0024705630841269518,1,-1,1.0
2017-06-02,0.005781635295709812,-1,1,1.0
2017-06-05,-0.002129806388517568,1,-1,1.0
2017-06-06,0.001295371377476745,1,1,1.0
2017-06-07,-0.0014417352935042875,-1,-1,1.0
2017-06-08,-0.006272006430605266,-1,-1,1.0
2017-06-09,0.001533596439746188,-1,-1,1.0
2017-06-12,-0.0005151964433409355,-1,1,0.0
2017-06-13,0.0011314867284345825,-1,1,0.0
2017-06-14,0.0006166547146009237,-1,1,1.0
2017-06-15,-0.006160839863208682,-1,-1,1.0
2017-06-16,0.005488135775370295,-1,1,0.0
2017-06-19,-0.005699907005050658,-1,-1,0.0
2017-06-20,-0.0006795750515412816,-1,-1,0.0
2017-06-21,0.0027099826986903166,-1,1,0.0
2017-06-22,-0.001573337331533338,-1,1,0.0
2017-06-23,0.004402570472360325,-1,1,0.0
2017-06-26,-0.0013652747414871296,-1,-1,0.0
2017-06-27,0.013817200221092344,-1,1,0.0
2017-06-28,0.003828564481944142,-1,1,0.0
2017-06-29,0.005169753787889567,1,1,0.0
2017-06-30,-0.001623434279564029,-1,-1,0.0
2017-07-03,-0.00453607873585738,1,-1,1.0
2017-07-04,-0.0009888509651572001,1,-1,1.0
2017-07-05,-0.0011693597201411616,1,-1,1.0
2017-07-06,0.0068427801095858175,1,1,0.0
2017-07-07,-0.001837701715489709,1,-1,0.0
2017-07-10,0.006131251207802693,1,-1,0.0
2017-07-12,-0.004807464986444529,1,-1,0.0
2017-07-13,-0.0013123920117594798,1,1,1.0
2017-07-14,0.006246082259973272,1,1,1.0
2017-07-17,-9.183638917386693e-05,1,-1,1.0
2017-07-18,0.00655029783305211,1,1,0.0
2017-07-19,-0.0018462368588922442,1,-1,0.0
2017-07-20,0.008660672812457637,1,1,1.0
2017-07-21,0.0045455288539196816,-1,1,1.0
2017-07-24,-0.0036730128113636957,-1,-1,1.0
2017-07-25,0.0004889523241933991,1,-1,1.0
2017-07-26,0.007140275713109553,1,1,1.0
2017-07-27,-0.003360330911062203,-1,-1,1.0
2017-07-28,0.005003595982651434,1,1,1.0
2017-07-31,0.006517456509259816,-1,1,1.0
2017-08-01,-0.0010872165978424119,-1,-1,1.0
2017-08-02,0.0033718824872047953,-1,1,1.0
2017-08-03,0.0028482358366718977,-1,1,1.0
2017-08-04,-0.009003661780450659,-1,-1,1.0
2017-08-07,0.001909827198615512,1,1,1.0
2017-08-08,-0.003933743568074327,1,-1,1.0
2017-08-09,0.0005879322590374358,-1,1,1.0
2017-08-10,0.0007412406839569163,-1,1,0.0
2017-08-11,0.004683757024378315,-1,1,1.0
2017-08-14,-0.004212813668356419,-1,-1,1.0
2017-08-15,-0.002939654885911989,-1,-1,1.0
2017-08-16,0.002810170102040692,-1,1,1.0
2017-08-17,-0.005003297987145882,-1,-1,1.0
2017-08-18,0.003473724677504832,-1,1,0.0
2017-08-21,0.004725443074964282,-1,1,0.0
2017-08-22,-0.0042197846676600495,-1,-1,0.0
2017-08-23,0.0046095726316787945,-1,1,1.0
2017-08-24,-0.0012162816868652579,-1,-1,0.0
2017-08-25,0.012601173730479498,-1,1,1.0
