datetime_utc,actual_return,tech_signal,ml_signal,sg_signal
2016-12-19,-0.01459167912167028,-1,1,1.0
2016-12-20,0.005269554533003515,-1,1,1.0
2016-12-21,-0.003312589873397551,-1,1,1.0
2016-12-22,-0.006256534977254896,-1,1,1.0
2016-12-23,-0.0011574697213231019,-1,1,0.0
2016-12-26,-0.002430345986718586,-1,1,0.0
2016-12-27,0.0024510873112899892,-1,1,0.0
2016-12-28,-0.007483194200462007,-1,-1,1.0
2016-12-29,-0.0020143136801785973,-1,1,0.0
2016-12-30,0.008595603779277967,-1,-1,0.0
2017-01-02,0.001366460523671988,-1,1,1.0
2017-01-03,-0.0016094647262770007,-1,1,1.0
2017-01-04,0.002046105433912038,-1,1,0.0
2017-01-05,-0.008000111453100733,-1,1,0.0
2017-01-06,0.002887444123196323,-1,1,1.0
2017-01-09,-0.017004656918178648,-1,-1,0.0
2017-01-10,-0.000942566152955569,-1,1,0.0
2017-01-11,-0.003380790216836158,-1,1,0.0
2017-01-12,-0.00777794819083692,-1,1,-1.0
2017-01-13,-0.014225821359761524,-1,1,-1.0
2017-01-16,-0.0005092812395874606,1,1,0.0
2017-01-17,0.017291520585219503,1,-1,-1.0
2017-01-18,0.006060668130918692,-1,-1,0.0
2017-01-19,0.00827553383633545,-1,-1,0.0
2017-01-20,-0.006258755495767913,-1,1,0.0
2017-01-23,0.0013682075448801492,-1,1,0.0
2017-01-24,0.010647893390235438,-1,1,1.0
2017-01-25,0.003226171627689545,1,1,1.0
2017-01-26,0.007115309811050465,1,-1,0.0
2017-01-27,0.0015458970731645472,1,-1,1.0
2017-01-30,-0.016165271782697017,1,-1,0.0
2017-01-31,-0.001014193365604628,1,-1,0.0
2017-02-01,0.010500668159888036,1,1,0.0
2017-02-02,-0.015537625346195514,1,-1,0.0
2017-02-03,-0.004208666210051817,1,1,0.0
2017-02-06,-0.008528198222321048,-1,-1,0.0
2017-02-07,0.007282771020436111,-1,-1,0.0
2017-02-08,-0.0013681840513205055,-1,-1,0.0
2017-02-09,0.010801603104284067,-1,1,0.0
2017-02-10,0.0028880636612506616,-1,-1,0.0
2017-02-13,0.001447983407440047,-1,-1,1.0
2017-02-14,0.00103185990130062,1,1,0.0
2017-02-15,-0.0016993384450348069,1,1,0.0
2017-02-16,-0.005610307921075932,1,1,0.0
2017-02-17,-0.007854881944294564,1,-1,1.0
2017-02-20,0.006362455020193018,-1,1,0.0
2017-02-21,0.004604477096021791,-1,1,1.0
2017-02-22,-0.004972637730564529,1,1,0.0
2017-02-23,0.0017191896246629413,-1,1,1.0
2017-02-24,-0.01695263378681658,-1,-1,1.0
2017-02-27,0.00813438687274189,-1,-1,0.0
2017-02-28,-0.0019345868411644246,-1,-1,-1.0
2017-03-01,0.0005143742871337055,-1,1,0.0
2017-03-02,0.0022328616426508232,-1,-1,0.0
2017-03-03,-0.002297157583593926,-1,1,0.0
2017-03-06,-0.004201261030051912,-1,-1,0.0
2017-03-07,-0.00288732131484014,-1,-1,-1.0
2017-03-08,0.0016816770460345925,-1,-1,-1.0
2017-03-09,0.005035433580990457,-1,-1,-1.0
2017-03-10,-0.002432142577030418,-1,-1,0.0
2017-03-13,0.004466350812097026,-1,-1,-1.0
2017-03-14,-0.006193899566936489,-1,-1,-1.0
2017-03-15,-0.0008325723987620562,-1,1,-1.0
2017-03-16,0.005099424810789586,-1,-1,-1.0
2017-03-17,-0.0032558183784709245,1,-1,-1.0
2017-03-20,-0.0022027179764745014,1,-1,-1.0
2017-03-21,-0.00011498239844801192,1,-1,-1.0
2017-03-22,-0.0020135112815396513,1,1,-1.0
2017-03-23,0.00010082682397452935,-1,-1,-1.0
2017-03-24,-0.004436428017743047,-1,-1,-1.0
2017-03-27,0.0055658062548199355,-1,-1,-1.0
2017-03-28,-0.006817351117747157,-1,-1,-1.0
2017-03-29,0.0008755174861751192,-1,-1,-1.0
2017-03-30,0.00858406250166212,-1,-1,-1.0
2017-03-31,0.00036559527894460957,1,1,-1.0
2017-04-03,-0.008884549023025485,1,1,-1.0
2017-04-04,-0.0028026263251259716,1,-1,-1.0
2017-04-05,-0.00039900867075476153,-1,1,-1.0
2017-04-06,0.003085870900024448,-1,1,-1.0
2017-04-07,-0.004566970317174869,-1,-1,-1.0
2017-04-10,-0.0006105156939946306,-1,-1,-1.0
2017-04-11,-0.004824573322362139,-1,-1,-1.0
2017-04-12,-0.001659751603534492,-1,1,-1.0
2017-04-13,-0.0019190006792091977,-1,-1,-1.0
2017-04-14,-0.004681262602823709,-1,-1,-1.0
2017-04-17,0.009158190466336927,1,-1,-1.0
2017-04-18,0.01729395302599695,-1,1,-1.0
2017-04-19,-0.002147227601348574,1,1,0.0
2017-04-20,0.006506482834374588,1,1,0.0
2017-04-21,0.007379547939347372,1,-1,0.0
2017-04-24,-0.006929643151070676,1,1,0.0
2017-04-25,0.017080478163097983,1,1,1.0
2017-04-26,0.0025165092262556307,1,-1,0.0
2017-04-27,0.0038150751045990935,1,-1,0.0
2017-04-28,0.003703462844352427,1,-1,0.0
2017-05-01,0.0020337926596430294,-1,-1,0.0
2017-05-02,0.004780074124710623,-1,-1,0.0
2017-05-03,0.0018203029240691417,-1,-1,0.0
2017-05-04,0.0018787920878132434,-1,-1,0.0
2017-05-05,0.004472880438886606,-1,1,1.0
2017-05-08,0.002857120365378092,-1,-1,0.0
2017-05-09,0.004746116467605448,-1,-1,0.0
2017-05-10,0.004182647123823084,-1,-1,0.0
2017-05-11,-0.007762252533715258,-1,-1,0.0
2017-05-12,-0.005112556008762579,-1,-1,0.0
2017-05-15,0.004532853418137796,1,1,0.0
2017-05-16,-0.00757306300327196,1,1,0.0
2017-05-17,-0.0095236100312626,1,-1,0.0
2017-05-18,0.001698706881113163,-1,1,0.0
2017-05-19,0.003008835519591486,-1,1,0.0
2017-05-22,-0.004839374430371337,-1,1,0.0
2017-05-23,0.006619637174423626,-1,1,0.0
2017-05-24,-0.0022293033384367354,-1,1,0.0
2017-05-25,-0.0018050469271745256,-1,-1,0.0
2017-05-26,-0.01333037920522543,-1,-1,0.0
2017-05-29,-0.0007158196056983658,-1,-1,0.0
2017-05-30,-0.0033471041538980237,-1,-1,-1.0
2017-05-31,0.004539780996979166,-1,-1,-1.0
2017-06-01,0.00680611584260658,-1,1,-1.0
2017-06-02,-0.010071829203103072,-1,-1,-1.0
2017-06-05,0.002171364913342934,-1,-1,-1.0
2017-06-06,-0.00808376456678664,-1,-1,-1.0
2017-06-07,0.007852066850821944,-1,-1,-1.0
2017-06-08,-0.01911710118111491,-1,-1,-1.0
2017-06-09,0.005345928157517334,-1,-1,-1.0
2017-06-12,-0.008772554994423004,-1,-1,-1.0
2017-06-13,0.007255225007917567,-1,1,-1.0
2017-06-14,-0.004945561414846003,-1,-1,-1.0
2017-06-15,0.013930463999019146,-1,-1,-1.0
2017-06-16,0.001581378332434823,-1,-1,-1.0
2017-06-19,0.002677034997708602,-1,1,-1.0
2017-06-20,-0.010701495837349187,-1,-1,-1.0
2017-06-21,0.003230299545288569,-1,-1,-1.0
2017-06-22,2.1306399161589157e-05,1,-1,-1.0
2017-06-23,0.004561215821909127,1,-1,0.0
2017-06-26,0.004013717508007931,1,-1,0.0
2017-06-27,0.010033804111376386,1,1,0.0
2017-06-28,0.01143470344979038,1,1,0.0
2017-06-29,0.002294663732915501,1,-1,1.0
2017-06-30,0.0026796422272795883,1,-1,1.0
2017-07-03,0.0047588770585567704,1,1,1.0
2017-07-04,-0.004717836351861364,1,1,1.0
2017-07-05,0.0016274250688831802,1,1,0.0
2017-07-06,0.0026544102310826516,1,-1,0.0
2017-07-07,0.0012803293424244568,1,-1,0.0
2017-07-10,-0.0045566193421542394,1,1,0.0
2017-07-12,-0.000978185764820009,1,1,0.0
2017-07-13,0.004867567442412171,1,-1,1.0
2017-07-14,0.0034740423694433003,1,-1,1.0
2017-07-17,-0.0028885363481633234,1,-1,1.0
2017-07-18,-0.0062198415644713345,1,-1,1.0
2017-07-19,-0.0015696329510449458,1,1,1.0
2017-07-20,-0.005033807646635889,-1,-1,1.0
2017-07-21,-0.005419668979551803,-1,-1,0.0
2017-07-24,0.00441948423617171,-1,-1,0.0
2017-07-25,0.006678647438979224,-1,-1,0.0
2017-07-26,-0.0010151456402119454,-1,-1,1.0
2017-07-27,-0.0031546718618110283,-1,-1,0.0
2017-07-28,-0.00014454296244331602,-1,-1,0.0
2017-07-31,0.0024342724678064207,-1,-1,0.0
2017-08-01,0.001660610830557603,-1,-1,0.0
2017-08-02,0.004440102777507523,-1,-1,0.0
2017-08-03,-0.014092701176555002,-1,-1,0.0
2017-08-04,0.0005883408256611712,-1,-1,0.0
2017-08-07,-0.0010383578528594555,-1,-1,0.0
2017-08-08,-0.009793137886305942,-1,-1,0.0
2017-08-09,0.0013909587591532282,-1,-1,-1.0
2017-08-10,-0.011238376440787857,-1,-1,-1.0
2017-08-11,0.003412926875834655,-1,1,-1.0
2017-08-14,0.0031136318616681244,-1,1,-1.0
2017-08-15,-0.0014255205045934677,-1,-1,-1.0
2017-08-16,-0.0034848508966666214,-1,1,-1.0
2017-08-17,-0.008121830154721198,-1,-1,-1.0
2017-08-18,0.0005118150037729086,-1,1,-1.0
2017-08-21,-0.001628652129770729,-1,1,-1.0
2017-08-22,0.0015930862572168848,-1,1,-1.0
2017-08-23,-0.009209435202756744,-1,-1,-1.0
2017-08-24,0.0054431455433677604,1,1,-1.0
2017-08-25,0.006456072662037601,-1,1,-1.0
2017-08-28,-0.0039839179166118125,-1,-1,-1.0
2017-08-29,0.009348652536421415,-1,-1,-1.0
2017-08-30,0.005854991975073234,1,-1,-1.0
2017-08-31,-0.0013956410800549622,1,1,0.0
2017-09-01,-0.0011375787196130653,1,-1,1.0
2017-09-04,-0.0029904205853784264,1,-1,1.0
2017-09-05,-0.001996330803934793,1,-1,0.0
2017-09-06,0.005204574066008089,1,-1,0.0
2017-09-07,-0.00341977508068343,1,-1,0.0
2017-09-08,0.006505781427647336,1,-1,0.0
2017-09-11,0.008736172922058102,1,1,-1.0
2017-09-12,0.01663939346597209,1,1,0.0
2017-09-13,-0.003625042598057524,1,1,0.0
2017-09-14,0.009112788967894657,1,1,0.0
2017-09-15,0.0244414989292878,1,1,1.0
2017-09-18,-0.0015915487474224353,-1,1,1.0
2017-09-19,0.0007961415949068495,-1,1,1.0
2017-09-20,0.006569904495262279,-1,-1,1.0
2017-09-21,0.005891853510494216,-1,-1,1.0
2017-09-22,-0.005397904972902638,-1,-1,1.0
2017-09-25,-0.008318025227795579,-1,-1,1.0
2017-09-26,0.002983455840769933,1,-1,1.0
2017-09-27,0.000985884068719367,1,1,1.0
2017-09-28,-0.0011844909722652614,1,1,1.0
2017-09-29,-0.0013317656332403245,1,1,1.0
2017-10-02,-0.0075601748270560515,1,1,1.0
2017-10-03,-0.0018655877620830728,-1,-1,1.0
2017-10-04,-0.0007832879233753743,-1,-1,1.0
2017-10-05,-0.009746048827208224,-1,1,1.0
2017-10-06,-0.0041004546436415575,-1,1,1.0
2017-10-09,0.005391431963299449,-1,1,1.0
2017-10-10,0.002422024704514413,-1,1,1.0
2017-10-11,0.003014409807660699,-1,-1,1.0
2017-10-12,8.057161980780466e-05,-1,-1,1.0
2017-10-13,-0.001411762647471457,-1,-1,0.0
2017-10-16,0.00018834337279716732,-1,-1,0.0
2017-10-17,-0.0044489274800750605,-1,-1,1.0
2017-10-18,0.008677353228256388,-1,-1,0.0
2017-10-19,-0.00766451732812823,-1,-1,1.0
2017-10-20,0.015051335772244698,-1,-1,1.0
2017-10-23,-0.00502538968644506,-1,-1,1.0
2017-10-24,-0.0005078682462362027,-1,-1,0.0
2017-10-25,0.007539036567184595,-1,-1,1.0
2017-10-26,-0.005949290272186266,-1,1,1.0
2017-10-27,-0.0030080434821135585,-1,1,1.0
2017-10-30,-0.000622811908001631,-1,-1,0.0
2017-10-31,0.01185336380170841,-1,-1,0.0
2017-11-01,0.0015743366447099065,1,1,1.0
2017-11-02,-0.016520625308066066,1,-1,0.0
2017-11-03,0.003226920925470955,-1,1,0.0
2017-11-06,0.0035436052903490113,-1,-1,0.0
2017-11-07,5.3363091756240054e-05,-1,-1,0.0
2017-11-08,-0.0031684241853245387,-1,-1,0.0
2017-11-09,-0.0023393012588733436,-1,-1,0.0
2017-11-10,0.0008786978479049113,-1,-1,0.0
2017-11-13,-0.0008116296217282823,-1,-1,0.0
2017-11-14,0.0010261459320049264,-1,-1,0.0
2017-11-15,4.69480758969355e-05,-1,-1,0.0
2017-11-17,-0.00860344796531618,-1,-1,0.0
2017-11-20,0.007516940672025874,-1,1,0.0
2017-11-21,-0.0015982873847830154,-1,1,0.0
2017-11-22,-0.0037843903876530398,-1,-1,-1.0
2017-11-23,-0.0013096975723283298,-1,-1,-1.0
2017-11-24,0.004925984611000645,-1,-1,-1.0
2017-11-27,-0.004730152313320615,-1,-1,-1.0
2017-11-28,0.007616597941969917,-1,-1,-1.0
2017-11-29,0.007073192937660185,-1,-1,0.0
2017-11-30,0.013420539637866253,1,1,0.0
2017-12-01,2.6252799632114008e-05,1,-1,0.0
2017-12-04,-0.004693050368409316,1,-1,0.0
2017-12-05,-0.004721854730054279,1,-1,0.0
2017-12-06,-0.0033399164675989913,1,-1,0.0
2017-12-07,0.014663916290181534,1,-1,0.0
2017-12-08,-0.0035389762734864346,1,1,0.0
2017-12-11,-0.003452541536667166,1,1,0.0
2017-12-12,-0.0019820373137706053,1,1,0.0
2017-12-13,-0.00020507131749851985,1,-1,1.0
2017-12-14,-0.0014297037040461242,1,-1,0.0
2017-12-15,-0.005759675135568317,1,-1,0.0
2017-12-18,0.003405279001841675,-1,1,0.0
2017-12-19,0.004075143270894152,-1,-1,0.0
2017-12-20,0.0012160363588689892,-1,-1,0.0
2017-12-21,0.0013397688141169085,-1,1,0.0
2017-12-22,-0.002390541515026445,-1,-1,0.0
2017-12-25,0.0018496331835833456,-1,-1,0.0
2017-12-26,-0.0010499331746770624,-1,-1,0.0
2017-12-27,0.0023952700511376463,-1,1,0.0
2017-12-28,-0.0002570731332906096,-1,1,0.0
2017-12-29,0.003658571155151288,-1,-1,0.0
2018-01-01,0.0006500285768554793,1,-1,0.0
2018-01-02,0.0015872266242558497,1,-1,0.0
2018-01-03,-0.0029862937102515417,1,-1,0.0
2018-01-04,0.00457749459205837,1,1,0.0
2018-01-05,0.005031981779577195,1,1,0.0
2018-01-08,-0.0005795061859414062,1,1,1.0
2018-01-09,-0.006181283135822144,1,1,1.0
2018-01-10,-0.013155588261568256,1,1,0.0
2018-01-11,0.0008032727768744178,-1,1,0.0
2018-01-12,0.012155573076233168,-1,1,0.0
2018-01-15,0.00020324314922001404,-1,1,0.0
2018-01-16,-0.0017581390761595471,-1,-1,0.0
2018-01-17,0.010963760788734277,-1,1,0.0
2018-01-18,0.0016417396975552884,1,1,1.0
2018-01-19,-0.0031885143091416154,1,1,1.0
2018-01-22,0.009180845957579346,1,1,0.0
2018-01-23,-0.0056227896952368945,1,1,0.0
2018-01-24,0.007457918323374896,1,-1,0.0
2018-01-25,-0.0013970170432749166,1,-1,0.0
2018-01-26,-0.009872667682352367,1,1,0.0
2018-01-29,-0.0026449564108302235,1,1,0.0
2018-01-30,0.003958272399566323,1,-1,0.0
2018-01-31,0.0074249400329480545,-1,-1,1.0
2018-02-01,0.006575999771575778,1,-1,1.0
2018-02-02,-0.0052612276539030466,1,-1,1.0
2018-02-05,-0.02047775323566488,1,-1,0.0
2018-02-06,0.005735896730584904,-1,1,0.0
2018-02-07,-0.009509982941232559,-1,-1,0.0
2018-02-08,-0.0020014590506282253,-1,1,0.0
2018-02-09,-0.005536551541139444,-1,1,0.0
2018-02-12,0.000883989948014788,-1,1,0.0
2018-02-13,-0.0062172545425902975,-1,1,-1.0
2018-02-14,-0.001552072010850714,-1,1,-1.0
2018-02-15,0.001906245729468559,-1,1,-1.0
2018-02-16,-0.0039032366428094325,-1,-1,-1.0
2018-02-19,0.001534936202421237,-1,-1,-1.0
2018-02-20,0.006855316336679255,-1,-1,-1.0
2018-02-21,-0.004868015251181647,-1,-1,0.0
2018-02-22,-0.0038644849492611897,-1,1,0.0
2018-02-23,0.003597107246060723,-1,1,0.0
2018-02-26,-0.00017386956765177956,-1,1,0.0
2018-02-27,-0.0009568233706452968,-1,-1,0.0
2018-02-28,-0.01838231478528163,-1,-1,0.0
2018-03-01,-0.0029293053429716494,-1,1,0.0
2018-03-02,-0.00441351631920637,1,1,0.0
2018-03-05,0.010569436741970414,1,1,-1.0
2018-03-06,-0.0031857291110135634,-1,1,-1.0
2018-03-07,0.006530653400882757,-1,-1,-1.0
2018-03-08,-0.005181626125928889,-1,-1,-1.0
2018-03-09,0.008326456904646052,-1,1,-1.0
2018-03-12,-0.0022172255961502895,1,-1,0.0
2018-03-13,0.006542812378016658,1,-1,0.0
2018-03-14,-0.0029086688648230848,1,-1,0.0
2018-03-15,-0.000978202167677352,1,-1,0.0
2018-03-16,-0.0027168668346943697,1,1,0.0
2018-03-19,0.006018615714720968,1,-1,0.0
2018-03-20,0.0028013133610892233,1,1,1.0
2018-03-21,0.005031920921321012,1,-1,0.0
2018-03-22,-0.01135766477942407,1,-1,0.0
2018-03-23,0.0014099259064874472,1,-1,0.0
2018-03-26,0.012500814450939944,1,1,0.0
2018-03-27,-0.004744759621286701,1,-1,1.0
2018-03-28,0.005822721479399642,1,-1,0.0
2018-03-29,-0.006920367441545049,1,-1,0.0
2018-03-30,-0.0006363855316763047,1,-1,0.0
2018-04-02,-0.004284304323248787,1,-1,0.0
2018-04-03,0.007575724834654945,1,1,0.0
2018-04-04,0.004611106213159538,1,1,0.0
2018-04-05,-0.0031695992361492394,1,1,1.0
2018-04-06,0.00516864263947997,1,1,0.0
2018-04-09,0.0010543575892186863,1,1,1.0
2018-04-10,0.00667839411513203,1,1,1.0
2018-04-11,-0.0021750005896619064,1,-1,1.0
2018-04-12,0.007139919471389127,1,1,1.0
2018-04-13,0.003113460693792186,1,-1,1.0
2018-04-16,0.0025307254942875676,1,1,1.0
2018-04-17,-0.003445443398020742,1,1,1.0
2018-04-18,-0.0036803760785814937,1,-1,1.0
2018-04-19,-0.007243008057740219,1,-1,1.0
2018-04-20,-0.001878659075491736,1,-1,1.0
2018-04-23,0.0035755301858800444,1,-1,1.0
2018-04-24,0.004535314592624861,-1,-1,0.0
2018-04-25,0.0009912005725863367,-1,1,1.0
2018-04-26,-0.0017993310847749999,-1,1,1.0
2018-04-27,-0.012633469727047805,-1,1,0.0
2018-04-30,0.0022805332383804035,-1,1,0.0
2018-05-01,-0.006843895478874383,-1,1,0.0
2018-05-02,-0.0032617683597243705,-1,-1,0.0
2018-05-03,-0.006744722504922299,-1,-1,-1.0
2018-05-04,-0.0024681943746816732,-1,1,-1.0
2018-05-07,0.0008323548997239698,-1,1,-1.0
2018-05-08,-0.0005277317688083236,-1,-1,-1.0
2018-05-09,0.006745842924587427,-1,1,-1.0
2018-05-10,-0.005284962843579786,-1,1,-1.0
2018-05-11,0.0013306333745909033,-1,1,-1.0
2018-05-14,0.004438217782487176,-1,-1,-1.0
2018-05-15,0.0004904184493164131,-1,1,-1.0
2018-05-16,0.003948299160023717,-1,1,-1.0
2018-05-17,0.0017111854858832115,-1,-1,-1.0
2018-05-18,-0.0021394142417287747,1,-1,-1.0
2018-05-21,-0.0024123887746579004,1,1,0.0
2018-05-22,-0.0016047650293643035,1,1,0.0
2018-05-23,-0.0129862163895157,1,1,0.0
2018-05-24,-0.004147724950686749,-1,-1,0.0
2018-05-25,-0.0027313304587989937,-1,-1,0.0
2018-05-28,-0.0017495271046544503,-1,1,0.0
2018-05-29,-0.013710364279475869,1,-1,0.0
2018-05-30,0.00519374251846147,1,1,0.0
2018-05-31,0.0008584495294493311,1,-1,0.0
2018-06-01,0.012596950408597474,-1,1,-1.0
2018-06-04,0.0004439545971687878,-1,1,0.0
2018-06-05,0.005822656309158033,-1,-1,0.0
2018-06-06,0.0035653143145995014,1,1,-1.0
2018-06-07,-0.004285358943490933,1,1,0.0
2018-06-08,-0.002619519539182285,1,1,0.0
2018-06-11,0.00566592724354345,1,1,0.0
2018-06-12,0.0005756064358572655,1,1,0.0
2018-06-13,-0.0013414594805974225,1,1,-1.0
2018-06-14,-0.005718034934767628,1,1,0.0
2018-06-15,0.0012538637699292374,1,-1,0.0
2018-06-18,-0.005695722577963678,1,-1,0.0
2018-06-19,-0.0070242021759359,1,-1,0.0
2018-06-20,0.0024317201305085446,1,1,-1.0
2018-06-21,0.002144365420107196,-1,-1,0.0
2018-06-22,0.0009265045339278798,-1,1,0.0
2018-06-25,-0.0014690043563833658,-1,-1,0.0
2018-06-26,-0.0001236938507494098,-1,1,0.0
2018-06-27,-0.006582619804232302,-1,-1,0.0
2018-06-28,-0.0010586505702741898,-1,1,0.0
2018-06-29,0.012165414821849716,-1,1,0.0
2018-07-02,-0.003507792835505651,1,1,0.0
2018-07-03,-0.00024026867473982784,1,-1,0.0
2018-07-04,0.0035155235641816268,1,-1,0.0
2018-07-05,0.00010260307560413602,1,1,0.0
2018-07-06,0.004143328215717336,1,1,0.0
2018-07-09,0.001687920988620768,1,1,0.0
2018-07-10,-0.0009661063150627422,1,-1,0.0
2018-07-11,0.006384963375589092,1,-1,0.0
2018-07-12,0.004231810220231987,1,1,1.0
2018-07-13,0.0011644105839375707,1,1,1.0
2018-07-16,0.0005179358888179245,1,-1,1.0
2018-07-17,-0.004231481810773581,1,-1,1.0
2018-07-18,-0.004093443130124503,1,1,0.0
2018-07-19,-0.008005230734328279,1,-1,0.0
