datetime_utc,actual_return,tech_signal,ml_signal,sg_signal
2017-01-18,-0.008622907336826992,1,1,1.0
2017-01-19,0.0028272298148097597,1,1,1.0
2017-01-20,0.008845550963396858,1,1,1.0
2017-01-23,-0.0038757736862718066,1,1,1.0
2017-01-24,-0.010799240583716598,1,1,0.0
2017-01-25,-0.0065360117616481,1,1,0.0
2017-01-26,-0.001177678827598852,1,1,0.0
2017-01-27,0.004283360803183659,1,1,0.0
2017-01-30,0.012823912008577408,-1,1,0.0
2017-01-31,-0.002485296665438633,1,1,1.0
2017-02-01,0.009164887600060555,1,1,0.0
2017-02-02,0.0014783584034642827,1,1,0.0
2017-02-03,0.009393575301202162,1,1,1.0
2017-02-06,0.0034087779579315197,1,1,1.0
2017-02-07,0.002751053207520085,1,1,1.0
2017-02-08,-0.002022081854817559,1,-1,1.0
2017-02-09,-0.000566876850066067,1,1,1.0
2017-02-10,-0.008134093816160818,1,1,1.0
2017-02-13,-0.00040844667481872133,1,1,1.0
2017-02-14,0.006352787968514301,1,1,1.0
2017-02-15,0.0067160902945164426,1,-1,0.0
2017-02-16,-0.001937379067167637,1,1,1.0
2017-02-17,-8.078508906953723e-05,1,-1,0.0
2017-02-21,-0.004454350349380309,1,1,0.0
2017-02-22,0.014664634347995097,-1,1,1.0
2017-02-23,0.005344891913360862,1,-1,1.0
2017-02-24,0.00039772501044503744,-1,-1,1.0
2017-02-27,-0.00382474476466306,-1,-1,1.0
2017-02-28,-0.002958188183111069,1,-1,1.0
2017-03-01,-0.013705470631345843,1,1,1.0
2017-03-02,-0.005208788817978716,-1,1,1.0
2017-03-03,-0.0008163265759448011,-1,1,1.0
2017-03-06,-0.007706239569881471,-1,1,1.0
2017-03-07,-0.005446436678803248,-1,-1,0.0
2017-03-08,-0.00506034140032999,-1,1,-1.0
2017-03-09,-0.001414900372918341,-1,1,-1.0
2017-03-10,0.001414900372918352,-1,1,-1.0
2017-03-13,-0.00041592147157480674,-1,1,-1.0
2017-03-14,-0.001498791977594266,-1,1,-1.0
2017-03-15,0.021759718404505305,-1,1,-1.0
2017-03-16,0.0026870095249430263,-1,1,0.0
2017-03-17,0.0030851097946710264,-1,1,0.0
2017-03-20,0.010081950338285382,-1,1,0.0
2017-03-21,0.0025647791657264977,1,1,0.0
2017-03-22,-0.0019229429398218444,1,1,0.0
2017-03-23,0.0010419837987625065,1,-1,0.0
2017-03-24,0.0057517919495583296,1,1,1.0
2017-03-27,-7.963960893288656e-05,1,1,1.0
2017-03-28,-0.0015147484528922495,1,-1,1.0
2017-03-29,-0.006724348370036059,1,-1,1.0
2017-03-30,0.0018457243799123385,1,-1,1.0
2017-03-31,0.0028021313424812086,1,1,1.0
2017-04-03,0.003352186944682863,1,-1,1.0
2017-04-04,-0.0076787895241424015,1,-1,1.0
2017-04-05,0.00392677851233867,1,-1,1.0
2017-04-06,0.003194125405133405,1,-1,1.0
2017-04-07,-0.0025545421499374417,1,-1,0.0
2017-04-10,0.0159381530021803,1,1,1.0
2017-04-11,0.003220185508956306,1,1,1.0
2017-04-12,0.00827739794195269,1,-1,1.0
